x = -328.627, y = -393.701, z = 140.2143, angle = 144.3893, collision = h0003B2
x = -442.018, y = -414.6075, z = 44.84013, angle = -140.8975, collision = h0500B2
x = -441.2146, y = -414.6387, z = 45.94487, angle = -137.0843, collision = h0500B2
x = -440.3009, y = -414.6298, z = 46.98615, angle = -140.0791, collision = h0500B2
x = -439.5031, y = -414.5933, z = 48.11905, angle = -145.9515, collision = h0500B2
x = -438.9068, y = -414.6087, z = 49.01678, angle = -142.757, collision = h0500B2
x = -438.0626, y = -414.6338, z = 50.1143, angle = -139.3923, collision = h0500B2
x = -437.1337, y = -414.6419, z = 51.14088, angle = -127.5861, collision = h0500B2
x = -436.0216, y = -414.5788, z = 51.96421, angle = -140.6208, collision = h0500B2
x = -435.0986, y = -414.5721, z = 52.99281, angle = -136.0437, collision = h0500B2
x = -434.0992, y = -414.5421, z = 53.94864, angle = -104.2252, collision = h0500B2
x = -433.0759, y = -414.4609, z = 54.1432, angle = -11.70785, collision = h0500B2
x = -432.9888, y = -414.4255, z = 53.00486, angle = 55.16492, collision = h0500B2
x = -434.1245, y = -414.4458, z = 52.22867, angle = 30.83246, collision = h0500B2
x = -434.7988, y = -414.4353, z = 51.04366, angle = 12.30494, collision = h0500B2
x = -435.012, y = -414.4154, z = 49.98872, angle = 7.900617, collision = h0500B2
x = -436.1818, y = -414.4098, z = 48.31801, angle = 44.75931, collision = h0500B2
x = -436.9805, y = -414.4162, z = 47.58325, angle = 46.96109, collision = h0500B2
x = -438.0016, y = -414.4227, z = 46.64656, angle = 50.4511, collision = h0500B2
x = -438.7914, y = -414.4253, z = 45.98139, angle = 45.40084, collision = h0500B2
x = -439.6189, y = -414.4288, z = 45.17396, angle = 43.71809, collision = h0500B2
x = -440.5389, y = -414.4279, z = 44.24117, angle = 35.27562, collision = h0500B2
x = -441.2951, y = -414.4255, z = 43.27868, angle = 36.3064, collision = h0500B2
x = -442.0305, y = -414.4221, z = 42.26855, angle = 39.73248, collision = h0500B2
x = -444.7426, y = -414.4468, z = 40.5367, angle = 92.73193, collision = h0500B2
x = -445.9381, y = -414.5572, z = 40.5242, angle = 41.93177, collision = h0500B2
x = -446.7856, y = -414.5913, z = 39.66583, angle = -7.338642, collision = h0500B2
x = -446.6772, y = -414.4506, z = 38.42973, angle = -26.14079, collision = h0500B2
x = -446.1628, y = -414.4136, z = 37.31557, angle = -45.9921, collision = h0500B2
x = -445.2646, y = -413.8779, z = 36.36835, angle = -50.10038, collision = h0500B2
x = -444.3308, y = -413.1721, z = 35.58789, angle = -49.38245, collision = h0500B2
x = -443.3018, y = -412.3638, z = 34.70678, angle = -49.43452, collision = h0500B2
x = -442.5574, y = -411.7036, z = 34.05753, angle = 128.0773, collision = h0500B2
x = -444.123, y = -411.9546, z = 32.70534, angle = 150.3165, collision = h0500B2
x = -444.6808, y = -412.4896, z = 33.39219, angle = 136.6765, collision = h0500B2
x = -445.3546, y = -413.0761, z = 34.24681, angle = 100.7298, collision = h0500B2
x = -446.6813, y = -413.62, z = 34.38895, angle = 54.98912, collision = h0500B2
x = -447.8297, y = -413.7384, z = 33.62217, angle = 101.7118, collision = h0500B2
x = -448.8759, y = -414.1302, z = 33.75211, angle = 120.8107, collision = h0500B2
x = -450.3242, y = -414.4383, z = 34.36755, angle = 98.15096, collision = h0500B2
x = -451.4964, y = -414.5183, z = 34.50988, angle = 80.37321, collision = h0500B2
x = -452.7458, y = -414.6179, z = 34.21272, angle = 2.697255, collision = h0500B2
x = -452.9574, y = -414.4583, z = 33.06113, angle = -26.54825, collision = h0500B2
x = -452.4387, y = -414.4051, z = 31.91138, angle = -35.3828, collision = h0500B2
x = -451.7346, y = -413.8618, z = 30.85075, angle = -38.3283, collision = h0500B2
x = -450.9876, y = -413.3892, z = 29.88691, angle = -42.26364, collision = h0500B2
x = -450.088, y = -412.7582, z = 28.88947, angle = -42.15239, collision = h0500B2
x = -449.4153, y = -412.2941, z = 28.14849, angle = 77.24599, collision = h0500B2
x = -451.6933, y = -412.2744, z = 26.04332, angle = 119.4751, collision = h0500B2
x = -452.7989, y = -412.7886, z = 26.55378, angle = 151.9673, collision = h0500B2
x = -453.4634, y = -413.3787, z = 27.73283, angle = 133.9498, collision = h0500B2
x = -454.2555, y = -413.807, z = 28.58019, angle = 120.1285, collision = h0500B2
x = -455.419, y = -414.2653, z = 29.25101, angle = 121.423, collision = h0500B2
x = -456.443, y = -414.4277, z = 29.87407, angle = 116.9254, collision = h0500B2
x = -457.8406, y = -414.5527, z = 30.45898, angle = 68.70315, collision = h0500B2
x = -458.9684, y = -414.6068, z = 30.124, angle = 31.69937, collision = h0500B2
x = -459.7027, y = -414.5074, z = 29.09663, angle = 17.47509, collision = h0502B2
x = -460.117, y = -414.4521, z = 27.90598, angle = 10.28643, collision = h0502B2
x = -460.3249, y = -414.4118, z = 26.7087, angle = -11.66189, collision = h0502B2
x = -460.0924, y = -414.0861, z = 25.4042, angle = 9.14423, collision = h0502B2
x = -460.2436, y = -413.7782, z = 24.20526, angle = 20.36182, collision = h0502B2
x = -460.6944, y = -413.4968, z = 22.93546, angle = 40.12408, collision = h0502B2
x = -461.4505, y = -413.3592, z = 22.03239, angle = 81.16816, collision = h0502B2
x = -462.9503, y = -413.4788, z = 21.74167, angle = 110.5584, collision = h0502B2
x = -464.0754, y = -413.7297, z = 22.09909, angle = 139.5566, collision = h0502B2
x = -464.9904, y = -414.1233, z = 23.02409, angle = 144.0449, collision = h0502B2
x = -465.7428, y = -414.4161, z = 23.9878, angle = 131.4384, collision = h0502B2
x = -466.6829, y = -414.469, z = 24.81775, angle = 122.6622, collision = h0502B2
x = -467.7292, y = -414.612, z = 25.52736, angle = 72.2766, collision = h0502B2
x = -468.9038, y = -414.6234, z = 25.27236, angle = 45.11351, collision = h0502B2
x = -469.9059, y = -414.5222, z = 24.40525, angle = 24.15345, collision = h0502B2
x = -470.4408, y = -414.4574, z = 23.33783, angle = 45.13945, collision = h0502B2
x = -471.6013, y = -414.4329, z = 22.36617, angle = 119.7933, collision = h0502B2
x = -472.6749, y = -414.4485, z = 22.84958, angle = 131.0235, collision = h0502B2
x = -473.6904, y = -414.4925, z = 23.71668, angle = 136.616, collision = h0502B2
x = -474.5717, y = -414.588, z = 24.51509, angle = 67.3946, collision = h0502B2
x = -475.7559, y = -414.5672, z = 24.19206, angle = 34.51852, collision = h0502B2
x = -476.5462, y = -414.4743, z = 23.2381, angle = 40.17502, collision = h0502B2
x = -477.2986, y = -414.4441, z = 22.26353, angle = 71.43383, collision = h0502B2
x = -478.4262, y = -414.4312, z = 21.72149, angle = 114.7619, collision = h0502B2
x = -479.5503, y = -414.4476, z = 22.1676, angle = 157.0347, collision = h0502B2
x = -479.9693, y = -414.5327, z = 23.41293, angle = -103.8321, collision = h0502B2
x = -478.8741, y = -414.5582, z = 23.77028, angle = -47.25397, collision = h0502B2
x = -479.3333, y = -414.4171, z = 21.16603, angle = 109.9578, collision = h0502B2
x = -480.4807, y = -414.4311, z = 21.52452, angle = 124.8465, collision = h0502B2
x = -481.5235, y = -414.4556, z = 22.24559, angle = 129.6637, collision = h0502B2
x = -482.5136, y = -414.5228, z = 23.04387, angle = 126.1106, collision = h0502B2
x = -483.487, y = -414.6124, z = 23.77744, angle = 90.92393, collision = h0502B2
x = -484.9212, y = -414.6336, z = 23.80327, angle = 34.64209, collision = h0502B2
x = -485.6612, y = -414.5384, z = 22.84948, angle = 44.57227, collision = h0502B2
x = -486.5412, y = -414.4573, z = 21.82731, angle = 53.42522, collision = h0502B2
x = -487.4643, y = -414.4338, z = 21.0943, angle = 94.87525, collision = h0502B2
x = -488.7703, y = -414.4372, z = 21.08461, angle = 109.3942, collision = h0502B2
x = -489.9, y = -414.4574, z = 21.47561, angle = 111.3288, collision = h0502B2
x = -491.1124, y = -414.5274, z = 21.94687, angle = 115.6829, collision = h0502B2
x = -492.2313, y = -414.6204, z = 22.47348, angle = 117.7323, collision = h0502B2
x = -493.333, y = -414.7197, z = 23.04882, angle = 119.1724, collision = h0502B2
x = -494.7008, y = -414.8238, z = 23.62302, angle = 48.15513, collision = h0502B2
x = -495.6764, y = -414.7461, z = 22.93287, angle = 43.26253, collision = h0502B2
x = -496.5709, y = -414.6281, z = 21.96157, angle = 42.79496, collision = h0502B2
x = -497.394, y = -414.5201, z = 21.07133, angle = 51.01252, collision = h0502B2
x = -498.4192, y = -414.4539, z = 20.21668, angle = 102.6205, collision = h0502B2
x = -499.576, y = -414.4674, z = 20.37167, angle = 112.4485, collision = h0502B2
x = -500.8075, y = -414.5554, z = 20.88026, angle = 113.6833, collision = h0502B2
x = -501.9163, y = -414.6409, z = 21.36091, angle = 115.1204, collision = h0502B2
x = -503.0758, y = -414.7287, z = 21.90067, angle = 113.9062, collision = h0502B2
x = -504.2291, y = -414.7808, z = 22.39807, angle = 91.45187, collision = h0502B2
x = -505.6886, y = -414.7861, z = 22.45592, angle = 86.94939, collision = h0502B2
x = -506.9692, y = -414.8107, z = 22.42403, angle = 71.59291, collision = h0502B2
x = -508.1236, y = -414.7986, z = 22.07412, angle = 34.7114, collision = h0502B2
x = -508.9592, y = -414.7007, z = 21.03638, angle = 22.32785, collision = h0502B2
x = -509.4326, y = -414.6118, z = 19.93616, angle = 13.17478, collision = h0502B2
x = -509.7836, y = -414.5548, z = 18.63362, angle = 45.01107, collision = h0502B2
x = -510.528, y = -414.5357, z = 17.79295, angle = 101.713, collision = h0502B2
x = -511.8175, y = -414.6055, z = 17.97787, angle = 106.7384, collision = h0502B2
x = -512.9943, y = -414.6803, z = 18.32377, angle = 96.38717, collision = h0502B2
x = -514.4744, y = -414.7525, z = 18.53211, angle = 90.13027, collision = h0502B2
x = -515.7181, y = -414.805, z = 18.54244, angle = 83.14786, collision = h0502B2
x = -516.9474, y = -414.8505, z = 18.40733, angle = 74.79414, collision = h0502B2
x = -518.2043, y = -414.8889, z = 18.08418, angle = 38.02086, collision = h0502B2
x = -518.942, y = -414.8786, z = 17.20401, angle = -15.06214, collision = h0502B2
x = -518.6526, y = -414.7834, z = 15.89441, angle = -30.78747, collision = h0502B2
x = -518.0271, y = -414.6931, z = 14.90531, angle = -88.09872, collision = h0502B2
x = -516.7151, y = -414.6248, z = 14.76166, angle = -87.3168, collision = h0502B2
x = -515.5413, y = -414.5652, z = 14.65547, angle = -37.8223, collision = h0502B2
x = -514.8185, y = -414.4601, z = 13.44778, angle = 45.13663, collision = h0502B2
x = -515.5944, y = -414.447, z = 12.5611, angle = 76.92551, collision = h0502B2
x = -516.8249, y = -414.4729, z = 12.26027, angle = 90.97199, collision = h0502B2
x = -518.0894, y = -414.53, z = 12.25995, angle = 118.7352, collision = h0502B2
x = -519.1318, y = -414.6128, z = 12.82993, angle = -161.795, collision = h0502B2
x = -518.9074, y = -414.6788, z = 14.0437, angle = -102.8802, collision = h0502B2
x = -514.4653, y = -414.5427, z = 15.07051, angle = -96.87076, collision = h0502B2
x = -513.2113, y = -414.5012, z = 15.3118, angle = -90.7944, collision = h0502B2
x = -511.9949, y = -414.4548, z = 15.32187, angle = -82.26683, collision = h0502B2
x = -510.7315, y = -414.4182, z = 15.05345, angle = 1.666033, collision = h0502B2
x = -510.668, y = -414.2181, z = 13.94811, angle = 68.5242, collision = h0502B2
x = -511.8426, y = -414.2465, z = 13.37136, angle = 101.5867, collision = h0502B2
x = -513.0103, y = -414.4144, z = 13.56717, angle = 117.1406, collision = h0502B2
x = -517.4337, y = -414.5977, z = 13.81075, angle = 11.44691, collision = h0502B2
x = -517.8835, y = -414.4435, z = 10.84096, angle = 71.29028, collision = h0502B2
x = -518.9307, y = -414.4521, z = 10.3155, angle = 126.0741, collision = h0502B2
x = -520.0668, y = -414.5358, z = 10.92892, angle = 145.807, collision = h0502B2
x = -520.7526, y = -414.6276, z = 11.89932, angle = 109.171, collision = h0502B2
x = -521.9766, y = -414.7127, z = 12.37465, angle = 84.88773, collision = h0502B2
x = -523.1758, y = -414.7606, z = 12.27589, angle = 31.44331, collision = h0502B2
x = -523.9474, y = -414.7378, z = 11.35717, angle = 1.836378, collision = h0502B2
x = -524.0358, y = -414.6505, z = 9.900718, angle = -5.142231, collision = h0502B2
x = -523.9437, y = -414.571, z = 8.647118, angle = -11.83986, collision = h0502B2
x = -523.694, y = -414.4777, z = 7.393027, angle = 0.9859105, collision = h0502B2
x = -523.6423, y = -414.4435, z = 6.179755, angle = 39.42381, collision = h0502B2
x = -524.2587, y = -414.4466, z = 5.057161, angle = 69.43884, collision = h0502B2
x = -525.3544, y = -414.5171, z = 4.583292, angle = 75.20056, collision = h0502B2
x = -526.663, y = -414.6304, z = 4.235606, angle = 71.36243, collision = h0502B2
x = -527.7917, y = -414.7253, z = 3.862832, angle = 62.16427, collision = h0502B2
x = -528.9346, y = -414.8105, z = 3.21614, angle = 5.816781, collision = h0502B2
x = -529.1428, y = -414.7779, z = 1.905698, angle = -28.48208, collision = h0502B2
x = -528.5425, y = -414.6732, z = 0.7587118, angle = -47.01544, collision = h0502B2
x = -527.6591, y = -414.5536, z = -0.07279395, angle = -108.6692, collision = h0502B2
x = -526.5104, y = -414.4789, z = 0.2632937, angle = -170.8298, collision = h0502B2
x = -526.1227, y = -414.4813, z = 1.441053, angle = 128.1396, collision = h0502B2
x = -526.9156, y = -414.5711, z = 2.154946, angle = 60.84311, collision = h0502B2
x = -529.8759, y = -414.8156, z = 1.069638, angle = 75.06385, collision = h0502B2
x = -531.1124, y = -414.9226, z = 0.7402324, angle = 12.46999, collision = h0502B2
x = -531.5138, y = -414.9077, z = -0.5980506, angle = -6.077311, collision = h0502B2
x = -531.4097, y = -414.8443, z = -1.919739, angle = -18.19183, collision = h0502B2
x = -531.0439, y = -414.7623, z = -3.070537, angle = -55.44368, collision = h0502B2
x = -530.0487, y = -414.6322, z = -3.894965, angle = -105.6446, collision = h0502B2
x = -528.9127, y = -414.541, z = -3.624307, angle = -134.265, collision = h0502B2
x = -527.9319, y = -414.4999, z = -2.734528, angle = -135.2763, collision = h0502B2
x = -527.0674, y = -414.4652, z = -1.885461, angle = -49.71162, collision = h0502B2
x = -526.1002, y = -414.2954, z = -2.470154, angle = 16.08266, collision = h0502B2
x = -526.3069, y = -414.1823, z = -3.682668, angle = 55.40007, collision = h0502B2
x = -527.4745, y = -414.4278, z = -4.500665, angle = 80.3802, collision = h0502B2
x = -528.7415, y = -414.5049, z = -4.733526, angle = 85.77865, collision = h0502B2
x = -530.6577, y = -414.6552, z = -4.794711, angle = 98.52361, collision = h0502B2
x = -531.875, y = -414.7786, z = -4.627409, angle = 104.9964, collision = h0502B2
x = -533.0991, y = -414.8526, z = -4.383514, angle = 49.68281, collision = h0502B2
x = -534.1501, y = -414.8829, z = -5.00549, angle = 10.97379, collision = h0502B2
x = -534.4268, y = -414.8714, z = -6.164195, angle = -41.63937, collision = h0502B2
x = -533.6559, y = -414.7874, z = -7.183358, angle = -88.4942, collision = h0502B2
x = -532.2678, y = -414.6947, z = -7.250975, angle = -94.54239, collision = h0502B2
x = -530.9175, y = -414.5866, z = -7.143641, angle = -100.0666, collision = h0502B2
x = -529.4947, y = -414.4991, z = -7.171966, angle = -25.61239, collision = h0502B2
x = -529.1757, y = -414.4679, z = -8.345052, angle = 73.0052, collision = h0502B2
x = -530.4269, y = -414.53, z = -8.750506, angle = 97.02024, collision = h0502B2
x = -531.7805, y = -414.6019, z = -8.845889, angle = 63.78786, collision = h0502B2
x = -533.0159, y = -414.6979, z = -9.469949, angle = 57.38736, collision = h0502B2
x = -533.9231, y = -414.7742, z = -10.0528, angle = 36.54838, collision = h0502B2
x = -534.1555, y = -414.8029, z = -11.1923, angle = -72.54329, collision = h0502B2
x = -532.8654, y = -414.7012, z = -11.43782, angle = -101.8094, collision = h0502B2
x = -531.5168, y = -414.5942, z = -11.2776, angle = -68.20814, collision = h0502B2
x = -530.3176, y = -414.5052, z = -11.91003, angle = -11.26051, collision = h0502B2
x = -530.5032, y = -414.519, z = -13.07523, angle = 82.71864, collision = h0502B2
x = -531.9854, y = -414.6547, z = -13.10251, angle = 95.84739, collision = h0502B2
x = -533.325, y = -414.749, z = -13.07656, angle = 70.01768, collision = h0502B2
x = -534.5551, y = -414.856, z = -13.67634, angle = 24.7668, collision = h0502B2
x = -535.0681, y = -414.9061, z = -14.92941, angle = -41.60544, collision = h0502B2
x = -534.1537, y = -414.8344, z = -15.90244, angle = -59.47912, collision = h0502B2
x = -532.9754, y = -414.7651, z = -16.62575, angle = -56.92118, collision = h0502B2
x = -531.6849, y = -414.6704, z = -17.46394, angle = -38.22229, collision = h0502B2
x = -530.8909, y = -414.6092, z = -18.56941, angle = 26.49613, collision = h0502B2
x = -531.5631, y = -414.6809, z = -19.65197, angle = 63.14024, collision = h0502B2
x = -532.5569, y = -414.7762, z = -20.15869, angle = 66.19053, collision = h0502B2
x = -533.6521, y = -414.8558, z = -20.67729, angle = 28.92171, collision = h0502B2
x = -534.2246, y = -414.9015, z = -21.67283, angle = -43.16568, collision = h0502B2
x = -533.4722, y = -414.8711, z = -22.68878, angle = -56.57536, collision = h0502B2
x = -532.4672, y = -414.7997, z = -23.37422, angle = -36.08479, collision = h0502B2
x = -531.484, y = -414.7218, z = -24.52722, angle = -23.63713, collision = h0502B2
x = -531.0115, y = -414.6898, z = -25.62987, angle = 26.47248, collision = h0502B2
x = -531.5119, y = -414.7474, z = -26.86668, angle = 38.73279, collision = h0502B2
x = -532.2491, y = -414.8236, z = -27.79996, angle = 24.84309, collision = h0502B2
x = -532.8813, y = -414.8924, z = -28.95937, angle = -11.64234, collision = h0502B2
x = -532.7737, y = -414.8938, z = -30.09472, angle = -60.59863, collision = h0502B2
x = -531.7314, y = -414.8171, z = -30.78475, angle = -84.67647, collision = h0502B2
x = -530.4862, y = -414.7294, z = -30.92195, angle = -85.36375, collision = h0502B2
x = -529.2609, y = -414.6425, z = -31.02832, angle = -64.89503, collision = h0502B2
x = -528.1188, y = -414.5776, z = -31.54777, angle = -1.669066, collision = h0502B2
x = -528.0748, y = -414.6438, z = -32.93834, angle = 21.87857, collision = h0502B2
x = -528.5482, y = -414.7357, z = -34.19091, angle = 16.96399, collision = h0502B2
x = -528.8997, y = -414.8148, z = -35.34065, angle = -25.3607, collision = h0502B2
x = -528.5806, y = -414.8536, z = -36.52596, angle = -72.95908, collision = h0502B2
x = -527.476, y = -414.8049, z = -36.94007, angle = -85.63078, collision = h0502B2
x = -526.1685, y = -414.7314, z = -37.11096, angle = -64.60964, collision = h0502B2
x = -525.0616, y = -414.6474, z = -37.60474, angle = -44.21082, collision = h0502B2
x = -524.1708, y = -414.6043, z = -38.49828, angle = -38.62498, collision = h0502B2
x = -523.2314, y = -414.5892, z = -39.64294, angle = -38.95581, collision = h0502B2
x = -522.4506, y = -414.5775, z = -40.61077, angle = -13.29861, collision = h0502B2
x = -522.044, y = -414.5914, z = -41.78471, angle = 14.98531, collision = h0502B2
x = -522.3494, y = -414.6649, z = -42.96202, angle = 20.61434, collision = h0502B2
x = -522.8012, y = -414.761, z = -44.23687, angle = -46.7342, collision = h0502B2
x = -522.1256, y = -414.7426, z = -45.14654, angle = -58.85533, collision = h0502B2
x = -520.9945, y = -414.666, z = -45.86657, angle = -50.98417, collision = h0502B2
x = -520.0957, y = -414.6105, z = -46.62872, angle = -14.37047, collision = h0502B2
x = -519.7388, y = -414.6149, z = -47.87286, angle = 6.769687, collision = h0502B2
x = -519.8483, y = -414.6612, z = -49.19236, angle = 15.69867, collision = h0502B2
x = -520.2496, y = -414.7659, z = -50.45057, angle = 15.83287, collision = h0502B2
x = -520.2663, y = -414.8291, z = -51.78192, angle = -42.01929, collision = h0502B2
x = -519.285, y = -414.7586, z = -52.69949, angle = -112.1896, collision = h0502B2
x = -518.1833, y = -414.6254, z = -52.05141, angle = 166.4764, collision = h0502B2
x = -518.682, y = -414.6155, z = -50.6763, angle = 171.7987, collision = h0502B2
x = -518.8531, y = -414.5793, z = -49.30827, angle = -133.9983, collision = h0502B2
x = -518.0693, y = -414.4864, z = -48.38162, angle = -131.9652, collision = h0502B2
x = -517.1121, y = -414.3918, z = -47.52476, angle = -110.2698, collision = h0502B2
x = -516.0142, y = -414.2105, z = -47.01846, angle = -145.2997, collision = h0502B2
x = -515.1317, y = -413.8444, z = -46.10665, angle = 169.4793, collision = h0502B2
x = -515.2746, y = -413.7411, z = -44.92702, angle = 156.0423, collision = h0502B2
x = -515.7867, y = -413.7402, z = -43.68066, angle = 155.9343, collision = h0502B2
x = -516.273, y = -413.7582, z = -42.59179, angle = 155.2808, collision = h0502B2
x = -516.9194, y = -413.7849, z = -41.19243, angle = -167.255, collision = h0502B2
x = -516.884, y = -413.6423, z = -40.06741, angle = -125.005, collision = h0502B2
x = -515.8932, y = -413.4889, z = -39.29223, angle = -99.52634, collision = h0502B2
x = -514.7012, y = -413.6674, z = -38.95237, angle = -147.5293, collision = h0502B2
x = -513.9589, y = -413.7871, z = -37.99041, angle = -154.9485, collision = h0502B2
x = -513.4072, y = -413.8428, z = -36.80602, angle = -179.1549, collision = h0502B2
x = -513.3161, y = -413.8546, z = -35.61633, angle = 151.5111, collision = h0502B2
x = -513.9211, y = -413.7866, z = -34.4075, angle = 147.3458, collision = h0502B2
x = -514.5554, y = -413.7207, z = -33.40182, angle = 170.345, collision = h0502B2
x = -514.8619, y = -413.6727, z = -32.12805, angle = -157.6678, collision = h0502B2
x = -514.347, y = -413.6633, z = -30.8665, angle = -108.7143, collision = h0502B2
x = -513.1328, y = -413.698, z = -30.37374, angle = -91.63106, collision = h0502B2
x = -511.9256, y = -413.7487, z = -30.29443, angle = -95.67628, collision = h0502B2
x = -510.6591, y = -413.8048, z = -30.28494, angle = -77.90617, collision = h0502B2
x = -509.4068, y = -413.8913, z = -30.49093, angle = -76.99227, collision = h0502B2
x = -508.2171, y = -413.9499, z = -30.76579, angle = -76.72354, collision = h0502B2
x = -506.9127, y = -414.0016, z = -31.05593, angle = -99.05492, collision = h0502B2
x = -505.7367, y = -413.9779, z = -30.88606, angle = -133.4452, collision = h0502B2
x = -504.6362, y = -413.8562, z = -29.81359, angle = -153.7544, collision = h0502B2
x = -504.1069, y = -413.7682, z = -28.74222, angle = -167.6462, collision = h0502B2
x = -503.7638, y = -413.7093, z = -27.44376, angle = -158.8918, collision = h0502B2
x = -503.342, y = -413.6863, z = -26.32428, angle = -160.6842, collision = h0502B2
x = -502.9023, y = -413.6889, z = -25.09806, angle = -143.5223, collision = h0502B2
x = -502.2381, y = -413.7054, z = -24.07307, angle = -117.6336, collision = h0502B2
x = -501.1746, y = -413.7225, z = -23.44519, angle = -93.31377, collision = h0502B2
x = -499.8981, y = -413.8109, z = -23.28253, angle = -82.56631, collision = h0502B2
x = -498.6897, y = -413.9201, z = -23.42268, angle = -85.60323, collision = h0502B2
x = -497.1615, y = -414.0419, z = -23.52185, angle = -97.63447, collision = h0502B2
x = -495.9558, y = -414.1397, z = -23.36973, angle = -97.29807, collision = h0502B2
x = -494.6132, y = -414.2658, z = -23.19631, angle = -96.36916, collision = h0502B2
x = -493.4365, y = -414.3788, z = -23.03201, angle = -144.8277, collision = h0502B2
x = -492.7175, y = -414.3905, z = -22.25198, angle = -150.5869, collision = h0502B2
x = -492.0503, y = -414.4754, z = -21.03762, angle = -165.9538, collision = h0502B2
x = -491.7706, y = -414.48, z = -19.69089, angle = -174.9112, collision = h0502B2
x = -491.7407, y = -414.3897, z = -18.30778, angle = 170.1759, collision = h0502B2
x = -491.9724, y = -414.3138, z = -17.26049, angle = 135.1328, collision = h0502B2
x = -492.9454, y = -414.1878, z = -16.2899, angle = 115.6402, collision = h0502B2
x = -494.4024, y = -414.0554, z = -15.66901, angle = 125.0989, collision = h0502B2
x = -495.3894, y = -413.9518, z = -15.05109, angle = 148.0462, collision = h0502B2
x = -496.1089, y = -413.8043, z = -13.9486, angle = 148.4211, collision = h0502B2
x = -496.747, y = -413.6614, z = -12.90721, angle = 148.6018, collision = h0502B2
x = -497.4829, y = -413.519, z = -11.89942, angle = 96.8555, collision = h0502B2
x = -498.7229, y = -413.4143, z = -11.63351, angle = 128.1332, collision = h0502B2
x = -499.7762, y = -413.2534, z = -10.84056, angle = -173.6603, collision = h0502B2
x = -499.7869, y = -413.2518, z = -9.571938, angle = -162.8274, collision = h0502B2
x = -499.4358, y = -413.2544, z = -8.407956, angle = -171.4899, collision = h0502B2
x = -499.223, y = -413.1242, z = -7.071966, angle = 178.6111, collision = h0502B2
x = -499.2265, y = -413.0105, z = -5.880532, angle = 142.4504, collision = h0502B2
x = -499.9362, y = -412.9145, z = -4.782395, angle = 112.631, collision = h0502B2
x = -501.0306, y = -412.8622, z = -4.306915, angle = 69.89342, collision = h0502B2
x = -502.2307, y = -412.8953, z = -4.664822, angle = 31.81886, collision = h0502B2
x = -502.8612, y = -412.8533, z = -5.478514, angle = 21.2257, collision = h0502B2
x = -504.0128, y = -412.9995, z = -5.681099, angle = 14.49239, collision = h0502B2
x = -504.7754, y = -413.0401, z = -6.382315, angle = 54.21826, collision = h0502B2
x = -505.7336, y = -413.0636, z = -7.117877, angle = 33.55901, collision = h0502B2
x = -506.4636, y = -413.1135, z = -8.189313, angle = -25.6946, collision = h0502B2
x = -506.0321, y = -413.1312, z = -9.281623, angle = -39.93691, collision = h0502B2
x = -505.193, y = -413.1694, z = -10.30681, angle = -56.89179, collision = h0502B2
x = -504.4153, y = -413.2397, z = -11.14626, angle = -34.07502, collision = h0502B2
x = -504.4283, y = -413.3621, z = -12.38467, angle = 51.18033, collision = h0502B2
x = -505.2664, y = -413.4215, z = -13.2077, angle = 88.27168, collision = h0502B2
x = -506.5053, y = -413.3914, z = -13.23952, angle = 115.2373, collision = h0502B2
x = -507.6584, y = -413.334, z = -12.70318, angle = 107.0036, collision = h0502B2
x = -508.7802, y = -413.2711, z = -12.2858, angle = 81.65316, collision = h0502B2
x = -510.1192, y = -413.1861, z = -12.39182, angle = 80.87084, collision = h0502B2
x = -511.3, y = -413.1123, z = -12.50926, angle = 131.9329, collision = h0502B2
x = -512.3821, y = -412.9175, z = -11.75603, angle = 135.903, collision = h0502B2
x = -513.1985, y = -412.7331, z = -10.88471, angle = 140.782, collision = h0502B2
x = -514.1866, y = -412.4924, z = -9.702818, angle = 138.4168, collision = h0502B2
x = -514.9839, y = -412.2662, z = -8.802468, angle = 136.6444, collision = h0502B2
x = -515.8674, y = -411.984, z = -7.863406, angle = 132.1174, collision = h0502B2
x = -516.7905, y = -411.7085, z = -7.021815, angle = 106.7578, collision = h0502B2
x = -517.9451, y = -411.4847, z = -6.662612, angle = 58.51426, collision = h0502B2
x = -519.0655, y = -411.4183, z = -7.296027, angle = -0.4563932, collision = h0502B2
x = -519.092, y = -411.5558, z = -8.4887, angle = -55.00862, collision = h0502B2
x = -518.0804, y = -411.8101, z = -9.345182, angle = -78.36344, collision = h0502B2
x = -516.9247, y = -412.0468, z = -9.620863, angle = -109.0008, collision = h0502B2
x = -515.4716, y = -411.8885, z = -6.688183, angle = 153.255, collision = h0502B2
x = -516.0079, y = -411.6317, z = -5.595086, angle = 175.5471, collision = h0502B2
x = -516.11, y = -411.427, z = -4.376109, angle = -143.3006, collision = h0502B2
x = -515.3959, y = -411.3886, z = -3.325136, angle = -131.1447, collision = h0502B2
x = -514.4961, y = -411.408, z = -2.504933, angle = -110.3363, collision = h0502B2
x = -513.2682, y = -411.4748, z = -1.974583, angle = -163.4031, collision = h0502B2
x = -512.8543, y = -411.3596, z = -0.8917592, angle = 166.8981, collision = h0502B2
x = -513.1246, y = -411.1259, z = 0.4335828, angle = -161.902, collision = h0502B2
x = -512.8072, y = -410.9799, z = 1.777585, angle = -130.0721, collision = h0502B2
