x = 1046.643, y = -330, z = 855.022, angle = -173.3502, collision = h0100B1
x = 985.6407, y = -354.165, z = 935.2883, angle = -161.1601, collision = h0102B1
x = 986.1178, y = -354.1132, z = 936.6979, angle = -137.9857, collision = h0102B1
x = 986.8766, y = -354.0704, z = 937.7608, angle = -157.3326, collision = h0102B1
x = 987.4615, y = -354.019, z = 939.1286, angle = -157.8146, collision = h0102B1
x = 987.96, y = -353.9732, z = 940.3536, angle = -161.7849, collision = h0102B1
x = 988.3506, y = -353.9214, z = 941.7844, angle = 171.9584, collision = h0102B1
x = 988.1734, y = -353.8791, z = 943.0865, angle = 159.2931, collision = h0102B1
x = 987.447, y = -353.8451, z = 944.2887, angle = 135.5644, collision = h0102B1
x = 986.9505, y = -353.8123, z = 945.3951, angle = -105.4578, collision = h0102B1
x = 988.1419, y = -353.7952, z = 945.5824, angle = -16.56731, collision = h0102B1
x = 986.3472, y = -353.8492, z = 944.4607, angle = 80.87521, collision = h0102B1
x = 988.4555, y = -353.8387, z = 944.2089, angle = -19.53712, collision = h0102B1
x = 987.3333, y = -353.9266, z = 941.9036, angle = 136.6687, collision = h0102B1
x = 986.5153, y = -353.9034, z = 942.8104, angle = -60.34798, collision = h0102B1
x = 985.3134, y = -353.8639, z = 944.3032, angle = 115.8195, collision = h0102B1
x = 984.3908, y = -353.8579, z = 944.7279, angle = 71.59525, collision = h0102B1
x = 983.0895, y = -353.8807, z = 944.4019, angle = 67.66699, collision = h0102B1
x = 982.1494, y = -353.9016, z = 944.0332, angle = 102.6068, collision = h0102B1
x = 980.8562, y = -353.9034, z = 944.327, angle = 121.6658, collision = h0102B1
x = 979.6909, y = -353.8903, z = 945.0271, angle = 111.9037, collision = h0102B1
x = 978.7267, y = -353.6849, z = 945.4432, angle = 59.69335, collision = h0102B1
x = 977.7341, y = -353.7065, z = 945.0665, angle = 31.89524, collision = h0102B1
x = 976.2913, y = -353.7287, z = 944.7953, angle = 126.0272, collision = h0102B1
x = 975.1448, y = -353.7164, z = 945.467, angle = 105.0335, collision = h0102B1
x = 974.3256, y = -353.6999, z = 946.1772, angle = -138.7781, collision = h0102B1
x = 974.8898, y = -353.6572, z = 947.2918, angle = 152.0009, collision = h0102B1
x = 974.4278, y = -353.6162, z = 948.6315, angle = -121.7313, collision = h0102B1
x = 975.4248, y = -353.5886, z = 949.1817, angle = -68.78365, collision = h0102B1
x = 976.675, y = -353.6011, z = 948.4762, angle = -42.04387, collision = h0102B1
x = 977.4608, y = -353.6304, z = 947.3967, angle = -16.33821, collision = h0102B1
x = 977.4529, y = -353.6644, z = 946.3896, angle = 36.79409, collision = h0102B1
x = 976.0305, y = -353.6588, z = 946.9399, angle = -50.3715, collision = h0102B1
x = 978.9705, y = -353.6436, z = 946.6008, angle = -92.01292, collision = h0102B1
x = 980.4388, y = -353.8281, z = 946.671, angle = -101.9673, collision = h0102B1
x = 981.6229, y = -353.8037, z = 947.076, angle = -155.8039, collision = h0102B1
x = 982.6898, y = -353.7828, z = 947.4119, angle = -62.18439, collision = h0102B1
x = 983.835, y = -353.7918, z = 946.838, angle = -60.58976, collision = h0102B1
x = 984.9235, y = -353.8063, z = 946.1142, angle = -53.15371, collision = h0102B1
x = 982.1396, y = -353.8577, z = 945.3385, angle = 97.04056, collision = h0102B1
x = 981.1392, y = -353.8622, z = 945.4731, angle = 91.78343, collision = h0102B1
x = 979.5345, y = -353.9332, z = 943.7977, angle = -53.55812, collision = h0102B1
x = 980.4524, y = -353.9734, z = 943.0939, angle = 0.4788782, collision = h0102B1
x = 980.6841, y = -353.8406, z = 941.9929, angle = -44.48979, collision = h0102B1
x = 981.6005, y = -354.007, z = 941.055, angle = -35.3434, collision = h0102B1
x = 982.3582, y = -354.0352, z = 940.0175, angle = 5.072112, collision = h0102B1
x = 982.1763, y = -354.0828, z = 938.6532, angle = 31.72492, collision = h0102B1
x = 981.6271, y = -354.1179, z = 937.7617, angle = 31.24716, collision = h0102B1
x = 980.9399, y = -354.1636, z = 936.5898, angle = 27.94774, collision = h0102B1
x = 983.3275, y = -354.1796, z = 935.4754, angle = 164.4261, collision = h0102B1
x = 982.7544, y = -354.157, z = 936.2974, angle = 84.50381, collision = h0102B1
x = 979.5563, y = -354.2231, z = 935.1757, angle = -128.2759, collision = h0102B1
x = 981.0823, y = -354.0822, z = 938.9637, angle = 106.4145, collision = h0102B1
x = 980.1064, y = -353.9278, z = 939.3756, angle = 80.37827, collision = h0102B1
x = 977.5506, y = -356.0539, z = 938.8011, angle = 72.15924, collision = h0102B1
x = 976.9762, y = -356.1566, z = 937.8964, angle = 58.76047, collision = h0102B1
x = 975.6794, y = -356.1843, z = 937.4229, angle = 119.3424, collision = h0102B1
x = 974.4712, y = -356.1782, z = 937.9273, angle = 114.849, collision = h0102B1
x = 973.5378, y = -356.1734, z = 938.3173, angle = 131.106, collision = h0102B1
x = 972.89, y = -356.1453, z = 939.3267, angle = -111.8884, collision = h0102B1
x = 974.0579, y = -356.1232, z = 939.6682, angle = -63.09912, collision = h0102B1
x = 975.0012, y = -356.1299, z = 939.2145, angle = -98.59364, collision = h0102B1
x = 976.1367, y = -356.1057, z = 939.6307, angle = -177.6564, collision = h0102B1
x = 976.1417, y = -356.0581, z = 941.0397, angle = 143.875, collision = h0102B1
x = 975.2452, y = -356.0327, z = 942.0321, angle = 99.20378, collision = h0102B1
x = 974.2397, y = -356.0348, z = 942.2415, angle = 55.93296, collision = h0102B1
x = 973.1355, y = -356.0673, z = 941.5718, angle = 44.08693, collision = h0102B1
x = 972.012, y = -356.1009, z = 940.8775, angle = 111.2907, collision = h0102B1
x = 970.9565, y = -356.084, z = 941.661, angle = -158.943, collision = h0102B1
x = 971.4162, y = -356.0392, z = 942.8677, angle = -159.9257, collision = h0102B1
x = 971.5434, y = -356, z = 943.9933, angle = 109.2075, collision = h0102B1
x = 970.7588, y = -355.9757, z = 944.9256, angle = -134.2031, collision = h0102B1
x = 971.28, y = -355.9401, z = 945.8404, angle = -178.9277, collision = h0102B1
x = 971.332, y = -355.8904, z = 947.3, angle = -163.0996, collision = h0102B1
x = 971.6781, y = -355.8442, z = 948.5758, angle = -165.1, collision = h0102B1
x = 972.1292, y = -355.7925, z = 949.9892, angle = -152.9838, collision = h0102B1
x = 972.5576, y = -355.7472, z = 951.2163, angle = -170.7717, collision = h0102B1
x = 973.134, y = -355.7063, z = 952.2755, angle = -91.57657, collision = h0102B1
x = 974.1124, y = -355.7063, z = 952.0133, angle = -91.57657, collision = h0102B1
x = 975.0911, y = -355.7098, z = 951.6463, angle = -71.6666, collision = h0102B1
x = 976.4219, y = -355.7127, z = 951.205, angle = -75.90128, collision = h0102B1
x = 977.7106, y = -355.7101, z = 950.9349, angle = -95.69927, collision = h0102B1
x = 978.7615, y = -355.7026, z = 950.8762, angle = -73.51041, collision = h0102B1
x = 979.8672, y = -355.6995, z = 950.6724, angle = -84.23714, collision = h0102B1
x = 981.0392, y = -355.3903, z = 950.3436, angle = -73.62631, collision = h0102B1
x = 982.0388, y = -354.7902, z = 950.0019, angle = -54.78146, collision = h0102B1
x = 983.1649, y = -354.0753, z = 949.2775, angle = -80.98907, collision = h0102B1
x = 984.1485, y = -353.7136, z = 949.0719, angle = -85.6125, collision = h0102B1
x = 985.5035, y = -353.7049, z = 948.9666, angle = -68.05034, collision = h0102B1
x = 986.5177, y = -353.7087, z = 948.5817, angle = -81.5843, collision = h0102B1
x = 987.8703, y = -353.7026, z = 948.4009, angle = -80.39445, collision = h0102B1
x = 989.1784, y = -353.6973, z = 948.2065, angle = -82.83299, collision = h0102B1
x = 990.3428, y = -353.6928, z = 948.0282, angle = -69.09697, collision = h0102B1
x = 991.225, y = -353.7073, z = 947.3604, angle = -62.65388, collision = h0102B1
x = 991.9174, y = -353.7281, z = 946.5608, angle = 20.51121, collision = h0102B1
x = 991.5833, y = -353.7689, z = 945.4387, angle = 8.712015, collision = h0102B1
x = 991.4453, y = -353.82, z = 943.962, angle = 0.06356174, collision = h0102B1
x = 991.3486, y = -353.8652, z = 942.6475, angle = 14.42877, collision = h0102B1
x = 990.9319, y = -353.9126, z = 941.3554, angle = 42.81675, collision = h0102B1
x = 990.259, y = -353.9449, z = 940.5786, angle = 25.2405, collision = h0102B1
x = 989.6525, y = -353.9915, z = 939.356, angle = 5.123352, collision = h0102B1
x = 989.5542, y = -354.037, z = 938.0347, angle = -18.98015, collision = h0102B1
x = 990.3668, y = -354.0633, z = 937.0371, angle = -113.3673, collision = h0102B1
x = 991.436, y = -354.0357, z = 937.5683, angle = -138.8755, collision = h0102B1
x = 991.6861, y = -353.9948, z = 938.715, angle = -157.043, collision = h0102B1
x = 991.9871, y = -354.5647, z = 939.8487, angle = -165.8807, collision = h0102B1
x = 992.2524, y = -355.0826, z = 940.7971, angle = -163.8824, collision = h0102B1
x = 992.62, y = -355.778, z = 942.0672, angle = -164.4159, collision = h0102B1
x = 992.8853, y = -356.2997, z = 943.023, angle = -167.4484, collision = h0102B1
x = 993.1965, y = -356.9951, z = 944.3082, angle = -168.2665, collision = h0102B1
x = 993.4249, y = -357.5163, z = 945.2728, angle = -164.9264, collision = h0102B1
x = 993.6641, y = -358.0379, z = 946.2353, angle = -171.3513, collision = h0102B1
x = 993.8301, y = -358.5996, z = 947.2963, angle = -152.8253, collision = h0102B1
x = 994.2565, y = -358.8502, z = 948.3375, angle = 170.0832, collision = h0102B1
x = 993.6977, y = -358.8255, z = 949.2183, angle = 71.21193, collision = h0102B1
x = 992.8948, y = -358.8555, z = 948.5456, angle = 104.507, collision = h0102B1
x = 992.0355, y = -359.0948, z = 949.2142, angle = 116.871, collision = h0102B1
x = 991.1989, y = -359.607, z = 949.5868, angle = 103.2264, collision = h0102B1
x = 990.0044, y = -360.322, z = 949.9767, angle = 111.4017, collision = h0102B1
x = 989.1649, y = -360.8304, z = 950.3014, angle = 112.8642, collision = h0102B1
x = 988.3167, y = -361.3468, z = 950.6539, angle = 103.8279, collision = h0102B1
x = 987.4647, y = -361.8563, z = 950.9279, angle = 93.01398, collision = h0102B1
x = 986.5659, y = -362.3665, z = 950.9776, angle = 93.88659, collision = h0102B1
x = 985.5029, y = -362.9716, z = 951.0506, angle = 92.70907, collision = h0102B1
x = 984.1448, y = -363.7478, z = 951.1727, angle = 101.9654, collision = h0102B1
x = 983.1328, y = -364.3406, z = 951.3888, angle = 101.7461, collision = h0102B1
x = 981.7929, y = -365.1288, z = 951.7047, angle = 111.232, collision = h0102B1
x = 980.5082, y = -365.6482, z = 952.2028, angle = 111.0667, collision = h0102B1
x = 979.1033, y = -365.6425, z = 952.7463, angle = 111.4267, collision = h0102B1
x = 977.8745, y = -365.6371, z = 953.2358, angle = 109.4374, collision = h0102B1
x = 976.4734, y = -365.6329, z = 953.7369, angle = 110.7821, collision = h0102B1
x = 975.2217, y = -365.6299, z = 954.16, angle = 104.6233, collision = h0102B1
x = 973.782, y = -365.6303, z = 954.5356, angle = 105.0724, collision = h0102B1
x = 972.4795, y = -365.6305, z = 954.8797, angle = 103.1586, collision = h0102B1
x = 971.5051, y = -365.6315, z = 955.1102, angle = 103.1586, collision = h0102B1
x = 971.0883, y = -365.6718, z = 954.0274, angle = -2.483306, collision = h0102B1
x = 971.0547, y = -365.7091, z = 952.9288, angle = 22.46743, collision = h0102B1
x = 970.4268, y = -365.7442, z = 952.0565, angle = 79.19567, collision = h0102B1
x = 969.2636, y = -365.7772, z = 951.8973, angle = 81.01189, collision = h3102B1
x = 967.4188, y = -367.8516, z = 951.4645, angle = 81.01189, collision = h3102B1
x = 967.5878, y = -368.0776, z = 950.4371, angle = -2.894545, collision = h3102B1
x = 967.6606, y = -368.1362, z = 949.31, angle = -3.032023, collision = h3102B1
x = 967.6385, y = -368.199, z = 948.1082, angle = 5.305063, collision = h3102B1
x = 967.5195, y = -368.2583, z = 946.9825, angle = 10.54599, collision = h3102B1
x = 967.209, y = -368.3185, z = 945.8578, angle = 22.73573, collision = h3102B1
x = 966.794, y = -368.1717, z = 948.7055, angle = -167.2915, collision = h3102B1
x = 967.6385, y = -367.9586, z = 952.7128, angle = -165.1148, collision = h3102B1
x = 967.968, y = -367.8812, z = 954.1667, angle = 177.8995, collision = h3102B1
x = 967.8212, y = -367.8213, z = 955.327, angle = 147.4078, collision = h3102B1
x = 966.9166, y = -367.7923, z = 955.9611, angle = 100.8575, collision = h3102B1
x = 965.8151, y = -367.7837, z = 956.2224, angle = 136.0132, collision = h3102B1
x = 964.7856, y = -367.7864, z = 956.2616, angle = 91.28373, collision = h3102B1
x = 963.6802, y = -367.7901, z = 956.2861, angle = 91.7355, collision = h3102B1
x = 962.358, y = -367.7943, z = 956.3221, angle = 102.9032, collision = h3102B1
x = 960.8954, y = -367.787, z = 956.5892, angle = 92.48087, collision = h3102B1
x = 959.7821, y = -367.7899, z = 956.632, angle = 84.70199, collision = h3102B1
x = 958.7304, y = -367.7987, z = 956.5547, angle = 106.8034, collision = h3102B1
x = 957.7681, y = -367.7833, z = 956.9343, angle = 93.86958, collision = h3102B1
x = 956.6232, y = -367.7919, z = 956.8693, angle = 61.77026, collision = h3102B1
x = 956.2855, y = -367.8432, z = 955.917, angle = -6.834151, collision = h3102B1
x = 956.4025, y = -367.9058, z = 954.7079, angle = 4.807497, collision = h3102B1
x = 956.2927, y = -367.9799, z = 953.2977, angle = 13.94012, collision = h3102B1
x = 956.1577, y = -368.0339, z = 952.2758, angle = 1.030047, collision = h3102B1
x = 965.3992, y = -367.7354, z = 957.1835, angle = -176.8419, collision = h3102B1
x = 965.7018, y = -367.6778, z = 958.2615, angle = -152.458, collision = h3102B1
x = 966.1971, y = -368, z = 959.3037, angle = -168.2025, collision = h3102B1
x = 966.3676, y = -368, z = 960.4143, angle = -163.998, collision = h3102B1
x = 966.6076, y = -368, z = 961.5059, angle = 170.7954, collision = h2102B1
x = 966.597, y = -368, z = 962.7366, angle = -166.4451, collision = h2102B1
x = 966.8588, y = -368, z = 964.1912, angle = 176.8218, collision = h2102B1
x = 966.7952, y = -368, z = 965.3767, angle = 176.9275, collision = h2102B1
x = 966.6993, y = -368, z = 966.7588, angle = 174.5497, collision = h2102B1
x = 966.5909, y = -368, z = 968.0766, angle = -173.3072, collision = h2102B1
x = 966.7615, y = -368, z = 969.5549, angle = -133.3687, collision = h2102B1
x = 967.6135, y = -368, z = 970.3607, angle = -53.03725, collision = h2102B1
x = 968.6356, y = -368, z = 969.6206, angle = -46.88762, collision = h2102B1
x = 969.8539, y = -368, z = 968.9417, angle = -106.539, collision = h2102B1
x = 971.1467, y = -368, z = 969.2918, angle = -110.9765, collision = h2102B1
x = 972.3842, y = -368, z = 969.7565, angle = -91.52703, collision = h2102B1
x = 973.8286, y = -368, z = 969.6652, angle = 22.24113, collision = h2102B1
x = 973.6807, y = -368.2481, z = 968.5802, angle = -168.8356, collision = h2102B1
x = 971.9689, y = -368, z = 968.7128, angle = 9.292145, collision = h2102B1
x = 971.8331, y = -368, z = 967.6768, angle = -11.4437, collision = h2102B1
x = 972.0413, y = -368, z = 966.6773, angle = -15.25338, collision = h2102B1
x = 972.1476, y = -368, z = 965.674, angle = 72.31867, collision = h2102B1
x = 970.8378, y = -368, z = 965.2599, angle = 38.02198, collision = h2102B1
x = 969.9723, y = -368, z = 964.1029, angle = 1.141762, collision = h2102B1
x = 970.1049, y = -368, z = 962.7689, angle = -42.81422, collision = h2102B1
x = 970.768, y = -368, z = 962.0123, angle = -77.37492, collision = h2102B1
x = 972.0355, y = -368, z = 961.7219, angle = -70.02108, collision = h2102B1
x = 973.3975, y = -368, z = 961.1896, angle = 1.416212, collision = h2102B1
x = 971.065, y = -368, z = 963.1945, angle = -98.45028, collision = h2102B1
x = 972.0869, y = -368, z = 963.7636, angle = 152.2954, collision = h2102B1
x = 969.5331, y = -368, z = 961.5192, angle = 125.9632, collision = h2102B1
x = 968.5624, y = -368, z = 962.191, angle = -162.4735, collision = h2102B1
x = 968.7916, y = -368, z = 963.2034, angle = -136.4786, collision = h2102B1
x = 969.8852, y = -368, z = 965.8928, angle = 124.2606, collision = h2102B1
x = 968.8243, y = -368, z = 966.559, angle = 127.058, collision = h2102B1
x = 968.0713, y = -368, z = 967.5782, angle = -178.1226, collision = h2102B1
x = 966.5915, y = -368, z = 970.6265, angle = 103.6051, collision = h2102B1
x = 965.5126, y = -368, z = 970.8687, angle = 104.3476, collision = h3102B1
x = 964.3899, y = -368, z = 971.097, angle = -17.8694, collision = h3102B1
x = 964.263, y = -368, z = 969.9995, angle = 25.30876, collision = h3102B1
x = 963.9822, y = -367.8289, z = 969.0344, angle = 5.645001, collision = h3102B1
x = 963.8674, y = -367.2101, z = 967.9573, angle = 6.751014, collision = h3102B1
x = 963.7626, y = -366.6854, z = 967.0449, angle = 8.207497, collision = h3102B1
x = 963.5615, y = -365.889, z = 965.6634, angle = 11.96422, collision = h3102B1
x = 963.3807, y = -365.3673, z = 964.7628, angle = 6.002466, collision = h3102B1
x = 963.2452, y = -364.812, z = 963.7992, angle = 12.5576, collision = h3102B1
x = 963.0508, y = -364.2389, z = 962.8094, angle = 12.5576, collision = h3102B1
x = 963.4429, y = -364, z = 961.8226, angle = -37.90967, collision = h3102B1
x = 964.1157, y = -364, z = 960.951, angle = -77.71942, collision = h3102B1
x = 965.2944, y = -364, z = 960.8319, angle = -87.24986, collision = h3102B1
x = 966.4207, y = -364, z = 960.6668, angle = -78.30666, collision = h3102B1
x = 967.7968, y = -364, z = 960.4213, angle = -90.87505, collision = h3102B1
x = 969.1172, y = -364, z = 960.4696, angle = -94.46767, collision = h3102B1
x = 970.6003, y = -364, z = 960.5903, angle = -93.41296, collision = h3102B1
x = 971.9201, y = -364, z = 960.6622, angle = -90.27615, collision = h3102B1
x = 973.0981, y = -364, z = 960.5938, angle = -75.43994, collision = h3102B1
x = 966.9361, y = -363.9781, z = 959.6782, angle = 20.46233, collision = h3102B1
x = 966.698, y = -363.8969, z = 958.636, angle = -4.041259, collision = h3102B1
x = 966.6911, y = -363.8083, z = 957.4741, angle = 4.468064, collision = h3102B1
x = 966.5724, y = -363.7677, z = 956.3607, angle = -9.994807, collision = h3102B1
x = 967.5578, y = -363.7926, z = 955.8365, angle = -59.35538, collision = h3102B1
x = 968.0764, y = -363.8436, z = 954.7722, angle = 4.25294, collision = h3102B1
x = 967.9991, y = -363.9174, z = 953.3664, angle = 2.733169, collision = h3102B1
x = 967.9216, y = -363.9895, z = 951.9902, angle = 2.174664, collision = h3102B1
x = 967.8672, y = -364.0624, z = 950.5951, angle = 1.768213, collision = h3102B1
x = 967.8278, y = -364.1315, z = 949.2179, angle = 0.6430077, collision = h3102B1
x = 967.8143, y = -364.2002, z = 947.8401, angle = -0.629921, collision = h3102B1
x = 967.8242, y = -364.2503, z = 946.8298, angle = -2.702364, collision = h3102B1
x = 967.7803, y = -364.3091, z = 945.6607, angle = 152.3633, collision = h3102B1
x = 965.1167, y = -363.7778, z = 956.2944, angle = 95.9464, collision = h3102B1
x = 963.772, y = -363.7757, z = 956.45, angle = 91.10762, collision = h3102B1
x = 962.7433, y = -363.7801, z = 956.4555, angle = 77.59251, collision = h3102B1
x = 961.451, y = -363.8009, z = 956.1699, angle = 83.56131, collision = h3102B1
x = 965.0496, y = -363.7986, z = 957.3211, angle = -140.6339, collision = h3102B1
x = 965.7425, y = -363.8595, z = 958.2269, angle = -149.9872, collision = h3102B1
x = 968.828, y = -368, z = 970.9839, angle = -77.86308, collision = h2102B1
x = 970.1042, y = -368, z = 970.6911, angle = -79.82493, collision = h2102B1
x = 971.5712, y = -368, z = 970.4751, angle = -83.21732, collision = h2102B1
x = 974.1153, y = -368.7386, z = 967.6744, angle = -1.153359, collision = h2102B1
x = 974.0374, y = -369.2466, z = 966.7823, angle = 3.350781, collision = h2102B1
x = 973.9381, y = -369.7943, z = 965.8221, angle = 7.799188, collision = h2102B1
x = 973.7581, y = -370.5857, z = 964.4378, angle = 5.314912, collision = h2102B1
x = 973.5853, y = -371.376, z = 963.0547, angle = 36.20022, collision = h2102B1
x = 972.6777, y = -371.8306, z = 961.8501, angle = 68.26949, collision = h2102B1
x = 971.4541, y = -372, z = 961.6622, angle = 106.0611, collision = h2102B1
x = 970.0165, y = -372, z = 961.7126, angle = 76.52072, collision = h2102B1
x = 968.7289, y = -372, z = 961.4454, angle = 87.72932, collision = h2102B1
x = 967.2431, y = -372, z = 961.3914, angle = 92.19066, collision = h2102B1
x = 965.9215, y = -372, z = 961.4466, angle = 101.2676, collision = h2102B1
x = 964.4681, y = -372, z = 961.756, angle = 117.1917, collision = h2102B1
x = 964.3157, y = -372, z = 962.8208, angle = 171.3349, collision = h2102B1
x = 964.1534, y = -372.487, z = 963.8514, angle = 169.1494, collision = h2102B1
x = 963.9583, y = -373.0304, z = 964.8229, angle = 164.5675, collision = h2102B1
x = 964.0102, y = -373.5671, z = 965.7613, angle = -173.2725, collision = h2102B1
x = 964.106, y = -374.0752, z = 966.6454, angle = -166.2901, collision = h2102B1
x = 964.4219, y = -374.5913, z = 967.5245, angle = -158.9139, collision = h2102B1
x = 964.9191, y = -375.3135, z = 968.7496, angle = -159.6177, collision = h2102B1
x = 965.2722, y = -375.8502, z = 969.6615, angle = 175.7457, collision = h2102B1
x = 966.064, y = -376, z = 970.3004, angle = -55.38493, collision = h2102B1
x = 967.2774, y = -376, z = 970.5607, angle = -124.4947, collision = h2102B1
x = 968.6419, y = -376, z = 970.9761, angle = -75.6339, collision = h2102B1
x = 969.9462, y = -376, z = 970.6393, angle = -73.48981, collision = h2102B1
x = 971.3196, y = -376, z = 970.1887, angle = -62.47138, collision = h2102B1
x = 972.4106, y = -376, z = 969.6981, angle = -69.26234, collision = h2102B1
x = 973.2428, y = -376, z = 968.8744, angle = -22.0077, collision = h2102B1
x = 973.6685, y = -376, z = 967.9575, angle = 1.534962, collision = h2102B1
x = 973.5548, y = -376, z = 966.7094, angle = 58.1609, collision = h2102B1
x = 972.2842, y = -376, z = 966.3669, angle = 56.89934, collision = h2102B1
x = 971.2666, y = -376, z = 965.4216, angle = -43.41839, collision = h2102B1
x = 972.0952, y = -376, z = 964.5733, angle = -60.63697, collision = h2102B1
x = 972.9918, y = -376, z = 964.0688, angle = -75.09339, collision = h2102B1
x = 973.6939, y = -376, z = 963.1193, angle = 96.95682, collision = h2102B1
x = 970.2845, y = -376, z = 964.6095, angle = -13.47035, collision = h2102B1
x = 969.6272, y = -376, z = 963.3996, angle = 122.2674, collision = h2102B1
x = 968.6235, y = -376, z = 963.9943, angle = 159.2942, collision = h2102B1
x = 968.1787, y = -376, z = 965.2776, angle = 129.4588, collision = h2102B1
x = 967.2097, y = -376, z = 966.0719, angle = 58.07818, collision = h2102B1
x = 966.1243, y = -376, z = 965.2524, angle = 13.5825, collision = h2102B1
x = 965.7825, y = -376, z = 963.9115, angle = 61.35343, collision = h2102B1
x = 965.9933, y = -376, z = 966.2909, angle = 173.5684, collision = h2102B1
x = 965.8218, y = -376, z = 967.7615, angle = -166.2088, collision = h2102B1
x = 966.1556, y = -376, z = 968.9694, angle = -161.111, collision = h2102B1
x = 967.9415, y = -376, z = 969.6281, angle = 9.336158, collision = h2102B1
x = 967.6127, y = -376, z = 968.2209, angle = 39.30273, collision = h2102B1
x = 968.3806, y = -376, z = 966.6146, angle = -126.8343, collision = h2102B1
x = 969.4413, y = -376, z = 967.3883, angle = -142.8954, collision = h2102B1
x = 970.4935, y = -376, z = 968.4152, angle = -93.83311, collision = h2102B1
x = 971.9606, y = -376, z = 968.4367, angle = -110.8183, collision = h2102B1
x = 974.1788, y = -376, z = 969.9175, angle = -167.5981, collision = h2102B1
x = 973.0897, y = -376, z = 970.5269, angle = 37.83515, collision = h2102B1
x = 971.0168, y = -376, z = 966.6185, angle = 105.4129, collision = h2102B1
x = 968.5056, y = -376, z = 967.7603, angle = 163.5726, collision = h2102B1
x = 964.2029, y = -376, z = 970.3992, angle = 121.6336, collision = h2102B1
x = 963.1682, y = -376, z = 970.998, angle = 70.29292, collision = h2102B1
x = 962.161, y = -376, z = 970.8333, angle = 95.28313, collision = h2102B1
x = 961.0752, y = -376, z = 971.2137, angle = 110.9811, collision = h3102B1
x = 959.9856, y = -376, z = 971.5293, angle = 97.96384, collision = h3102B1
x = 958.9669, y = -376.0001, z = 971.3276, angle = 107.8554, collision = h3102B1
x = 973.2839, y = -368, z = 970.5856, angle = 52.96159, collision = h2102B1
x = 967.7952, y = -368, z = 966.1616, angle = 21.80982, collision = h2102B1
x = 966.8599, y = -367.6586, z = 958.5428, angle = 10.5098, collision = h3102B1
x = 965.7194, y = -363.9792, z = 959.7939, angle = 3.277152, collision = h3102B1
x = 990.6035, y = -354.0208, z = 938.2352, angle = 125.7587, collision = h0102B1
x = 970.3617, y = -356.0523, z = 942.7592, angle = 23.75679, collision = h0102B1
x = 971.9547, y = -356.064, z = 941.9852, angle = -92.74318, collision = h0102B1
x = 974.0206, y = -356.0768, z = 941.0547, angle = 55.5072, collision = h0102B1
x = 972.8867, y = -356.1095, z = 940.3865, angle = 114.7871, collision = h0102B1
x = 972.4303, y = -356.1842, z = 938.2936, angle = 112.8106, collision = h0102B1
x = 971.268, y = -356.4088, z = 938.7772, angle = 114.9944, collision = h0102B1
x = 970.3696, y = -356.9612, z = 939.1978, angle = 115.2797, collision = h0102B1
x = 969.1492, y = -357.7033, z = 939.6971, angle = 101.325, collision = h0102B1
x = 968.1585, y = -358.2821, z = 939.8952, angle = 100.429, collision = h0102B1
x = 966.8254, y = -359.0608, z = 940.1606, angle = 102.7051, collision = h0102B1
x = 965.7375, y = -359.6984, z = 940.3964, angle = 111.7164, collision = h0102B1
x = 964.5825, y = -360.1256, z = 940.8198, angle = 110.4009, collision = h3102B1
x = 963.4885, y = -360.101, z = 941.1302, angle = 102.5813, collision = h3102B1
x = 962.3716, y = -360.3036, z = 941.3254, angle = 94.44677, collision = h3102B1
x = 961.4323, y = -360.8436, z = 941.4068, angle = 94.63374, collision = h3102B1
x = 960.4818, y = -361.3906, z = 941.4807, angle = 94.51359, collision = h3102B1
x = 959.5393, y = -361.9287, z = 941.5606, angle = 94.62231, collision = h3102B1
x = 958.5214, y = -362.5161, z = 941.675, angle = 96.68404, collision = h3102B1
x = 957.2471, y = -363.247, z = 941.8114, angle = 96.42666, collision = h3102B1
x = 956.0688, y = -363.4873, z = 941.9594, angle = 98.03883, collision = h3102B1
x = 954.9543, y = -363.7112, z = 942.1735, angle = 110.9899, collision = h0103B1
x = 954.1999, y = -364.2852, z = 942.4707, angle = 112.8396, collision = h0103B1
x = 953.1244, y = -364.6876, z = 942.7634, angle = 100.7668, collision = h0103B1
x = 951.9875, y = -364.9485, z = 942.9858, angle = 101.7249, collision = h0103B1
x = 950.8878, y = -365.1896, z = 943.2205, angle = 101.9101, collision = h0103B1
x = 949.724, y = -365.3987, z = 943.4725, angle = 102.1929, collision = h0103B1
x = 948.6175, y = -365.5983, z = 943.7092, angle = 101.7473, collision = h0103B1
x = 947.5149, y = -365.7976, z = 943.9371, angle = 102.5323, collision = h0103B1
x = 946.2239, y = -365.9675, z = 944.2244, angle = 103.0916, collision = h0103B1
x = 944.9354, y = -366.1359, z = 944.5231, angle = 102.3945, collision = h0103B1
x = 943.4821, y = -366.2523, z = 944.8424, angle = 95.57861, collision = h0103B1
x = 942.0072, y = -366.3221, z = 944.8806, angle = 57.34007, collision = h0103B1
x = 940.9295, y = -366.3994, z = 944.1458, angle = 33.6611, collision = h0103B1
x = 940.0898, y = -366.5284, z = 942.918, angle = 34.05763, collision = h0103B1
x = 939.2433, y = -366.633, z = 941.9235, angle = 79.75674, collision = h0103B1
x = 937.7834, y = -366.6547, z = 941.7172, angle = 97.89711, collision = h0103B1
