x = -170.2277, y = -98.06839, z = -48.69937, angle = 117.8827, collision = h0007B0
x = -122.8268, y = -68.46325, z = -2.111367, angle = 19.71999, collision = h0011B0
x = -123.1527, y = -68.46285, z = -3.293842, angle = 29.4997, collision = h0011B0
x = -123.8608, y = -68.462, z = -4.539525, angle = 13.45514, collision = h0011B0
x = -123.6304, y = -68.46227, z = -5.6899, angle = -7.10703, collision = h0011B0
x = -122.5905, y = -68.46352, z = -6.372921, angle = -83.8936, collision = h0011B0
x = -121.2532, y = -68.46386, z = -6.761543, angle = -56.9225, collision = h0011B0
x = -120.1717, y = -68.46346, z = -7.384789, angle = -56.82387, collision = h0011B0
x = -119.0069, y = -68.4627, z = -8.216308, angle = -40.34328, collision = h0011B0
x = -118.0961, y = -68.46171, z = -9.316212, angle = -50.85527, collision = h0011B0
x = -117.1476, y = -68.4614, z = -9.650545, angle = 38.6367, collision = h0011B0
x = -119.9398, y = -68.46212, z = -8.861856, angle = 50.46127, collision = h0011B0
x = -119.051, y = -68.46362, z = -7.196809, angle = -126.5487, collision = h0011B0
x = -118.0908, y = -68.46434, z = -6.397532, angle = -120.3434, collision = h0011B0
x = -116.875, y = -68.46503, z = -5.642122, angle = -141.7755, collision = h0011B0
x = -116.6278, y = -68.46615, z = -4.400547, angle = -175.1364, collision = h0011B0
x = -116.4985, y = -68.46743, z = -2.97594, angle = -175.5963, collision = h0011B0
x = -116.4549, y = -68.4684, z = -1.556178, angle = 109.7078, collision = h0011B0
x = -117.7057, y = -68.46808, z = -1.210456, angle = 69.02383, collision = h0011B0
x = -118.8936, y = -68.46738, z = -1.652028, angle = 66.87907, collision = h0011B0
x = -120.2049, y = -68.46641, z = -2.228177, angle = 76.71272, collision = h0011B0
x = -121.5969, y = -68.46473, z = -2.457515, angle = 119.1372, collision = h0011B0
x = -118.1924, y = -68.46307, z = 2.345046, angle = -117.0681, collision = h0011B0
x = -112.8845, y = -69.88702, z = 3.477958, angle = -81.25414, collision = h0013B0
x = -110.1724, y = -69.8871, z = 3.723873, angle = -161.1396, collision = h0013B0
x = -109.2174, y = -69.88712, z = 4.490596, angle = -35.12807, collision = h0013B0
x = -108.3445, y = -69.88714, z = 3.420783, angle = -56.87518, collision = h0013B0
x = -107.1609, y = -69.88708, z = 2.683509, angle = -132.321, collision = h0013B0
x = -106.1922, y = -69.88717, z = 3.682992, angle = -127.9555, collision = h0013B0
x = -105.0181, y = -69.88718, z = 4.101269, angle = -30.76484, collision = h0013B0
x = -104.2834, y = -69.88715, z = 2.921291, angle = -58.62368, collision = h0013B0
x = -103.255, y = -69.88718, z = 2.529778, angle = -131.0796, collision = h0013B0
x = -102.1756, y = -69.88721, z = 3.46648, angle = -132.9654, collision = h0013B0
x = -100.9906, y = -69.88724, z = 4.096432, angle = -51.37742, collision = h0013B0
x = -99.83919, y = -69.88725, z = 3.257992, angle = -61.85296, collision = h0013B0
x = -98.56299, y = -69.88721, z = 2.654989, angle = -130.8962, collision = h0013B0
x = -97.55511, y = -69.88719, z = 3.610099, angle = -127.9772, collision = h0013B0
x = -96.57333, y = -69.88717, z = 4.413852, angle = -112.837, collision = h0013B0
x = -95.13036, y = -69.88713, z = 4.503072, angle = -76.22813, collision = h0013B0
x = -94.68082, y = -69.88712, z = 3.352139, angle = 69.24495, collision = h0013B0
x = -95.95523, y = -69.88715, z = 2.923385, angle = 105.0173, collision = h0013B0
x = -97.27339, y = -69.88718, z = 2.622936, angle = -24.06332, collision = h0013B0
x = -95.82087, y = -69.88715, z = 1.690058, angle = -29.3204, collision = h0013B0
x = -95.16738, y = -69.88712, z = 0.4207847, angle = -18.65424, collision = h0013B0
x = -95.06047, y = -69.88712, z = -0.7577293, angle = 84.70725, collision = h0013B0
x = -96.42741, y = -69.88715, z = -0.9013095, angle = 79.87504, collision = h0013B0
x = -97.83458, y = -69.88719, z = -1.14006, angle = 71.4964, collision = h0013B0
x = -99.21422, y = -69.88723, z = -1.521995, angle = 64.34418, collision = h0013B0
x = -99.18143, y = -69.88722, z = -2.722495, angle = -91.64805, collision = h0013B0
x = -97.76614, y = -69.88718, z = -2.762916, angle = -82.36542, collision = h0013B0
x = -96.51655, y = -69.88715, z = -2.991511, angle = -61.11164, collision = h0013B0
x = -95.46262, y = -69.88712, z = -3.873451, angle = 7.176807, collision = h0013B0
x = -95.78593, y = -69.88713, z = -5.223358, angle = 92.31886, collision = h0013B0
x = -96.82629, y = -69.88716, z = -4.716195, angle = 87.28535, collision = h0013B0
x = -98.18737, y = -69.88719, z = -4.854887, angle = 64.82092, collision = h0013B0
x = -99.1892, y = -69.88722, z = -5.763815, angle = 9.615158, collision = h0013B0
x = -99.20802, y = -69.88723, z = -7.00051, angle = -60.07146, collision = h0013B0
x = -97.98301, y = -69.88718, z = -7.70915, angle = -92.747, collision = h0013B0
x = -96.60654, y = -69.88715, z = -7.550545, angle = -56.46796, collision = h0013B0
x = -95.66756, y = -69.88712, z = -8.390003, angle = 13.26263, collision = h0013B0
x = -96.08456, y = -69.88713, z = -9.722636, angle = 81.12934, collision = h0013B0
x = -97.47111, y = -69.88717, z = -9.885626, angle = 102.5793, collision = h0013B0
x = -98.72313, y = -69.88721, z = -9.636881, angle = 95.19939, collision = h0013B0
x = -99.48979, y = -69.88724, z = -10.52633, angle = -27.3918, collision = h0013B0
x = -98.78317, y = -69.88721, z = -11.74365, angle = -86.08906, collision = h0013B0
x = -97.58125, y = -69.88717, z = -11.58254, angle = -154.0479, collision = h0013B0
x = -95.7105, y = -69.88712, z = -11.04513, angle = 1.462699, collision = h0013B0
x = -95.73193, y = -69.88712, z = -12.45937, angle = 10.32801, collision = h0013B0
x = -95.66632, y = -69.88712, z = -13.84862, angle = -22.65406, collision = h0013B0
x = -95.53909, y = -69.88711, z = -15.17171, angle = 80.09383, collision = h0013B0
x = -96.83962, y = -69.88715, z = -15.20399, angle = 127.2695, collision = h0013B0
x = -98.0102, y = -69.88718, z = -14.39535, angle = 139.8831, collision = h0013B0
x = -98.65563, y = -69.88721, z = -13.40191, angle = -173.6652, collision = h0013B0
x = -99.60219, y = -69.88725, z = -12.37782, angle = -18.87873, collision = h0013B0
x = -99.12408, y = -69.88722, z = -14.41785, angle = 29.50452, collision = h0013B0
x = -99.6554, y = -69.88725, z = -15.46906, angle = 11.08202, collision = h0013B0
x = -99.23952, y = -69.88723, z = -16.5906, angle = -76.25011, collision = h0013B0
x = -97.86938, y = -69.88718, z = -16.85342, angle = -73.45692, collision = h0013B0
x = -96.63917, y = -69.88713, z = -17.40322, angle = -30.72308, collision = h0013B0
x = -95.91898, y = -69.88712, z = -18.64021, angle = -17.13436, collision = h0013B0
x = -95.56305, y = -69.88711, z = -20.01975, angle = 14.67875, collision = h0013B0
x = -96.1487, y = -69.88712, z = -21.19286, angle = 141.2602, collision = h0013B0
x = -96.50664, y = -69.88713, z = -19.4645, angle = 113.7938, collision = h0013B0
x = -97.81403, y = -69.88718, z = -18.91035, angle = 35.99025, collision = h0013B0
x = -98.37703, y = -69.88719, z = -20.02012, angle = -48.06435, collision = h0013B0
x = -97.88355, y = -69.88718, z = -21.12457, angle = 22.40063, collision = h0013B0
x = -98.38798, y = -69.88719, z = -22.38947, angle = 21.04146, collision = h0013B0
x = -98.80436, y = -69.88721, z = -23.56187, angle = -31.18291, collision = h0013B0
x = -97.81072, y = -69.88718, z = -23.29151, angle = -133.4686, collision = h0013B0
x = -96.59689, y = -69.88712, z = -22.61097, angle = -58.80447, collision = h0013B0
x = -95.43736, y = -69.88711, z = -23.38038, angle = -17.09893, collision = h0013B0
x = -95.11503, y = -69.88711, z = -24.64813, angle = -5.975091, collision = h0013B0
x = -95.42007, y = -69.88705, z = -25.73957, angle = 30.1939, collision = h0013B0
x = -95.63039, y = -69.88696, z = -26.86546, angle = -11.15576, collision = h0013B0
x = -95.41853, y = -69.95516, z = -28.27687, angle = -1.859355, collision = h0010B0
x = -95.38746, y = -70.56622, z = -29.23164, angle = -1.443041, collision = h0010B0
x = -95.35336, y = -71.17719, z = -30.18628, angle = 0.2286201, collision = h0010B0
x = -95.40065, y = -71.77979, z = -31.13268, angle = 33.52913, collision = h0010B0
x = -95.79288, y = -72.30565, z = -31.94949, angle = -17.89688, collision = h0010B0
x = -95.5718, y = -72.88132, z = -32.84898, angle = -24.18541, collision = h0010B0
x = -95.23041, y = -73.44425, z = -33.72857, angle = 12.66012, collision = h0010B0
x = -95.38526, y = -73.94516, z = -34.51183, angle = 12.94396, collision = h0010B0
x = -95.59773, y = -74.48646, z = -35.44319, angle = 6.608727, collision = h0010B0
x = -95.5611, y = -74.486, z = -36.83152, angle = -23.94063, collision = h0010B0
x = -94.38345, y = -74.486, z = -36.94494, angle = -83.9213, collision = h0010B0
x = -93.34541, y = -74.486, z = -37.35645, angle = 13.85501, collision = h0010B0
x = -94.24776, y = -74.486, z = -37.94641, angle = 105.816, collision = h0010B0
x = -96.81277, y = -74.486, z = -37.26931, angle = 105.816, collision = h0010B0
x = -97.2922, y = -74.486, z = -38.17875, angle = -19.33946, collision = h0010B0
x = -96.33271, y = -74.486, z = -38.78893, angle = -104.2579, collision = h0010B0
x = -95.35236, y = -74.486, z = -39.00239, angle = -99.21689, collision = h0010B0
x = -93.44131, y = -74.486, z = -38.56758, angle = -97.654, collision = h0010B0
x = -92.29792, y = -74.28528, z = -38.69695, angle = -93.98682, collision = h0010B0
x = -94.51431, y = -74.486, z = -39.55469, angle = 17.46535, collision = h0010B0
x = -95.41314, y = -74.31903, z = -40.20825, angle = 38.8173, collision = h0010B0
x = -95.34536, y = -74.0862, z = -41.26464, angle = -9.679253, collision = h0010B0
x = -95.79155, y = -74.08617, z = -42.34161, angle = 52.85267, collision = h0010B0
x = -96.83631, y = -74.08609, z = -42.89767, angle = 98.1386, collision = h0010B0
x = -98.18774, y = -74.08607, z = -42.60334, angle = 123.2343, collision = h0010B0
x = -99.49429, y = -74.08603, z = -42.46989, angle = 71.91368, collision = h0010B0
x = -100.8731, y = -74.0861, z = -42.88504, angle = 82.20375, collision = h0002B0
x = -102.0398, y = -74.0861, z = -43.10618, angle = 81.32101, collision = h0002B0
x = -103.0358, y = -74.0861, z = -42.1362, angle = 97.98513, collision = h0002B0
x = -104.4081, y = -74.08607, z = -41.9657, angle = 83.74561, collision = h0002B0
x = -105.6681, y = -74.08607, z = -42.15484, angle = 69.91141, collision = h0002B0
x = -106.6832, y = -74.08607, z = -42.52569, angle = 69.19334, collision = h0002B0
x = -107.6462, y = -74.08607, z = -42.89096, angle = 69.19334, collision = h0002B0
x = -108.8071, y = -74.08605, z = -42.86562, angle = 92.69244, collision = h0002B0
x = -108.4205, y = -74.0861, z = -44.0148, angle = -58.13837, collision = h0002B0
x = -107.2465, y = -74.08605, z = -44.81348, angle = -43.63583, collision = h0002B0
x = -106.2584, y = -74.0861, z = -43.92046, angle = -117.5762, collision = h0002B0
x = -104.9963, y = -74.0861, z = -43.38456, angle = -70.30943, collision = h0002B0
x = -103.8435, y = -74.0861, z = -44.0512, angle = -52.6055, collision = h0002B0
x = -102.7105, y = -74.08601, z = -44.88074, angle = -69.79023, collision = h0002B0
x = -101.7665, y = -74.0861, z = -44.09647, angle = 170.3416, collision = h0002B0
x = -102.7612, y = -74.086, z = -41.0962, angle = 166.9531, collision = h0002B0
x = -103.8912, y = -74.08601, z = -41.09343, angle = 8.651882, collision = h0002B0
x = -104.0424, y = -74.0861, z = -42.97918, angle = -7.443841, collision = h0002B0
x = -107.4557, y = -74.08604, z = -41.28264, angle = 52.5877, collision = h0002B0
x = -109.639, y = -74.0861, z = -44.07238, angle = 93.66298, collision = h0002B0
x = -111.025, y = -74.0861, z = -44.10596, angle = 80.58187, collision = h0002B0
x = -112.3953, y = -74.08607, z = -44.06234, angle = 164.8232, collision = h0002B0
x = -112.5142, y = -74.08602, z = -42.74364, angle = -157.9715, collision = h0002B0
x = -111.9602, y = -74.08607, z = -41.43237, angle = -155.8831, collision = h0002B0
x = -110.8258, y = -74.08608, z = -40.77723, angle = -55.10574, collision = h0002B0
x = -109.9296, y = -74.08604, z = -41.72309, angle = 42.95936, collision = h0002B0
x = -110.8281, y = -74.08601, z = -42.6499, angle = 74.60339, collision = h0002B0
x = -113.6219, y = -74.0861, z = -42.65443, angle = 105.1794, collision = h0002B0
x = -115.0336, y = -74.0861, z = -42.46577, angle = 87.54557, collision = h0002B0
x = -116.3095, y = -74.0861, z = -42.5006, angle = 108.6037, collision = h0002B0
x = -117.69, y = -74.0861, z = -42.46577, angle = 78.1152, collision = h0002B0
x = -119.0571, y = -74.0861, z = -42.82238, angle = 82.65028, collision = h0002B0
x = -120.4563, y = -74.0846, z = -42.92463, angle = 87.80154, collision = h0002B0
x = -121.7336, y = -74.08389, z = -43.29359, angle = -13.40807, collision = h0002B0
x = -121.364, y = -74.0853, z = -44.61889, angle = -35.83836, collision = h0002B0
x = -120.6151, y = -74.08679, z = -45.65295, angle = -23.07667, collision = h0002B0
x = -120.0019, y = -74.08843, z = -46.94109, angle = 0.003906868, collision = h0002B0
x = -121.0206, y = -74.08641, z = -47.40991, angle = 39.17499, collision = h0002B0
x = -121.6493, y = -74.08617, z = -48.39571, angle = -17.3823, collision = h0002B0
x = -122.324, y = -73.75755, z = -47.56388, angle = -126.1848, collision = h0002B0
x = -120.429, y = -73.75689, z = -48.24689, angle = -55.61144, collision = h0002B0
x = -119.8179, y = -74.08657, z = -44.64671, angle = 125.362, collision = h0002B0
x = -122.4041, y = -74.08269, z = -42.49748, angle = -146.7066, collision = h0002B0
x = -121.5834, y = -74.08289, z = -41.40353, angle = -125.2436, collision = h0002B0
x = -120.4425, y = -74.08495, z = -40.54211, angle = -159.22, collision = h0002B0
x = -120.2803, y = -74.08569, z = -39.43837, angle = 121.3391, collision = h0002B0
x = -121.4647, y = -74.08421, z = -38.64193, angle = 114.4359, collision = h0002B0
x = -122.7518, y = -74.08283, z = -38.48878, angle = 9.403531, collision = h0002B0
x = -122.6357, y = -74.08189, z = -39.82272, angle = -14.30168, collision = h0002B0
x = -121.3735, y = -74.08382, z = -39.85268, angle = 157.4747, collision = h0002B0
x = -122.6928, y = -74.08389, z = -37.37669, angle = 172.8502, collision = h0002B0
x = -122.7786, y = -74.08518, z = -35.89792, angle = -144.5224, collision = h0002B0
x = -121.8444, y = -74.08662, z = -34.91767, angle = -95.48682, collision = h0002B0
x = -120.4994, y = -74.08726, z = -35.07349, angle = -35.36414, collision = h0002B0
x = -119.8898, y = -74.08772, z = -36.13671, angle = 37.61665, collision = h0002B0
x = -120.7272, y = -74.08596, z = -37.22165, angle = 52.80953, collision = h0002B0
x = -121.4175, y = -74.08596, z = -35.91291, angle = -171.1087, collision = h0002B0
x = -121.313, y = -74.08774, z = -34.02992, angle = 165.3957, collision = h0002B0
x = -122.1297, y = -74.08781, z = -33.4271, angle = -176.5495, collision = h0002B0
x = -120.1527, y = -74.08838, z = -34.0666, angle = -78.85902, collision = h0002B0
x = -119.888, y = -74.08973, z = -32.75508, angle = -175.914, collision = h0003B0
x = -119.9081, y = -74.14061, z = -31.60457, angle = 167.1559, collision = h0003B0
x = -120.1721, y = -74.14111, z = -30.53432, angle = 133.1166, collision = h0003B0
x = -121.2889, y = -74.14127, z = -29.97778, angle = 111.4762, collision = h0003B0
x = -121.088, y = -74.1419, z = -28.76017, angle = -161.6947, collision = h0003B0
x = -120.9603, y = -74.14242, z = -27.74626, angle = -131.9049, collision = h0003B0
x = -120.9616, y = -74.14305, z = -26.48075, angle = 148.1955, collision = h0003B0
x = -121.6437, y = -74.14345, z = -25.54112, angle = 141.6253, collision = h0003B0
x = -119.7535, y = -74.14156, z = -29.58434, angle = -163.5993, collision = h0003B0
x = -121.922, y = -74.14211, z = -28.16525, angle = -171.9003, collision = h0003B0
x = -121.4714, y = -74.14404, z = -24.38802, angle = 177.4372, collision = h0003B0
x = -120.499, y = -74.14407, z = -24.05144, angle = -61.78933, collision = h0003B0
x = -120.455, y = -74.14457, z = -22.90777, angle = 125.395, collision = h0003B0
x = -121.3721, y = -74.14515, z = -21.88744, angle = 140.23, collision = h0003B0
x = -121.8652, y = -74.14561, z = -20.97944, angle = -165.9207, collision = h0003B0
x = -121.7353, y = -74.14605, z = -19.95584, angle = -147.3658, collision = h0003B0
x = -120.9669, y = -74.14645, z = -18.75726, angle = -147.3505, collision = h0003B0
x = -120.6072, y = -74.14683, z = -17.79061, angle = -163.6055, collision = h0003B0
x = -122.1832, y = -74.14662, z = -18.79441, angle = 164.3802, collision = h0003B0
x = -122.7443, y = -74.14726, z = -17.51165, angle = -173.0048, collision = h0003B0
x = -122.6239, y = -74.15641, z = -16.20435, angle = -161.144, collision = h0003B0
x = -122.215, y = -74.15641, z = -14.82431, angle = -138.8123, collision = h0003B0
x = -121.1263, y = -74.15641, z = -14.41306, angle = -6.418452, collision = h0003B0
x = -120.9084, y = -74.15641, z = -15.80066, angle = -1.658848, collision = h0003B0
x = -119.9668, y = -74.14588, z = -19.73319, angle = -0.8998228, collision = h0003B0
x = -119.9726, y = -74.14535, z = -20.95536, angle = -2.496188, collision = h0003B0
x = -119.8154, y = -74.14558, z = -15.08687, angle = 175.1627, collision = h0003B0
x = -120.0084, y = -74.15641, z = -13.71919, angle = 171.5928, collision = h0003B0
x = -120.3731, y = -74.1361, z = -12.48602, angle = -157.1131, collision = h0003B0
x = -120.1533, y = -74.13609, z = -11.25787, angle = -176.5971, collision = h0003B0
x = -120.1533, y = -74.13609, z = -9.827361, angle = 173.912, collision = h0003B0
x = -120.3503, y = -74.13608, z = -8.414965, angle = 164.3442, collision = h0003B0
x = -120.7495, y = -74.13607, z = -7.03913, angle = 169.6488, collision = h0003B0
x = -120.7517, y = -74.13606, z = -5.635453, angle = -167.2417, collision = h0003B0
x = -120.4325, y = -74.13605, z = -4.247987, angle = -167.846, collision = h0003B0
x = -120.25, y = -74.13605, z = -2.988226, angle = -178.6573, collision = h0003B0
x = -120.2158, y = -74.13604, z = -1.555712, angle = -178.3527, collision = h0003B0
x = -120.2115, y = -74.13603, z = -0.1236425, angle = 172.6624, collision = h0003B0
x = -120.3912, y = -74.13602, z = 1.297786, angle = 170.8862, collision = h0003B0
x = -120.6243, y = -74.13602, z = 2.711535, angle = 179.4485, collision = h0003B0
x = -120.6901, y = -74.13601, z = 4.14126, angle = 178.1323, collision = h0003B0
x = -120.7372, y = -74.13601, z = 5.573417, angle = 178.0644, collision = h0003B0
x = -120.6364, y = -74.13602, z = 6.799178, angle = -173.7346, collision = h0001B0
x = -120.5385, y = -74.13601, z = 8.213761, angle = 130.9985, collision = h0001B0
x = -121.5862, y = -74.13604, z = 9.13636, angle = 150.2894, collision = h0001B0
x = -121.9337, y = -74.13605, z = 10.25797, angle = 178.8154, collision = h0001B0
x = -121.7694, y = -74.13603, z = 11.65962, angle = -164.3626, collision = h0001B0
x = -121.5108, y = -74.13601, z = 12.89404, angle = -179.8459, collision = h0001B0
x = -121.4913, y = -74.13602, z = 14.32667, angle = -177.7571, collision = h0001B0
x = -121.506, y = -74.13607, z = 15.75347, angle = 157.225, collision = h0001B0
x = -122.0344, y = -74.13603, z = 17.08463, angle = -159.1959, collision = h0001B0
x = -121.2757, y = -74.1361, z = 17.89545, angle = -83.33108, collision = h0001B0
x = -119.8513, y = -74.1361, z = 17.84356, angle = -101.8397, collision = h0001B0
x = -121.0327, y = -74.1361, z = 16.71841, angle = 12.40771, collision = h0001B0
x = -120.6141, y = -74.1361, z = 15.14872, angle = -84.68005, collision = h0001B0
x = -119.4087, y = -74.1361, z = 14.58492, angle = -36.77903, collision = h0001B0
x = -119.09, y = -74.1361, z = 13.31804, angle = 13.74709, collision = h0001B0
x = -119.3717, y = -74.1361, z = 12.07279, angle = 1.758815, collision = h0001B0
x = -119.1482, y = -74.1361, z = 10.73857, angle = -44.40362, collision = h0001B0
x = -119.0832, y = -74.1361, z = 9.556709, angle = 22.40141, collision = h0001B0
x = -120.456, y = -74.13606, z = 11.34292, angle = -16.0793, collision = h0001B0
x = -120.212, y = -74.13605, z = 10.0339, angle = 11.74657, collision = h0001B0
x = -123.1497, y = -74.11326, z = -15.19785, angle = 60.33926, collision = h0050B0
x = -124.2394, y = -74.61639, z = -15.69559, angle = 85.36035, collision = h0050B0
x = -125.2347, y = -75.25391, z = -15.7477, angle = 97.93807, collision = h0050B0
x = -126.0594, y = -75.78358, z = -15.63167, angle = 99.29347, collision = h0050B0
x = -127.0666, y = -76.435, z = -15.47305, angle = 99.402, collision = h0050B0
x = -128.009, y = -77.04117, z = -15.31711, angle = 102.3813, collision = h0050B0
x = -128.9433, y = -77.64176, z = -15.11846, angle = 106.0771, collision = h0050B0
x = -129.8672, y = -78.23563, z = -15.10251, angle = 95.18982, collision = h0050B0
x = -131.2453, y = -78.29225, z = -15.29611, angle = 57.54238, collision = h0050B0
x = -132.2391, y = -78.29757, z = -15.91148, angle = 54.4386, collision = h0050B0
x = -131.3292, y = -78.3218, z = -16.60882, angle = -31.75483, collision = h0050B0
x = -130.7021, y = -78.3218, z = -17.46234, angle = -11.11362, collision = h0050B0
x = -131.0214, y = -78.3218, z = -18.49172, angle = 89.0632, collision = h0050B0
x = -132.4349, y = -78.3218, z = -18.48556, angle = 96.86306, collision = h0050B0
x = -133.7173, y = -78.3218, z = -18.30945, angle = 94.18353, collision = h0050B0
x = -135.1454, y = -78.3218, z = -18.19328, angle = 72.32713, collision = h0050B0
x = -136.4684, y = -78.3218, z = -18.61866, angle = 59.30704, collision = h0050B0
x = -137.7595, y = -78.3218, z = -19.20404, angle = 87.25381, collision = h0050B0
x = -139.1886, y = -78.31963, z = -19.28747, angle = 156.0816, collision = h0050B0
x = -139.5649, y = -78.29727, z = -18.10799, angle = -136.4939, collision = h0050B0
x = -138.5799, y = -78.3218, z = -17.08539, angle = -104.9046, collision = h0050B0
x = -137.3663, y = -78.3218, z = -16.82395, angle = -86.93314, collision = h0050B0
x = -135.9355, y = -78.3218, z = -16.90315, angle = -81.60609, collision = h0050B0
x = -134.546, y = -78.3218, z = -17.20576, angle = -44.05764, collision = h0050B0
x = -134.4253, y = -78.3218, z = -19.05932, angle = 110.7495, collision = h0050B0
x = -137.7199, y = -78.3218, z = -17.76644, angle = 66.19843, collision = h0050B0
x = -140.6914, y = -78.086, z = -18.76372, angle = 63.92601, collision = h0030B0
x = -142.0093, y = -78.08551, z = -18.97703, angle = 115.9192, collision = h0030B0
x = -143.3042, y = -78.08504, z = -18.45141, angle = 83.23119, collision = h0030B0
x = -144.5532, y = -78.08458, z = -18.58359, angle = 79.87962, collision = h0030B0
x = -145.9677, y = -78.08405, z = -18.81174, angle = 85.62598, collision = h0030B0
x = -147.3952, y = -78.08353, z = -18.89548, angle = 90.42487, collision = h0031B0
x = -148.8249, y = -78.08713, z = -18.85033, angle = 169.2331, collision = h0031B0
x = -149.1244, y = -78.27104, z = -17.53961, angle = 162.1647, collision = h0031B0
x = -149.5515, y = -78.36137, z = -16.17641, angle = 172.8749, collision = h0031B0
x = -149.7524, y = -78.36137, z = -14.91671, angle = 163.2383, collision = h0031B0
x = -150.4266, y = -78.22726, z = -13.70278, angle = 112.9109, collision = h0031B0
x = -151.7448, y = -78.36137, z = -13.18751, angle = 96.64357, collision = h0031B0
x = -152.8013, y = -78.36137, z = -13.47861, angle = 67.09285, collision = h0031B0
x = -153.9191, y = -78.36137, z = -13.02976, angle = 92.54686, collision = h0031B0
x = -155.0289, y = -78.36137, z = -12.98184, angle = 64.44921, collision = h0031B0
x = -155.9621, y = -78.36137, z = -13.58042, angle = 105.2766, collision = h0031B0
x = -157.0262, y = -78.36137, z = -13.29535, angle = 104.8552, collision = h0031B0
x = -158.4124, y = -78.36137, z = -13.05193, angle = 33.67842, collision = h0031B0
x = -158.6135, y = -78.36137, z = -14.15155, angle = 42.23293, collision = h0031B0
x = -159.6222, y = -78.36136, z = -14.84399, angle = 91.5679, collision = h0031B0
x = -157.7605, y = -78.36137, z = -14.96761, angle = -92.12717, collision = h0031B0
x = -156.5089, y = -78.36137, z = -14.68583, angle = -68.78711, collision = h0031B0
x = -155.4463, y = -78.36137, z = -15.038, angle = -2.701422, collision = h0031B0
x = -155.2429, y = -78.0827, z = -16.07042, angle = -23.36339, collision = h0031B0
x = -154.0437, y = -78.0827, z = -16.08844, angle = -123.6315, collision = h0031B0
x = -152.92, y = -78.2878, z = -15.22993, angle = -114.6415, collision = h0031B0
x = -151.6311, y = -78.36137, z = -14.63002, angle = -100.666, collision = h0031B0
x = -150.1144, y = -78.36139, z = -17.2094, angle = 55.62797, collision = h0031B0
x = -151.1119, y = -78.36143, z = -18.20939, angle = -18.85785, collision = h0031B0
x = -150.615, y = -78.36149, z = -19.47496, angle = -34.63963, collision = h0031B0
x = -149.7949, y = -78.36154, z = -20.64667, angle = -33.07759, collision = h0031B0
x = -149.2712, y = -78.3616, z = -21.9263, angle = 57.05764, collision = h0031B0
x = -150.4368, y = -78.36163, z = -22.57934, angle = 87.99519, collision = h0031B0
x = -151.6962, y = -78.30764, z = -22.52604, angle = 170.1099, collision = h0031B0
x = -151.6957, y = -78.31696, z = -21.36814, angle = -68.40695, collision = h0031B0
x = -148.3343, y = -78.0827, z = -22.98476, angle = 15.31944, collision = h0031B0
x = -148.6255, y = -78.08289, z = -24.12227, angle = 73.0479, collision = h0031B0
x = -149.6238, y = -78.36171, z = -24.58736, angle = 91.04354, collision = h0031B0
x = -150.8976, y = -78.36171, z = -24.56252, angle = 96.96701, collision = h0031B0
x = -152.3209, y = -78.08286, z = -24.40158, angle = 27.1331, collision = h0031B0
x = -152.132, y = -78.08302, z = -25.70729, angle = -65.17857, collision = h0031B0
x = -150.852, y = -78.36179, z = -26.34387, angle = -77.69811, collision = h0031B0
x = -149.7484, y = -78.3618, z = -26.78312, angle = -65.19698, collision = h0031B0
x = -148.7299, y = -78.04931, z = -27.20536, angle = -56.92437, collision = h0031B0
x = -148.5467, y = -78.04202, z = -28.40843, angle = 60.65154, collision = h0031B0
x = -149.8121, y = -78.3619, z = -29.10293, angle = 83.02786, collision = h0031B0
x = -151.2173, y = -78.36191, z = -29.18138, angle = 96.43305, collision = h0031B0
x = -152.5003, y = -78.08295, z = -29.45436, angle = -17.01492, collision = h0031B0
x = -152.175, y = -77.94731, z = -30.55434, angle = -58.96113, collision = h0031B0
x = -150.8767, y = -78.36201, z = -31.58275, angle = -60.02738, collision = h0031B0
x = -149.9361, y = -78.36204, z = -32.15438, angle = -24.17173, collision = h0031B0
x = -149.4083, y = -78.14796, z = -33.38377, angle = 46.57753, collision = h0031B0
x = -149.9946, y = -78.36213, z = -34.27873, angle = 68.62259, collision = h0031B0
x = -151.3373, y = -78.36214, z = -34.76934, angle = 110.4056, collision = h0031B0
x = -152.3324, y = -78.08321, z = -34.0513, angle = -111.3409, collision = h0031B0
x = -151.0943, y = -78.3621, z = -33.70235, angle = -35.74798, collision = h0031B0
x = -149.7345, y = -78.36217, z = -35.45776, angle = -11.20662, collision = h0031B0
x = -149.7736, y = -78.09471, z = -36.76249, angle = 103.0081, collision = h0031B0
x = -151.0808, y = -78.29595, z = -36.48882, angle = 146.4202, collision = h0031B0
x = -152.8425, y = -78.08295, z = -34.96008, angle = -8.222168, collision = h0031B0
x = -152.5572, y = -78.08316, z = -36.16305, angle = -53.24628, collision = h0031B0
x = -151.406, y = -78.09973, z = -37.6285, angle = 38.32056, collision = h0031B0
x = -152.0748, y = -78.09973, z = -38.68709, angle = -6.501657, collision = h0031B0
x = -151.616, y = -78.09973, z = -39.9498, angle = -76.33813, collision = h0031B0
x = -150.2668, y = -78.09973, z = -39.99251, angle = -135.2245, collision = h0031B0
x = -149.3258, y = -78.09973, z = -38.93349, angle = -106.7586, collision = h0031B0
