x = -57.91173, y = -27.25878, z = -17.22461, angle = -110.0368, collision = h1070B1
x = -61.5232, y = -31.09307, z = -41.00641, angle = -124.753, collision = h1044B1
x = -61.75885, y = -31.08599, z = -39.49446, angle = -150.7772, collision = h1044B1
x = -62.72794, y = -31.08574, z = -38.63989, angle = 88.62884, collision = h1044B1
x = -64.03822, y = -31.08032, z = -38.57899, angle = 75.24607, collision = h1094B1
x = -64.95829, y = -31.07795, z = -38.01384, angle = 134.3735, collision = h1094B1
x = -65.60929, y = -31.07723, z = -37.1912, angle = 166.2643, collision = h1094B1
x = -65.82066, y = -31.07648, z = -36.02857, angle = -172.0927, collision = h1094B1
x = -65.5732, y = -31.07559, z = -34.68004, angle = -162.8923, collision = h1094B1
x = -65.19469, y = -31.07504, z = -33.71933, angle = 166.4224, collision = h1094B1
x = -66.79369, y = -31.07545, z = -35.10759, angle = 137.795, collision = h1094B1
x = -67.51173, y = -31.07461, z = -34.31164, angle = 128.7468, collision = h1094B1
x = -68.89771, y = -31.48984, z = -33.78083, angle = 83.50906, collision = h1094B1
x = -68.00145, y = -31.8104, z = -32.68504, angle = -149.3822, collision = h1094B1
x = -67.23601, y = -31.81038, z = -31.57568, angle = -156.5885, collision = h1094B1
x = -67.63712, y = -31.81038, z = -30.24179, angle = 105.6813, collision = h1094B1
x = -68.93383, y = -31.81039, z = -29.95228, angle = 82.0743, collision = h1094B1
x = -70.29402, y = -31.45535, z = -30.17962, angle = 124.7463, collision = h1094B1
x = -71.21417, y = -31.50943, z = -29.75379, angle = 149.1827, collision = h1094B1
x = -70.10964, y = -31.51981, z = -31.52848, angle = 26.34183, collision = h1094B1
x = -68.2748, y = -31.81039, z = -31.61262, angle = 137.466, collision = h1094B1
x = -68.96774, y = -31.70178, z = -28.87147, angle = 115.5823, collision = h1094B1
x = -69.90063, y = -31.07791, z = -28.35556, angle = 134.9659, collision = h1094B1
x = -70.49006, y = -30.49032, z = -27.69749, angle = -178.6299, collision = h1094B1
x = -70.6129, y = -29.93803, z = -26.81262, angle = -165.7019, collision = h1094B1
x = -70.96017, y = -29.18239, z = -25.7137, angle = 119.7891, collision = h1094B1
x = -72.10609, y = -28.79936, z = -25.17075, angle = 146.9386, collision = h1094B1
x = -72.263, y = -23.31844, z = -24.23439, angle = 106.0917, collision = h1095B1
x = -73.20686, y = -23.12439, z = -23.63997, angle = 143.6193, collision = h1095B1
x = -72.58453, y = -23.10288, z = -22.8334, angle = -100.3976, collision = h1095B1
x = -71.25742, y = -23.13588, z = -22.55559, angle = -105.6364, collision = h1095B1
x = -70.32455, y = -23.14841, z = -22.18202, angle = -152.6179, collision = h1095B1
x = -69.54696, y = -23.11011, z = -21.05606, angle = -101.7539, collision = h1095B1
x = -68.21539, y = -23.13838, z = -20.69644, angle = -148.6619, collision = h1095B1
x = -67.44295, y = -23.10026, z = -19.57677, angle = -107.285, collision = h1095B1
x = -66.15841, y = -23.11567, z = -19.22134, angle = -141.7197, collision = h1095B1
x = -65.26891, y = -23.10106, z = -18.23163, angle = -95.47513, collision = h1095B1
x = -64.25119, y = -23.09074, z = -17.97754, angle = -137.7009, collision = h1095B1
x = -63.2304, y = -23.07596, z = -17.06486, angle = -115.1521, collision = h1095B1
x = -62.18887, y = -23.07374, z = -16.29366, angle = -106.1391, collision = h1095B1
x = -60.89102, y = -23.08309, z = -15.92804, angle = -90.34465, collision = h1095B1
x = -59.58734, y = -23.08309, z = -15.6507, angle = -148.7029, collision = h1095B1
x = -58.89762, y = -23.08309, z = -14.45409, angle = -110.2287, collision = h1095B1
x = -57.70683, y = -23.08309, z = -13.82925, angle = -117.9577, collision = h1095B1
x = -56.69088, y = -23.08309, z = -12.98409, angle = -155.2163, collision = h1095B1
x = -55.48984, y = -23.08309, z = -12.36355, angle = -81.86393, collision = h1095B1
x = -54.19768, y = -23.08309, z = -12.20002, angle = -157.4755, collision = h1095B1
x = -53.55737, y = -23.08309, z = -10.99136, angle = -102.551, collision = h1095B1
x = -52.3081, y = -23.08309, z = -10.47797, angle = -160.51, collision = h1095B1
x = -51.45463, y = -23.08309, z = -9.589664, angle = -101.8293, collision = h1095B1
x = -50.41068, y = -23.08309, z = -9.34723, angle = -77.61053, collision = h1095B1
x = -49.17906, y = -23.08309, z = -9.115258, angle = -152.5299, collision = h1095B1
x = -61.03308, y = -23.07885, z = -16.95104, angle = 3.467783, collision = h1095B1
x = -63.85251, y = -23.27467, z = -21.57603, angle = -48.56169, collision = h1095B1
x = -22.12582, y = -13.36457, z = -56.48622, angle = -42.16154, collision = h1101B1
x = -20.64831, y = -13.36521, z = -58.19246, angle = -37.99409, collision = h1101B1
x = -19.57446, y = -13.36686, z = -65.09003, angle = -42.46614, collision = h1101B1
x = -18.67213, y = -13.36746, z = -66.13001, angle = -51.22717, collision = h1101B1
x = -17.60815, y = -13.36746, z = -67.0039, angle = -53.33183, collision = h1101B1
x = -16.36166, y = -13.371, z = -67.90637, angle = -62.37718, collision = h1101B1
x = -15.19599, y = -13.41744, z = -68.63528, angle = -48.5687, collision = h1101B1
x = -14.15886, y = -13.45937, z = -69.54368, angle = -65, collision = h1101B1
x = -13.36386, y = -13.37784, z = -70.3, angle = -72.89081, collision = h1101B1
x = -12.32498, y = -13.37826, z = -70.79817, angle = -74.4305, collision = h1101B1
x = -12.54417, y = -13.46659, z = -71.87255, angle = 26.49702, collision = h1101B1
x = -12.81078, y = -13.5226, z = -73.00024, angle = 12.94218, collision = h1101B1
x = -13.08496, y = -13.73826, z = -74.08025, angle = 30.02837, collision = h1101B1
x = -12.05049, y = -13.6736, z = -73.8996, angle = -118.4848, collision = h1101B1
x = -13.78652, y = -13.57324, z = -72.71878, angle = 152.9278, collision = h1101B1
x = -11.27931, y = -13.38025, z = -71.00874, angle = -58.9744, collision = h1101B1
x = -11.08169, y = -13.37975, z = -70.00046, angle = 112.1419, collision = h1101B1
x = -15.35131, y = -13.4383, z = -69.82235, angle = 112.3823, collision = h1101B1
x = -16.35032, y = -13.37375, z = -69.21181, angle = 156.3943, collision = h1101B1
x = -15.33317, y = -13.26235, z = -67.42037, angle = -86.99418, collision = h1101B1
x = -14.20085, y = -13.44816, z = -67.65211, angle = -81.0864, collision = h1101B1
x = -13.05175, y = -13.45937, z = -67.57921, angle = -104.5822, collision = h1101B1
x = -11.90539, y = -12.96574, z = -67.3055, angle = -81.71488, collision = h1103B1
x = -11.34255, y = -12.4311, z = -67.8355, angle = -22.7657, collision = h1103B1
x = -10.61914, y = -11.63705, z = -68.8661, angle = -97.09961, collision = h1103B1
x = -9.708923, y = -11.02554, z = -68.89566, angle = -60.27317, collision = h1103B1
x = -8.900596, y = -10.39842, z = -69.19675, angle = -41.51736, collision = h1103B1
x = -7.957875, y = -10.01029, z = -70.1815, angle = -54.0065, collision = h1103B1
x = -6.921041, y = -10.01222, z = -69.98343, angle = -162.7552, collision = h1103B1
x = -6.443776, y = -9.977453, z = -68.99104, angle = -96.27428, collision = h1103B1
x = -5.352738, y = -10.00143, z = -69.22351, angle = -116.707, collision = h1103B1
x = -4.417701, y = -10.01872, z = -68.52834, angle = -132.3027, collision = h1103B1
x = -3.651707, y = -10.02291, z = -67.40218, angle = -161.4086, collision = h1103B1
x = -3.31465, y = -10.0196, z = -66.39055, angle = 127.4132, collision = h1064B1
x = -2.505414, y = -10.01827, z = -62.78794, angle = 130.7187, collision = h1064B1
x = -3.359357, y = -10.00323, z = -61.8989, angle = -167.1524, collision = h1064B1
x = -2.631172, y = -10.01881, z = -60.9287, angle = -146.6644, collision = h1064B1
x = -2.059238, y = -10.01923, z = -59.86507, angle = -158.5099, collision = h1064B1
x = -1.471785, y = -10.0197, z = -58.62951, angle = -157.7736, collision = h1064B1
x = -0.7817793, y = -10.02018, z = -57.44695, angle = -141.701, collision = h1064B1
x = 0.2609343, y = -10.02056, z = -56.8004, angle = -14.14326, collision = h1064B1
x = 0.2544092, y = -10.02016, z = -58.09521, angle = 45.30831, collision = h1064B1
x = -0.8049941, y = -10.01958, z = -59.4168, angle = -122.1027, collision = h1064B1
x = 1.525855, y = -10.02051, z = -57.69196, angle = -126.0541, collision = h1064B1
x = -0.4608456, y = -10.01929, z = -60.56101, angle = 40.46069, collision = h1064B1
x = -1.157733, y = -10.01892, z = -61.36731, angle = 26.03284, collision = h1064B1
x = -1.251144, y = -10.01859, z = -62.42825, angle = -77.44133, collision = h1064B1
x = 0.04838787, y = -10.01881, z = -62.42987, angle = -165.3256, collision = h1064B1
x = 0.7230363, y = -10.01955, z = -60.39051, angle = -73.28588, collision = h1064B1
x = 1.753504, y = -10.01967, z = -60.58072, angle = -116.8288, collision = h1064B1
x = 2.874242, y = -10.02004, z = -60.0106, angle = -108.5143, collision = h1064B1
x = 4.121699, y = -10.02033, z = -59.74182, angle = -116.366, collision = h1064B1
x = 5.203733, y = -10.02071, z = -59.11096, angle = -92.13059, collision = h1064B1
x = 6.241529, y = -10.02082, z = -59.3441, angle = -22.62088, collision = h1064B1
x = 6.60986, y = -10.02059, z = -60.32382, angle = 18.10597, collision = h1064B1
x = 6.614946, y = -10.02019, z = -61.64044, angle = -77.64392, collision = h1064B1
x = 7.915013, y = -10.02066, z = -62.03689, angle = 0.02465698, collision = h1064B1
x = 7.609756, y = -10.02077, z = -63.05088, angle = 112.8108, collision = h1064B1
x = 5.697307, y = -10.02029, z = -60.79721, angle = 54.37725, collision = h1064B1
x = 4.654689, y = -10.01984, z = -61.69064, angle = 33.92156, collision = h1064B1
x = 3.609168, y = -10.01943, z = -62.42705, angle = 95.69459, collision = h1064B1
x = 2.264658, y = -10.01914, z = -62.61295, angle = 52.57021, collision = h1064B1
x = 1.178719, y = -10.01869, z = -63.46004, angle = 58.71127, collision = h1064B1
x = 0.4075688, y = -10.01842, z = -64.42841, angle = -45.81606, collision = h1064B1
x = 1.474361, y = -10.01895, z = -65.10201, angle = -94.93356, collision = h1064B1
x = 2.667844, y = -10.01926, z = -64.50151, angle = -164.3545, collision = h1064B1
x = 7.089573, y = -9.398425, z = -64.03528, angle = 30.89389, collision = h1064B1
x = 6.595174, y = -8.773532, z = -64.82035, angle = 24.78661, collision = h1064B1
x = 6.107777, y = -8.068947, z = -65.74599, angle = 1.410243, collision = h1064B1
x = 5.703507, y = -7.524843, z = -66.44469, angle = 30.45932, collision = h1064B1
x = 5.242089, y = -6.925385, z = -67.20523, angle = 34.46003, collision = h1064B1
x = 4.669163, y = -6.369503, z = -67.9118, angle = 120.7731, collision = h1064B1
x = 4.285861, y = -6.846009, z = -66.78912, angle = -131.2551, collision = h1064B1
x = 5.492504, y = -8.456335, z = -64.72711, angle = -158.9393, collision = h1064B1
x = 5.932661, y = -9.071206, z = -63.92789, angle = -131.5498, collision = h1064B1
x = 3.294244, y = -6.159143, z = -68.13681, angle = 101.6262, collision = h1064B1
x = 2.48396, y = -5.58094, z = -67.99488, angle = 101.6262, collision = h1064B1
x = 1.300134, y = -10.01926, z = -61.65702, angle = -22.38634, collision = h1064B1
x = -0.5870209, y = -10.01845, z = -63.2663, angle = -47.57989, collision = h1064B1
x = -1.557232, y = -10.01801, z = -64.17625, angle = 50.16427, collision = h1103B1
x = -5.083261, y = -10.0146, z = -70.39159, angle = -2.384201, collision = h1103B1
x = -4.8494, y = -10.00502, z = -71.72371, angle = -46.51189, collision = h1103B1
x = -3.806314, y = -10.01155, z = -72.67421, angle = -53.16122, collision = h1103B1
x = -4.426303, y = -10.0269, z = -73.75795, angle = 71.79571, collision = h1103B1
x = -5.519879, y = -10.03323, z = -74.46534, angle = 25.75832, collision = h1103B1
x = -6.219409, y = -10.06255, z = -75.64472, angle = 108.0269, collision = h1103B1
x = -7.288431, y = -10.02562, z = -75.09653, angle = 157.938, collision = h1103B1
x = -7.644094, y = -10.02056, z = -73.72542, angle = -144.052, collision = h1103B1
x = -6.885135, y = -10.01825, z = -72.72138, angle = -107.0411, collision = h1103B1
x = -5.536007, y = -10.00834, z = -72.55276, angle = -20.36196, collision = h1103B1
x = -6.41111, y = -10.01254, z = -73.61141, angle = 154.287, collision = h1103B1
x = -8.06327, y = -10.01506, z = -72.14185, angle = 89.03012, collision = h1103B1
x = -9.536522, y = -9.947198, z = -72.10568, angle = 103.9392, collision = h1103B1
x = -10.9516, y = -9.818108, z = -71.89441, angle = 82.14951, collision = h1103B1
x = -12.34943, y = -9.791215, z = -72.00957, angle = 86.99046, collision = h1103B1
x = -12.64452, y = -9.798385, z = -71.04196, angle = 176.0945, collision = h1103B1
x = -12.76173, y = -9.782709, z = -69.8662, angle = 168.4069, collision = h1103B1
x = -11.71417, y = -9.788675, z = -70.42406, angle = 137.5987, collision = h1103B1
x = -10.5134, y = -9.86774, z = -70.65544, angle = 133.5709, collision = h1103B1
x = -8.622468, y = -10.0012, z = -73.24385, angle = 42.7717, collision = h1103B1
x = -7.059476, y = -10.04282, z = -76.28729, angle = 27.09759, collision = h1103B1
x = -7.35389, y = -10.0946, z = -77.58157, angle = -19.4479, collision = h1103B1
x = -6.911828, y = -10.0946, z = -78.89897, angle = 10.59007, collision = h1103B1
x = -7.104452, y = -10.0804, z = -80.24085, angle = 41.13681, collision = h1103B1
x = -7.499022, y = -10.08476, z = -81.41785, angle = -31.56092, collision = h1103B1
x = -7.011292, y = -10.09222, z = -82.3675, angle = 11.10867, collision = h1103B1
x = -7.203093, y = -10.0946, z = -83.67903, angle = -13.56861, collision = h1103B1
x = -7.013082, y = -10.08667, z = -85.00648, angle = 21.76746, collision = h1103B1
x = -7.3722, y = -10.0814, z = -86.29583, angle = -6.688709, collision = h1103B1
x = -7.379787, y = -10.08207, z = -87.65554, angle = -10.85411, collision = h1103B1
x = -7.325255, y = -10.08359, z = -88.69333, angle = 20.55034, collision = h1103B1
x = -7.548193, y = -10.08052, z = -89.82498, angle = -12.53386, collision = h1055B1
x = -7.365265, y = -9.947563, z = -90.91389, angle = 16.83586, collision = h1055B1
x = -7.760536, y = -9.938447, z = -92.17366, angle = 32.08137, collision = h1055B1
x = -8.742625, y = -9.913412, z = -93.05415, angle = 47.72319, collision = h1055B1
x = -9.590318, y = -9.913412, z = -93.69754, angle = 97.99384, collision = h1055B1
x = -10.9584, y = -9.913411, z = -93.65257, angle = 54.03203, collision = h1055B1
x = -12.04005, y = -9.913411, z = -94.47794, angle = 45.1781, collision = h1055B1
x = -13.01557, y = -9.91341, z = -95.45203, angle = 44.40712, collision = h1055B1
x = -13.92966, y = -9.91341, z = -96.48273, angle = 6.659038, collision = h1055B1
x = -13.49389, y = -9.91341, z = -97.51361, angle = -108.649, collision = h1055B1
x = -12.27382, y = -9.913411, z = -96.94769, angle = -156.1129, collision = h1055B1
x = -11.69889, y = -9.913411, z = -95.7067, angle = -160.2688, collision = h1055B1
x = -8.513298, y = -9.913412, z = -94.14973, angle = 56.39037, collision = h1055B1
x = -9.620908, y = -9.913412, z = -94.96834, angle = 57.28985, collision = h1055B1
x = -11.34783, y = -9.913411, z = -97.52269, angle = -107.1394, collision = h1055B1
x = -10.05743, y = -9.913411, z = -97.16148, angle = -141.3634, collision = h1055B1
x = -9.231137, y = -9.913412, z = -96.09831, angle = -157.7044, collision = h1055B1
x = -7.342288, y = -9.927078, z = -94.32437, angle = -15.59853, collision = h1055B1
x = -7.209151, y = -9.92339, z = -95.52938, angle = 46.94093, collision = h1055B1
x = -8.191519, y = -9.913412, z = -96.49163, angle = 53.57883, collision = h1055B1
x = -11.08493, y = -9.913411, z = -98.59792, angle = -101.472, collision = h1055B1
x = -9.914381, y = -9.913411, z = -98.16962, angle = -131.4438, collision = h1055B1
x = -8.965915, y = -9.913412, z = -97.18025, angle = -122.5972, collision = h1055B1
x = -6.25179, y = -9.914526, z = -96.03091, angle = 24.36699, collision = h1055B1
x = -6.946507, y = -9.916227, z = -97.06121, angle = 76.9694, collision = h1055B1
x = -8.610044, y = -9.913412, z = -98.27795, angle = 40.23938, collision = h1055B1
x = -9.24698, y = -9.913412, z = -99.08746, angle = -20.20038, collision = h1055B1
x = -8.591857, y = -9.913412, z = -100.235, angle = -42.65807, collision = h1055B1
x = -7.901042, y = -9.913412, z = -101.0374, angle = -30.30201, collision = h1055B1
x = -10.3183, y = -9.913411, z = -99.54009, angle = 0.826207, collision = h1055B1
x = -10.3075, y = -9.913411, z = -100.6002, angle = -18.78174, collision = h1055B1
x = -9.593071, y = -9.913411, z = -101.6914, angle = -49.5227, collision = h1055B1
x = -8.547301, y = -9.913411, z = -102.589, angle = -79.04285, collision = h1055B1
x = -7.312801, y = -9.913412, z = -102.572, angle = -168.3309, collision = h1055B1
x = -6.350211, y = -9.913413, z = -101.8798, angle = -124.0563, collision = h1055B1
x = -5.342204, y = -9.914118, z = -101.0546, angle = -150.1527, collision = h1055B1
x = -4.827703, y = -9.914342, z = -99.90416, angle = 144.2803, collision = h1055B1
x = -5.814815, y = -9.914824, z = -99.03112, angle = 79.64574, collision = h1055B1
x = -7.191667, y = -9.913412, z = -99.28382, angle = 79.54913, collision = h1055B1
x = -5.100522, y = -9.913973, z = -95.87843, angle = -51.41309, collision = h1055B1
x = -4.117405, y = -9.930622, z = -96.92863, angle = 9.398928, collision = h1055B1
x = -4.426554, y = -9.935376, z = -98.19273, angle = 62.33026, collision = h1055B1
x = -6.819657, y = -9.915279, z = -98.14407, angle = -110.338, collision = h1055B1
x = -5.567025, y = -9.927437, z = -97.75181, angle = -93.42807, collision = h1055B1
x = -3.280303, y = -9.929918, z = -96.37385, angle = 19.07024, collision = h1055B1
x = -5.859635, y = -9.913826, z = -94.79415, angle = 113.8323, collision = h1055B1
x = -10.42096, y = -9.913411, z = -96.19371, angle = 92.29095, collision = h1055B1
x = -7.129807, y = -9.913412, z = -103.6429, angle = -94.40553, collision = h1155B1
x = -6.153085, y = -9.913412, z = -103.3098, angle = -166.3681, collision = h1155B1
x = -6.549772, y = -9.913599, z = -100.3192, angle = 158.5411, collision = h1055B1
x = -3.38948, y = -9.945396, z = -98.167, angle = 169.0711, collision = h1055B1
x = -2.202609, y = -9.885999, z = -95.91096, angle = -123.0204, collision = h1107B1
x = -1.350558, y = -10.11227, z = -95.36251, angle = -121.8884, collision = h1107B1
x = -0.5085971, y = -10.66691, z = -95.02707, angle = -99.18429, collision = h1107B1
x = 0.02487522, y = -10.91536, z = -94.14466, angle = -167.7017, collision = h1107B1
x = -0.006809752, y = -10.91987, z = -92.8141, angle = 150.1291, collision = h1107B1
x = -0.763087, y = -10.98, z = -91.65557, angle = 133.4583, collision = h1107B1
x = -1.694337, y = -11.08949, z = -92.08965, angle = 45.28286, collision = h1107B1
x = -2.607683, y = -11.08942, z = -92.90926, angle = 52.45527, collision = h1107B1
x = -3.697435, y = -11.08761, z = -93.75429, angle = 59.73841, collision = h1107B1
x = 0.3345455, y = -10.92296, z = -91.07723, angle = -64.33719, collision = h1107B1
x = 1.289407, y = -10.92002, z = -91.8665, angle = 24.01381, collision = h1107B1
x = -0.7719976, y = -9.842573, z = -96.41473, angle = -51.59648, collision = h1107B1
x = 0.3165244, y = -9.839171, z = -96.94341, angle = -97.50945, collision = h1107B1
x = 0.8942826, y = -9.842573, z = -96.01168, angle = -155.4169, collision = h1107B1
x = 1.506522, y = -9.84497, z = -95.15835, angle = 178.6468, collision = h1107B1
x = 1.356187, y = -10.74466, z = -93.59176, angle = -178.3611, collision = h1107B1
x = 1.972994, y = -10.92133, z = -90.76974, angle = -71.12753, collision = h1107B1
x = 3.005064, y = -10.91862, z = -91.39638, angle = 33.1418, collision = h1107B1
x = 2.226763, y = -10.9174, z = -92.2896, angle = 86.56369, collision = h1107B1
x = 4.053941, y = -10.69893, z = -91.66316, angle = -85.08582, collision = h1107B1
x = 4.786468, y = -10.14943, z = -92.09714, angle = -38.11726, collision = h1107B1
x = 5.788614, y = -9.886, z = -92.84821, angle = -75.71828, collision = h1057B1
x = 6.808676, y = -9.902574, z = -93.14365, angle = -93.72921, collision = h1057B1
x = 7.819938, y = -9.811282, z = -93.08996, angle = -100.3996, collision = h1057B1
x = 7.518851, y = -9.902574, z = -94.15967, angle = 61.36974, collision = h1057B1
x = 6.650055, y = -9.902574, z = -94.70548, angle = 57.96702, collision = h1057B1
x = 5.371745, y = -9.902574, z = -95.29224, angle = 63.82475, collision = h1057B1
x = 4.132227, y = -9.902574, z = -95.88963, angle = 8.947233, collision = h1057B1
x = 3.985004, y = -9.902574, z = -97.19582, angle = 48.03152, collision = h1057B1
x = 3.715745, y = -9.902574, z = -98.29559, angle = 25.70964, collision = h1057B1
x = 2.984846, y = -9.902574, z = -99.22289, angle = 106.7458, collision = h1057B1
x = 2.012229, y = -9.902574, z = -98.50831, angle = -145.9892, collision = h1057B1
x = 2.686352, y = -9.902574, z = -97.45722, angle = -101.8346, collision = h1057B1
x = 1.145197, y = -9.902574, z = -99.53932, angle = -3.440052, collision = h1057B1
x = 1.160196, y = -9.902574, z = -100.5828, angle = -33.29287, collision = h1057B1
x = 2.17878, y = -9.902574, z = -101.4102, angle = -53.63582, collision = h1057B1
x = 0.1119434, y = -9.902574, z = -100.202, angle = 160.2819, collision = h1057B1
x = -0.4006127, y = -9.902574, z = -98.9221, angle = 157.9764, collision = h1057B1
x = -1.063858, y = -9.902574, z = -98.00636, angle = 118.9078, collision = h1057B1
x = 2.306639, y = -9.902574, z = -102.5086, angle = 87.48186, collision = h1057B1
x = 3.363258, y = -9.577816, z = -100.2589, angle = 62.52425, collision = h1057B1
x = 3.886319, y = -9.027497, z = -100.9127, angle = -13.08851, collision = h1057B1
x = 5.007522, y = -8.696531, z = -101.0516, angle = -33.77473, collision = h1057B1
x = 5.697346, y = -8.802573, z = -102.214, angle = -16.88823, collision = h1057B1
x = 6.748273, y = -8.802573, z = -102.0994, angle = -153.7065, collision = h1057B1
x = 7.120089, y = -8.802573, z = -101.0684, angle = -159.7538, collision = h1057B1
x = 7.563093, y = -8.802573, z = -100.1509, angle = -119.0704, collision = h1057B1
x = 8.562757, y = -8.802573, z = -99.80106, angle = -107.6858, collision = h1057B1
x = 9.67848, y = -8.802573, z = -99.73795, angle = -58.67377, collision = h1057B1
x = 10.62711, y = -8.802573, z = -100.3519, angle = -40.98943, collision = h1057B1
x = 11.51038, y = -8.802573, z = -101.355, angle = -29.38988, collision = h1057B1
x = 12.15618, y = -8.802573, z = -102.2156, angle = -56.83038, collision = h1057B1
x = 13.04598, y = -8.802573, z = -102.6771, angle = -25.59205, collision = h1057B1
x = 11.07414, y = -8.802573, z = -102.4131, angle = 74.52189, collision = h1057B1
x = 10.20368, y = -8.802573, z = -103.0186, angle = 24.18657, collision = h1057B1
x = 9.99993, y = -8.802573, z = -104.0028, angle = -22.083, collision = h1057B1
x = 10.71638, y = -8.802573, z = -104.7784, angle = -66.59332, collision = h1057B1
x = 8.777001, y = -8.802573, z = -103.6443, angle = 76.92139, collision = h1057B1
x = 7.456542, y = -8.802573, z = -104.0248, angle = 119.2442, collision = h1057B1
x = 7.395918, y = -8.802573, z = -102.9958, angle = -142.8922, collision = h1057B1
x = 7.883188, y = -8.802573, z = -101.9298, angle = 132.4655, collision = h1057B1
x = 5.663774, y = -9.902574, z = -93.88448, angle = 108.7303, collision = h1057B1
x = 5.456955, y = -9.863195, z = -91.34936, angle = 166.9917, collision = h1107B1
x = 5.304718, y = -10.55215, z = -90.80128, angle = 161.9383, collision = h1107B1
x = 5.00482, y = -11.08237, z = -89.64261, angle = 167.852, collision = h1107B1
x = 4.44227, y = -11.09151, z = -88.67206, angle = 155.0582, collision = h1107B1
x = 3.857329, y = -11.09016, z = -87.43983, angle = -177.7645, collision = h1107B1
x = 3.994197, y = -11.08928, z = -86.12945, angle = -98.9863, collision = h1107B1
x = 5.233908, y = -11.09006, z = -85.92792, angle = -20.37691, collision = h1107B1
x = 5.306099, y = -11.09087, z = -86.9418, angle = 83.22259, collision = h1107B1
x = 2.828805, y = -11.08938, z = -87.41835, angle = -29.62228, collision = h1107B1
x = 3.446653, y = -11.09067, z = -88.53869, angle = 5.577956, collision = h1107B1
x = 3.409719, y = -11.09144, z = -89.60636, angle = 42.89108, collision = h1107B1
x = 2.1999, y = -11.09067, z = -89.79177, angle = -166.0773, collision = h1107B1
x = 5.162591, y = -10.86758, z = -87.96417, angle = -138.0505, collision = h1107B1
x = 6.023511, y = -10.91039, z = -89.73373, angle = 46.58645, collision = h1107B1
x = 6.167543, y = -10.38136, z = -88.19645, angle = -67.99689, collision = h1107B1
x = 7.274223, y = -9.743985, z = -88.69881, angle = -53.89714, collision = h1107B1
x = 8.181518, y = -8.990175, z = -89.70168, angle = -44.28349, collision = h1107B1
x = 9.118172, y = -8.255205, z = -90.62391, angle = -54.11716, collision = h1107B1
x = 9.908938, y = -7.710463, z = -91.20437, angle = -38.74027, collision = h1107B1
x = 10.53208, y = -7.184878, z = -91.9137, angle = -76.20064, collision = h1107B1
x = 11.42286, y = -6.565662, z = -92.59001, angle = -74.43364, collision = h1107B1
x = 11.80768, y = -6.025117, z = -93.67966, angle = -66.19538, collision = h1107B1
x = 12.94294, y = -5.671223, z = -94.12252, angle = -56.46643, collision = h1107B1
x = 13.86056, y = -5.721878, z = -95.27638, angle = -11.30235, collision = h1109B1
x = 12.73166, y = -5.721857, z = -95.54137, angle = 51.23677, collision = h1109B1
x = 11.88579, y = -5.731959, z = -96.33802, angle = 21.36816, collision = h1109B1
x = 11.19447, y = -5.721854, z = -97.23188, angle = 45.35855, collision = h1109B1
x = 10.5292, y = -5.062094, z = -98.4407, angle = 19.56944, collision = h1109B1
x = 10.02747, y = -4.532398, z = -99.32376, angle = 104.6751, collision = h1109B1
x = 8.794072, y = -4.529425, z = -98.8128, angle = 84.54605, collision = h1109B1
x = 7.77405, y = -4.381913, z = -98.97708, angle = 6.834629, collision = h1109B1
x = 7.584109, y = -4.469685, z = -100.0367, angle = 2.274125, collision = h1107B1
x = 7.524393, y = -4.525638, z = -101.4139, angle = 85.57608, collision = h1109B1
x = 6.485244, y = -4.522832, z = -101.3625, angle = -135.9028, collision = h1109B1
x = 5.963957, y = -1.593827, z = -99.65725, angle = 84.50925, collision = h1107B1
x = 4.875965, y = -1.593827, z = -99.84948, angle = 42.61866, collision = h1107B1
x = 4.025844, y = -1.593827, z = -100.4895, angle = 135.7019, collision = h1107B1
x = 3.585767, y = -1.593827, z = -99.42358, angle = -118.9826, collision = h1107B1
x = 4.558633, y = -1.593827, z = -98.80348, angle = -125.7006, collision = h1107B1
x = 5.461514, y = -1.593827, z = -98.10075, angle = -103.5265, collision = h1107B1
x = 6.702943, y = -1.593827, z = -97.55039, angle = -121.5047, collision = h1107B1
x = 7.803995, y = -1.593827, z = -96.86547, angle = -127.0028, collision = h1107B1
x = 8.982898, y = -1.593827, z = -96.0186, angle = -133.7792, collision = h1107B1
x = 9.841284, y = -1.593826, z = -94.98183, angle = 133.7681, collision = h1107B1
x = 8.842732, y = -1.593826, z = -94.60172, angle = 39.2369, collision = h1107B1
x = 7.896988, y = -1.593826, z = -95.63023, angle = 42.86109, collision = h1107B1
x = 2.827222, y = -2.020991, z = -98.48599, angle = 76.0463, collision = h1107B1
x = 1.839796, y = -2.521598, z = -98.61665, angle = 120.2331, collision = h1107B1
x = 1.187356, y = -3.137458, z = -98.20928, angle = 129.6534, collision = h1107B1
x = 1.754444, y = -3.339453, z = -97.28185, angle = -138.1867, collision = h1107B1
x = 2.436361, y = -3.44815, z = -96.39989, angle = -147.5033, collision = h1107B1
x = 3.120009, y = -3.582829, z = -95.33247, angle = -133.7905, collision = h1107B1
x = 4.177967, y = -3.338727, z = -94.32479, angle = -130.158, collision = h1107B1
x = 4.959239, y = -3.37173, z = -93.68493, angle = -125.1774, collision = h1107B1
x = 5.914756, y = -3.332208, z = -93.08405, angle = -118.3917, collision = h1107B1
