x = 230.0119, y = 199.9796, z = 473.7116, angle = -139.4778, collision = h0102B0
x = 333.6165, y = 277.5897, z = 577.8817, angle = -139.5251, collision = h0011B0
x = 334.4472, y = 277.5895, z = 578.8557, angle = -139.4015, collision = h0011B0
x = 335.229, y = 277.5893, z = 579.7684, angle = -130.3656, collision = h0011B0
x = 336.1761, y = 277.5892, z = 580.6525, angle = -134.0879, collision = h0011B0
x = 337.0297, y = 277.589, z = 581.404, angle = -136.9563, collision = h0011B0
x = 337.9664, y = 277.5889, z = 582.331, angle = -135.9501, collision = h0011B0
x = 338.9166, y = 277.5887, z = 583.1696, angle = -124.1279, collision = h0011B0
x = 340.0023, y = 277.5877, z = 584.0234, angle = -125.9782, collision = h0011B0
x = 341.1596, y = 277.5858, z = 585.2606, angle = -140.5076, collision = h0011B0
x = 342.0183, y = 277.5846, z = 586.2681, angle = -152.8782, collision = h0011B0
x = 342.316, y = 277.5858, z = 587.9761, angle = 131.2968, collision = h0011B0
x = 341.4171, y = 277.5858, z = 588.8706, angle = 106.969, collision = h0011B0
x = 340.0826, y = 277.5853, z = 589.3508, angle = 120.0017, collision = h0011B0
x = 335.8687, y = 277.5829, z = 589.4295, angle = 21.4448, collision = h0011B0
x = 335.3059, y = 277.5826, z = 588.1317, angle = 45.31839, collision = h0011B0
x = 332.687, y = 277.5859, z = 586.0933, angle = 129.5758, collision = h0011B0
x = 331.9495, y = 277.5847, z = 587.0114, angle = 89.39619, collision = h0011B0
x = 330.6734, y = 277.5848, z = 587.052, angle = 77.11543, collision = h0011B0
x = 329.2653, y = 277.5855, z = 586.7564, angle = 56.76752, collision = h0011B0
x = 328.3346, y = 277.5863, z = 586.2781, angle = 6.365367, collision = h0011B0
x = 328.0489, y = 277.5876, z = 584.936, angle = 11.30461, collision = h0011B0
x = 327.7306, y = 277.5879, z = 583.7415, angle = 81.54882, collision = h0011B0
x = 326.6816, y = 277.5879, z = 583.4582, angle = 119.4749, collision = h0011B0
x = 325.4605, y = 277.5877, z = 584.0754, angle = 126.8835, collision = h0011B0
x = 324.6703, y = 277.5875, z = 584.6964, angle = 148.2398, collision = h0011B0
x = 323.5199, y = 277.5876, z = 584.0622, angle = 63.05421, collision = h0011B0
x = 322.6004, y = 277.5876, z = 583.6367, angle = 114.2603, collision = h0011B0
x = 320.3821, y = 277.5882, z = 580.9109, angle = -76.47585, collision = h0011B0
x = 321.5332, y = 277.5882, z = 581.0419, angle = -34.7943, collision = h0011B0
x = 322.5062, y = 277.5885, z = 580.1292, angle = -15.63914, collision = h0011B0
x = 322.876, y = 277.5888, z = 578.8751, angle = 24.02464, collision = h0011B0
x = 322.5817, y = 277.5891, z = 577.8282, angle = 99.73349, collision = h0011B0
x = 321.3187, y = 277.589, z = 577.8033, angle = 147.0861, collision = h0011B0
x = 320.5345, y = 277.5887, z = 578.846, angle = 135.9806, collision = h0011B0
x = 319.8502, y = 277.5884, z = 579.8126, angle = 108.5123, collision = h0011B0
x = 318.8523, y = 277.5883, z = 580.1962, angle = -24.69475, collision = h0011B0
x = 316.9107, y = 277.5888, z = 577.571, angle = -55.41714, collision = h0011B0
x = 317.6532, y = 277.5891, z = 576.8129, angle = -55.03549, collision = h0011B0
x = 318.8285, y = 277.5893, z = 576.0143, angle = -19.12749, collision = h0011B0
x = 319.3118, y = 277.5896, z = 574.8364, angle = 18.27007, collision = h0011B0
x = 318.9721, y = 277.5899, z = 573.5045, angle = 67.60727, collision = h0011B0
x = 317.5681, y = 277.5897, z = 574.2762, angle = 138.6995, collision = h0011B0
x = 316.8099, y = 277.5894, z = 575.0708, angle = 139.5701, collision = h0011B0
x = 317.5292, y = 277.59, z = 573.0126, angle = 52.07529, collision = h0011B0
x = 316.5464, y = 277.5901, z = 572.2903, angle = 115.9069, collision = h0011B0
x = 315.3069, y = 277.5899, z = 572.8371, angle = 142.8089, collision = h0011B0
x = 314.6022, y = 277.5897, z = 573.6676, angle = 154.7724, collision = h0011B0
x = 314.6351, y = 277.5893, z = 574.9395, angle = 176.2562, collision = h0011B0
x = 314.505, y = 277.589, z = 576.2613, angle = 113.7086, collision = h0011B0
x = 313.6182, y = 277.5888, z = 576.9496, angle = 88.69417, collision = h0011B0
x = 312.3213, y = 277.5887, z = 576.9451, angle = 77.36767, collision = h0011B0
x = 311.0135, y = 277.5887, z = 576.5461, angle = 5.425916, collision = h0011B0
x = 310.6618, y = 277.5889, z = 575.5948, angle = -19.63391, collision = h0011B0
x = 311.1127, y = 277.5893, z = 574.2352, angle = -40.03831, collision = h0011B0
x = 311.9068, y = 277.5895, z = 573.4197, angle = -10.90324, collision = h0011B0
x = 312.6907, y = 277.5898, z = 572.7009, angle = 91.76822, collision = h0011B0
x = 309.3485, y = 277.589, z = 574.9401, angle = 32.25207, collision = h0011B0
x = 308.6881, y = 277.5892, z = 574.092, angle = -1.050948, collision = h0011B0
x = 308.657, y = 277.5895, z = 572.8115, angle = -60.68456, collision = h0011B0
x = 309.7646, y = 277.5898, z = 572.0515, angle = -67.98374, collision = h0011B0
x = 310.7817, y = 277.5899, z = 571.6697, angle = -18.37766, collision = h0011B0
x = 311.4129, y = 277.5903, z = 570.4382, angle = 15.91547, collision = h0011B0
x = 311.1312, y = 277.5905, z = 569.2039, angle = 13.2252, collision = h0011B0
x = 310.6844, y = 277.5906, z = 568.077, angle = 34.31767, collision = h0011B0
x = 309.9725, y = 277.5906, z = 567.1612, angle = 121.0693, collision = h0011B0
x = 308.7012, y = 277.5906, z = 567.734, angle = 128.9844, collision = h0011B0
x = 308.0499, y = 277.5905, z = 568.5104, angle = 128.9844, collision = h0011B0
x = 307.9365, y = 277.5902, z = 569.8383, angle = 153.1564, collision = h0011B0
x = 307.3166, y = 277.5899, z = 571.0027, angle = 127.8137, collision = h0011B0
x = 305.8566, y = 277.5898, z = 571.0574, angle = 18.81182, collision = h0011B0
x = 305.4488, y = 277.5901, z = 569.6998, angle = 8.500061, collision = h0011B0
x = 305.0782, y = 277.5904, z = 568.4976, angle = 61.16152, collision = h0011B0
x = 304.0912, y = 277.5905, z = 567.9481, angle = 97.29183, collision = h0011B0
x = 302.6736, y = 277.5903, z = 568.0571, angle = 92.52581, collision = h0011B0
x = 301.8749, y = 277.5905, z = 567.4075, angle = -18.14123, collision = h0011B0
x = 303.0406, y = 277.5906, z = 566.9858, angle = -16.56728, collision = h0011B0
x = 303.5117, y = 277.5906, z = 565.8686, angle = -8.602132, collision = h0011B0
x = 303.6252, y = 277.5906, z = 564.6371, angle = -6.966137, collision = h0011B0
x = 304.0066, y = 277.5906, z = 563.407, angle = -61.38108, collision = h0011B0
x = 305.4283, y = 277.5906, z = 563.0416, angle = -146.3534, collision = h0011B0
x = 306.2918, y = 277.5906, z = 564.1697, angle = 165.7642, collision = h0011B0
x = 306.2426, y = 277.5906, z = 565.2018, angle = 140.0566, collision = h0011B0
x = 305.6139, y = 277.5906, z = 566.6201, angle = -179.0814, collision = h0011B0
x = 306.1758, y = 277.5904, z = 568.5598, angle = -72.73307, collision = h0011B0
x = 306.981, y = 277.5903, z = 569.3217, angle = -81.77116, collision = h0011B0
x = 309.1283, y = 277.5906, z = 566.4041, angle = 27.29594, collision = h0011B0
x = 308.5833, y = 277.5906, z = 565.215, angle = -6.08339, collision = h0011B0
x = 308.4808, y = 277.5906, z = 563.8484, angle = 5.668401, collision = h0011B0
x = 308.4725, y = 277.5906, z = 562.7639, angle = 40.03753, collision = h0011B0
x = 307.6476, y = 277.5906, z = 561.5997, angle = 23.0026, collision = h0011B0
x = 308.0149, y = 277.5906, z = 560.4918, angle = -62.74672, collision = h0011B0
x = 309.0047, y = 277.5906, z = 559.8868, angle = -41.58273, collision = h0011B0
x = 309.941, y = 277.5906, z = 558.9993, angle = -34.70822, collision = h0011B0
x = 310.7637, y = 277.5906, z = 557.8224, angle = -87.27898, collision = h0011B0
x = 312.253, y = 277.5906, z = 557.899, angle = 166.7207, collision = h0011B0
x = 312.2297, y = 277.5906, z = 559.2019, angle = 138.805, collision = h0011B0
x = 311.541, y = 277.5906, z = 560.2999, angle = -135.9253, collision = h0011B0
x = 312.117, y = 277.5906, z = 561.298, angle = -109.8736, collision = h0011B0
x = 313.3236, y = 277.5906, z = 561.7422, angle = -102.4423, collision = h0011B0
x = 315.0396, y = 277.6969, z = 562.6225, angle = -145.4276, collision = h0011B0
x = 315.4265, y = 277.5906, z = 563.5517, angle = -144.5481, collision = h0011B0
x = 316.2489, y = 277.5906, z = 564.695, angle = -138.1214, collision = h0011B0
x = 316.9708, y = 277.5906, z = 565.5123, angle = -110.2064, collision = h0011B0
x = 318.2791, y = 277.5906, z = 566.0922, angle = -108.2912, collision = h0011B0
x = 319.4968, y = 277.5906, z = 566.4879, angle = -104.9409, collision = h0011B0
x = 320.653, y = 277.5906, z = 566.7966, angle = -104.364, collision = h0011B0
x = 321.8968, y = 277.5906, z = 566.4384, angle = -65.32314, collision = h0011B0
x = 322.8399, y = 277.5906, z = 565.4954, angle = -47.01845, collision = h0011B0
x = 323.5503, y = 277.5906, z = 564.7245, angle = 27.18455, collision = h0011B0
x = 323.0927, y = 277.5906, z = 563.4804, angle = 71.79705, collision = h0011B0
x = 321.9081, y = 277.5906, z = 563.0347, angle = 118.71, collision = h0011B0
x = 320.841, y = 277.5906, z = 563.4609, angle = 144.4041, collision = h0011B0
x = 319.9964, y = 277.5906, z = 564.4672, angle = 168.5492, collision = h0011B0
x = 318.6694, y = 277.5906, z = 567.2733, angle = 35.67654, collision = h0011B0
x = 317.464, y = 277.5906, z = 564.4888, angle = -32.22526, collision = h0011B0
x = 318.0468, y = 277.5906, z = 563.3585, angle = -85.53718, collision = h0011B0
x = 319.1203, y = 277.5906, z = 563.192, angle = -7.516391, collision = h0011B0
x = 319.6743, y = 277.5906, z = 562.085, angle = 70.86149, collision = h0011B0
x = 318.6465, y = 277.5906, z = 561.5934, angle = 138.738, collision = h0011B0
x = 316.9701, y = 277.5906, z = 563.4281, angle = 124.689, collision = h0011B0
x = 314.2937, y = 277.5906, z = 563.7082, angle = 30.12964, collision = h0011B0
x = 313.8368, y = 277.5906, z = 560.5672, angle = 12.4451, collision = h0011B0
x = 313.7569, y = 277.5906, z = 559.4371, angle = 33.96656, collision = h0011B0
x = 311.8508, y = 277.5906, z = 556.9495, angle = 50.93963, collision = h0011B0
x = 311.5568, y = 277.5906, z = 555.8568, angle = -95.75867, collision = h0011B0
x = 312.7648, y = 277.5906, z = 555.8478, angle = -152.1931, collision = h0011B0
x = 313.4515, y = 277.5906, z = 556.7859, angle = -160.3826, collision = h0011B0
x = 313.9189, y = 277.5906, z = 558.013, angle = -100.9828, collision = h0011B0
x = 315.1713, y = 277.5906, z = 558.4465, angle = -50.21973, collision = h0011B0
x = 316.1448, y = 277.5906, z = 558.0107, angle = 15.02467, collision = h0011B0
x = 315.9543, y = 277.5906, z = 556.7855, angle = 43.2637, collision = h0011B0
x = 315.0077, y = 277.5906, z = 555.7532, angle = 22.1024, collision = h0011B0
x = 314.4883, y = 277.5906, z = 554.8041, angle = -2.923458, collision = h0011B0
x = 314.5402, y = 277.5906, z = 553.4089, angle = -88.06901, collision = h0011B0
x = 315.701, y = 277.5906, z = 553.2241, angle = -142.9173, collision = h0011B0
x = 316.2715, y = 277.5906, z = 554.1151, angle = -152.8377, collision = h0011B0
x = 316.8746, y = 277.5906, z = 555.2605, angle = -91.00279, collision = h0011B0
x = 318.1468, y = 277.5906, z = 555.5344, angle = -43.35616, collision = h0011B0
x = 319.0261, y = 277.5906, z = 554.96, angle = -1.442235, collision = h0011B0
x = 319.1847, y = 277.5906, z = 553.6431, angle = 1.358675, collision = h0011B0
x = 319.6382, y = 277.5906, z = 547.8663, angle = -62.06299, collision = h0011B0
x = 322.7127, y = 277.5906, z = 548.4946, angle = -77.06408, collision = h0011B0
x = 324.1906, y = 277.5906, z = 549.8574, angle = 62.60868, collision = h0011B0
x = 322.6642, y = 277.5906, z = 549.6011, angle = 118.0031, collision = h0011B0
x = 321.7433, y = 277.5906, z = 550.3969, angle = 145.3665, collision = h0011B0
x = 320.9076, y = 277.5906, z = 551.5635, angle = 165.0625, collision = h0011B0
x = 325.2551, y = 277.5906, z = 553.2087, angle = -42.41923, collision = h0011B0
x = 327.7122, y = 277.5906, z = 555.1376, angle = 108.734, collision = h0011B0
x = 325.3909, y = 277.5906, z = 557.0832, angle = -172.6367, collision = h0011B0
x = 327.9042, y = 277.5906, z = 558.4818, angle = -36.86937, collision = h0011B0
x = 328.4954, y = 277.5906, z = 557.5844, angle = -42.96425, collision = h0011B0
x = 328.7473, y = 277.5906, z = 556.5815, angle = -60.97639, collision = h0011B0
x = 331.0137, y = 277.5906, z = 559.0673, angle = -7.533248, collision = h0011B0
x = 331.6899, y = 277.5906, z = 558.0184, angle = -46.18103, collision = h0011B0
x = 329.6244, y = 277.5906, z = 552.8146, angle = -166.7607, collision = h0011B0
x = 331.2946, y = 277.5906, z = 556.416, angle = -130.3905, collision = h0011B0
x = 335.6919, y = 277.5906, z = 564.0306, angle = -151.4056, collision = h0011B0
x = 336.0678, y = 277.5906, z = 566.611, angle = 108.1012, collision = h0011B0
x = 334.6235, y = 277.5906, z = 566.9218, angle = 80.3138, collision = h0011B0
x = 333.5483, y = 277.5906, z = 566.5962, angle = 48.07602, collision = h0011B0
x = 333.051, y = 277.5906, z = 565.6118, angle = -46.8226, collision = h0011B0
x = 333.9119, y = 277.5906, z = 564.7493, angle = -58.96654, collision = h0011B0
x = 340.0208, y = 277.5906, z = 565.4752, angle = -94.19681, collision = h0011B0
x = 341.3378, y = 277.5906, z = 565.5817, angle = -138.994, collision = h0011B0
x = 341.8676, y = 277.5906, z = 566.6021, angle = 125.6354, collision = h0011B0
x = 340.9377, y = 277.5906, z = 567.3917, angle = 127.4402, collision = h0011B0
x = 339.804, y = 277.5906, z = 567.9111, angle = 159.24, collision = h0011B0
x = 338.2588, y = 277.5906, z = 570.5698, angle = 171.7375, collision = h0011B0
x = 338.8954, y = 277.5906, z = 571.8497, angle = -80.40085, collision = h0011B0
x = 341.6853, y = 277.5906, z = 570.9932, angle = -65.95576, collision = h0011B0
x = 341.9901, y = 277.5906, z = 573.3317, angle = -91.55956, collision = h0011B0
x = 344.4802, y = 277.5906, z = 570.4541, angle = -0.6795492, collision = h0011B0
x = 344.5696, y = 277.5906, z = 569.2015, angle = -0.1695663, collision = h0011B0
x = 344.9697, y = 277.5906, z = 568.1554, angle = -114.6003, collision = h0011B0
x = 345.738, y = 277.5906, z = 568.9791, angle = -163.8149, collision = h0011B0
x = 346.1313, y = 277.5906, z = 570.3981, angle = -166.19, collision = h0011B0
x = 350.2325, y = 277.5888, z = 585.1293, angle = 163.1641, collision = h0011B0
x = 347.8388, y = 277.5874, z = 585.2134, angle = 53.71309, collision = h0011B0
x = 346.823, y = 277.5865, z = 584.6809, angle = 51.18943, collision = h0011B0
x = 345.9193, y = 277.5872, z = 583.7717, angle = -4.260576, collision = h0011B0
x = 345.9554, y = 277.5892, z = 582.4106, angle = -0.9991884, collision = h0011B0
x = 346.0302, y = 277.5896, z = 581.2792, angle = 8.467454, collision = h0011B0
x = 345.8114, y = 277.5899, z = 580.0072, angle = 47.55482, collision = h0011B0
x = 344.7901, y = 277.5901, z = 579.033, angle = 68.4615, collision = h0011B0
x = 343.8116, y = 277.5901, z = 578.5635, angle = 70.63564, collision = h0011B0
x = 342.4627, y = 277.5902, z = 578.0591, angle = 65.17058, collision = h0011B0
x = 341.2951, y = 277.5902, z = 577.5331, angle = 80.92442, collision = h0011B0
x = 340.1288, y = 277.5902, z = 577.2867, angle = 44.63131, collision = h0011B0
x = 339.1234, y = 277.5904, z = 576.5024, angle = 32.27473, collision = h0011B0
x = 338.2484, y = 277.5906, z = 575.4355, angle = 85.43013, collision = h0011B0
x = 338.4411, y = 277.5901, z = 577.5141, angle = 145.8375, collision = h0011B0
x = 337.12, y = 277.5898, z = 578.3877, angle = 103.1247, collision = h0011B0
x = 335.8293, y = 277.5896, z = 578.7254, angle = 120.0839, collision = h0011B0
x = 333.9914, y = 277.5892, z = 580.0456, angle = 39.3332, collision = h0011B0
x = 327.4616, y = 277.5906, z = 569.0019, angle = 153.1112, collision = h0011B0
x = 326.3811, y = 277.5906, z = 569.6664, angle = 111.1987, collision = h0011B0
x = 325.1259, y = 277.6533, z = 570.0743, angle = 94.94186, collision = h0019B0
x = 324.1224, y = 278.004, z = 570.1865, angle = 156.6912, collision = h0019B0
x = 323.5469, y = 278.7043, z = 569.0071, angle = 4.070328, collision = h0019B0
x = 323.6919, y = 279.2072, z = 567.6021, angle = -84.57487, collision = h0019B0
x = 324.9136, y = 278.7271, z = 567.5833, angle = 172.6601, collision = h0019B0
x = 323.6726, y = 279.6987, z = 566.3897, angle = -4.047857, collision = h0019B0
x = 323.3569, y = 280.342, z = 565.0933, angle = 84.33944, collision = h0019B0
x = 321.9672, y = 281.0148, z = 564.7972, angle = 107.3989, collision = h0019B0
x = 320.7641, y = 281.3701, z = 565.1099, angle = 137.0287, collision = h0019B0
x = 319.9106, y = 281.3663, z = 565.9728, angle = 64.48271, collision = h0019B0
x = 319.0826, y = 281.9239, z = 565.4038, angle = -6.447384, collision = h0019B0
x = 319.0652, y = 282.4866, z = 564.0111, angle = -10.85974, collision = h0019B0
x = 319.2636, y = 282.8302, z = 562.9517, angle = -8.603949, collision = h0019B0
x = 319.4405, y = 283.2921, z = 561.6174, angle = 44.42117, collision = h0019B0
x = 318.6823, y = 283.76, z = 560.5582, angle = 100.1397, collision = h0019B0
x = 317.6132, y = 283.76, z = 560.5839, angle = 123.983, collision = h0019B0
x = 316.5205, y = 283.76, z = 561.3494, angle = -158.21, collision = h0019B0
x = 316.8719, y = 283.76, z = 562.5762, angle = -132.9755, collision = h0019B0
x = 317.6562, y = 283.2564, z = 563.4913, angle = -108.7718, collision = h0019B0
x = 320.9207, y = 280.8279, z = 566.312, angle = -141.2282, collision = h0019B0
x = 321.8194, y = 280.0208, z = 567.4357, angle = -173.3763, collision = h0019B0
x = 322.1252, y = 279.5088, z = 568.4128, angle = 107.1438, collision = h0019B0
x = 315.4113, y = 283.76, z = 561.5252, angle = 167.3757, collision = h0019B0
x = 314.99, y = 284.153, z = 562.8203, angle = 125.5481, collision = h0019B0
x = 314.2554, y = 284.6796, z = 563.4116, angle = 82.98825, collision = h0019B0
x = 312.9586, y = 285.2072, z = 563.4431, angle = 153.7899, collision = h0019B0
x = 312.4862, y = 285.7404, z = 564.313, angle = 154.9135, collision = h0019B0
x = 311.9196, y = 286.4401, z = 565.5082, angle = 135.4024, collision = h0019B0
x = 311.2895, y = 286.9775, z = 566.2311, angle = 115.7789, collision = h0019B0
x = 310.3973, y = 287.5042, z = 566.6649, angle = 124.1708, collision = h0019B0
x = 309.436, y = 288.1476, z = 567.3237, angle = 131.9129, collision = h0019B0
x = 308.7377, y = 288.7201, z = 568.1906, angle = 145.5256, collision = h0019B0
x = 307.6484, y = 288.6187, z = 568.9446, angle = 116.4113, collision = h0012B0
x = 306.6338, y = 288.6187, z = 569.9637, angle = 141.9372, collision = h0012B0
x = 305.6924, y = 288.6187, z = 570.7269, angle = 67.63696, collision = h0012B0
x = 304.4842, y = 288.6188, z = 570.0168, angle = 45.00599, collision = h0012B0
x = 303.6428, y = 288.6188, z = 569.0104, angle = 20.69882, collision = h0012B0
x = 303.1485, y = 288.6187, z = 567.6131, angle = 38.06602, collision = h0012B0
x = 302.4435, y = 288.6187, z = 566.5007, angle = 10.88414, collision = h0012B0
x = 302.5611, y = 288.6189, z = 565.1948, angle = -58.87185, collision = h0012B0
x = 303.6776, y = 288.619, z = 564.4869, angle = -45.76498, collision = h0012B0
x = 304.7833, y = 288.6192, z = 563.4934, angle = -60.88427, collision = h0012B0
x = 305.9442, y = 288.6193, z = 562.874, angle = -68.17432, collision = h0012B0
x = 307.3088, y = 288.6194, z = 562.2956, angle = -69.84621, collision = h0012B0
x = 308.5399, y = 288.6194, z = 561.8323, angle = -63.42234, collision = h0012B0
x = 306.3742, y = 288.6194, z = 561.6581, angle = 118.1348, collision = h0012B0
x = 303.6892, y = 288.6187, z = 566.0816, angle = -61.6669, collision = h0012B0
x = 307.555, y = 288.6187, z = 570.8191, angle = 174.7164, collision = h0012B0
x = 307.9642, y = 288.6187, z = 571.7446, angle = -122.7063, collision = h0012B0
x = 309.1947, y = 288.6187, z = 572.5567, angle = -119.5281, collision = h0012B0
x = 310.2296, y = 288.6187, z = 573.3329, angle = -162.7935, collision = h0012B0
x = 310.6429, y = 288.6187, z = 574.754, angle = -168.6033, collision = h0012B0
x = 311.0597, y = 288.6187, z = 575.9775, angle = -105.9098, collision = h0012B0
x = 312.4709, y = 288.6187, z = 576.3319, angle = -72.48399, collision = h0012B0
x = 313.7514, y = 288.6187, z = 576.0228, angle = -120.2843, collision = h0012B0
x = 314.8276, y = 288.6187, z = 576.9219, angle = -177.455, collision = h0012B0
x = 314.9211, y = 288.6187, z = 578.2369, angle = 176.4439, collision = h0012B0
x = 315.1725, y = 288.6187, z = 579.6674, angle = -95.8199, collision = h0012B0
x = 316.3257, y = 288.6187, z = 579.9233, angle = -72.71835, collision = h0012B0
x = 317.4807, y = 288.6187, z = 579.6079, angle = -86.93703, collision = h0012B0
x = 318.7263, y = 288.6187, z = 579.5496, angle = -166.692, collision = h0012B0
x = 319.2429, y = 288.6187, z = 580.8127, angle = 160.3321, collision = h0012B0
x = 318.9371, y = 288.6187, z = 581.8289, angle = 133.6867, collision = h0012B0
x = 317.9711, y = 288.6187, z = 582.823, angle = 127.2656, collision = h0012B0
x = 318.476, y = 288.6187, z = 583.7559, angle = -63.82339, collision = h0012B0
x = 319.5131, y = 288.6187, z = 583.4606, angle = -25.92808, collision = h0012B0
x = 319.7061, y = 288.6187, z = 579.0483, angle = -153.4906, collision = h0012B0
x = 320.3144, y = 288.6187, z = 580.2083, angle = -178.3375, collision = h0012B0
x = 320.2878, y = 288.6187, z = 581.6813, angle = 171.1917, collision = h0012B0
x = 320.6974, y = 288.6187, z = 584.0896, angle = -92.16478, collision = h0012B0
x = 322.1615, y = 288.6187, z = 584.1577, angle = -78.07402, collision = h0012B0
x = 323.38, y = 288.6187, z = 584.3419, angle = -144.1869, collision = h0012B0
x = 323.1832, y = 288.6187, z = 585.6934, angle = 175.9841, collision = h0012B0
x = 323.1215, y = 288.6187, z = 586.6956, angle = -167.4567, collision = h0012B0
x = 323.6187, y = 288.6187, z = 588.2592, angle = -94.48317, collision = h0012B0
x = 324.8247, y = 288.6187, z = 588.4926, angle = -65.00598, collision = h0012B0
x = 325.7711, y = 288.6187, z = 588.1555, angle = -137.4173, collision = h0012B0
x = 326.5387, y = 288.6188, z = 589.1158, angle = 179.3747, collision = h0012B0
x = 326.6069, y = 288.6188, z = 590.4364, angle = 176.3665, collision = h0012B0
x = 327.5556, y = 288.6188, z = 591.3293, angle = -91.07467, collision = h0012B0
x = 328.9762, y = 288.6188, z = 591.478, angle = -134.7439, collision = h0012B0
x = 329.9493, y = 288.6188, z = 592.2098, angle = -157.1765, collision = h0012B0
x = 330.4337, y = 288.6188, z = 593.3251, angle = -156.8307, collision = h0012B0
x = 331.0089, y = 288.6188, z = 594.4688, angle = -95.62221, collision = h0012B0
x = 332.3626, y = 288.6188, z = 594.6992, angle = -64.70716, collision = h0012B0
x = 333.3626, y = 288.6188, z = 594.3021, angle = -107.3796, collision = h0012B0
x = 334.6183, y = 288.6188, z = 594.4391, angle = -123.4499, collision = h0012B0
x = 335.7511, y = 288.6188, z = 595.1932, angle = -142.3405, collision = h0012B0
x = 336.4965, y = 288.6188, z = 595.9835, angle = -100.4759, collision = h0012B0
x = 337.7922, y = 288.6188, z = 595.9609, angle = -77.93697, collision = h0012B0
x = 338.7877, y = 288.6188, z = 595.7034, angle = -74.26115, collision = h0012B0
x = 340.0672, y = 288.6188, z = 595.3725, angle = -70.25726, collision = h0012B0
x = 341.2459, y = 288.6188, z = 594.5557, angle = 22.7125, collision = h0012B0
x = 340.7178, y = 288.6188, z = 593.4566, angle = 76.20881, collision = h0012B0
x = 339.4436, y = 288.6188, z = 593.5918, angle = 138.2144, collision = h0012B0
x = 338.4612, y = 288.6188, z = 594.4622, angle = 101.1244, collision = h0012B0
x = 337.0027, y = 288.6188, z = 594.6771, angle = 64.24329, collision = h0012B0
x = 335.7661, y = 288.6188, z = 594.15, angle = 98.21915, collision = h0012B0
x = 332.1635, y = 288.6188, z = 593.6785, angle = 63.8694, collision = h0012B0
x = 324.419, y = 288.6187, z = 587.481, angle = 52.72835, collision = h0012B0
x = 320.6549, y = 288.6187, z = 583.0671, angle = 33.77586, collision = h0012B0
x = 313.928, y = 288.6187, z = 577.4522, angle = 36.54219, collision = h0012B0
x = 311.9814, y = 288.6187, z = 574.9746, angle = 44.98632, collision = h0012B0
x = 309.1956, y = 288.6187, z = 571.472, angle = 57.13762, collision = h0012B0
x = 308.5157, y = 288.6187, z = 569.5441, angle = -60.02507, collision = h0012B0
x = 318.1043, y = 283.76, z = 559.6077, angle = 9.375173, collision = h0019B0
x = 318.0236, y = 284.0422, z = 558.6088, angle = -41.04126, collision = h0019B0
x = 318.8784, y = 284.6877, z = 557.8434, angle = -80.55876, collision = h0019B0
x = 320.1915, y = 285.4335, z = 557.2848, angle = -38.76082, collision = h0019B0
x = 321.0227, y = 286.1746, z = 556.256, angle = -39.16478, collision = h0019B0
x = 321.6445, y = 286.7303, z = 555.4831, angle = -34.24726, collision = h0019B0
x = 322.2163, y = 287.281, z = 554.6729, angle = -50.33875, collision = h0019B0
x = 323.2513, y = 288.0195, z = 553.8543, angle = -65.61871, collision = h0019B0
x = 324.1471, y = 288.5458, z = 553.4293, angle = -57.87005, collision = h0019B0
x = 325.1389, y = 288.6189, z = 552.6121, angle = -41.90871, collision = h0016B0
x = 326.1587, y = 288.6189, z = 551.549, angle = -41.4948, collision = h0016B0
x = 326.3903, y = 288.6189, z = 550.437, angle = 62.63401, collision = h0016B0
x = 325.3147, y = 288.6189, z = 549.698, angle = 32.54699, collision = h0016B0
x = 324.4953, y = 288.6189, z = 548.4564, angle = 35.24567, collision = h0016B0
x = 323.8303, y = 288.6189, z = 547.3244, angle = 18.92195, collision = h0016B0
x = 323.0035, y = 288.6189, z = 546.1723, angle = 53.68933, collision = h0016B0
x = 321.6456, y = 288.6189, z = 545.9079, angle = 123.9454, collision = h0016B0
x = 320.4918, y = 288.6191, z = 546.5372, angle = 43.09385, collision = h0016B0
x = 319.7726, y = 288.6025, z = 545.5244, angle = 25.59576, collision = h0016B0
x = 319.1476, y = 288.6102, z = 544.3632, angle = 42.24838, collision = h0016B0
x = 318.4346, y = 288.6199, z = 543.582, angle = 43.95607, collision = h0016B0
x = 317.9662, y = 288.6199, z = 542.6808, angle = 57.01657, collision = h0016B0
x = 316.9614, y = 288.6199, z = 542.0162, angle = 60.23981, collision = h0016B0
x = 315.4057, y = 288.6199, z = 541.1102, angle = 41.66085, collision = h0006B0
x = 314.6578, y = 288.6199, z = 540.3558, angle = 34.03107, collision = h0006B0
x = 313.9136, y = 288.619, z = 539.2624, angle = 34.43124, collision = h0006B0
x = 322.0828, y = 288.6189, z = 546.8418, angle = -135.3016, collision = h0016B0
x = 325.3869, y = 288.6189, z = 550.743, angle = -144.2867, collision = h0016B0
x = 326.8571, y = 288.6189, z = 552.752, angle = -121.643, collision = h0016B0
x = 328.1201, y = 288.6189, z = 553.5232, angle = -113.9696, collision = h0016B0
x = 329.331, y = 288.6189, z = 554.0552, angle = -110.4644, collision = h0016B0
x = 330.7249, y = 288.6189, z = 554.5756, angle = -116.6621, collision = h0016B0
x = 331.6558, y = 288.6189, z = 555.4169, angle = -167.413, collision = h0016B0
