x = 177.8432, y = 207.2, z = 131.9724, angle = -100, collision = h0000B1_0000
x = 249.3713, y = 121.85, z = 248.195, angle = -33.63432, collision = h0004B1_0000
x = 248.441, y = 121.85, z = 247.5815, angle = 86.85812, collision = h0004B1_0000
x = 247.0098, y = 121.85, z = 247.5122, angle = 87.2053, collision = h0004B1_0000
x = 245.5788, y = 121.85, z = 247.4378, angle = 88.20454, collision = h0004B1_0000
x = 244.1467, y = 121.85, z = 247.4019, angle = 81.22262, collision = h0004B1_0000
x = 243.0708, y = 121.85, z = 247.2297, angle = 76.45687, collision = h0004B1_0000
x = 241.7274, y = 121.85, z = 246.9206, angle = 110.8859, collision = h0004B1_0000
x = 240.5412, y = 121.85, z = 247.2269, angle = 118.7343, collision = h0004B1_0000
x = 239.3138, y = 121.85, z = 247.8862, angle = 137.6127, collision = h0004B1_0000
x = 238.5799, y = 121.85, z = 248.5978, angle = 135.3251, collision = h0004B1_0000
x = 237.635, y = 121.85, z = 249.5646, angle = 126.4953, collision = h0004B1_0000
x = 236.6205, y = 121.85, z = 250.3192, angle = 143.7758, collision = h0004B1_0000
x = 235.7744, y = 121.85, z = 251.3181, angle = 153.1152, collision = h0004B1_0000
x = 235.167, y = 121.85, z = 252.4695, angle = 165.4481, collision = h0004B1_0000
x = 234.8355, y = 121.85, z = 253.6997, angle = 178.912, collision = h0004B1_0000
x = 234.7686, y = 121.85, z = 255.0249, angle = -163.6785, collision = h0004B1_0000
x = 235.1073, y = 121.85, z = 256.2345, angle = -153.0939, collision = h0004B1_0000
x = 235.7091, y = 121.85, z = 257.4872, angle = -143.1787, collision = h0004B1_0000
x = 236.3041, y = 121.85, z = 258.3293, angle = -137.1894, collision = h0004B1_0000
x = 237.2406, y = 121.85, z = 259.3389, angle = -138.9511, collision = h0004B1_0000
x = 237.9323, y = 121.85, z = 260.2161, angle = -139.2205, collision = h0004B1_0000
x = 238.6953, y = 121.85, z = 261.2441, angle = -128.8385, collision = h0004B1_0000
x = 239.7141, y = 121.85, z = 261.9642, angle = -40.23088, collision = h0004B1_0000
x = 240.6383, y = 121.85, z = 261.118, angle = -4.753347, collision = h0004B1_0000
x = 240.8568, y = 121.85, z = 259.8536, angle = 37.42232, collision = h0004B1_0000
x = 240.1822, y = 121.85, z = 258.7903, angle = 15.89471, collision = h0004B1_0000
x = 239.7716, y = 121.85, z = 257.4925, angle = 9.263621, collision = h0004B1_0000
x = 239.446, y = 121.85, z = 256.3435, angle = -58.81807, collision = h0004B1_0000
x = 240.4378, y = 121.85, z = 255.839, angle = -107.6665, collision = h0004B1_0000
x = 241.131, y = 121.85, z = 257.089, angle = -147.3352, collision = h0004B1_0000
x = 241.7638, y = 121.85, z = 258.1605, angle = 119.3894, collision = h0004B1_0000
x = 238.8515, y = 121.85, z = 255.1431, angle = 5.711459, collision = h0004B1_0000
x = 238.5297, y = 121.85, z = 253.7688, angle = 57.71759, collision = h0004B1_0000
x = 237.3953, y = 121.85, z = 253.5235, angle = -159.2714, collision = h0004B1_0000
x = 242.3831, y = 121.85, z = 259.0565, angle = -90.49403, collision = h0004B1_0000
x = 243.758, y = 121.85, z = 259.1428, angle = -86.25005, collision = h0004B1_0000
x = 244.9873, y = 121.85, z = 259.0327, angle = -79.02756, collision = h0004B1_0000
x = 246.3111, y = 121.85, z = 258.7361, angle = -19.6616, collision = h0004B1_0000
x = 246.8857, y = 121.85, z = 257.649, angle = -5.993464, collision = h0004B1_0000
x = 247.141, y = 121.85, z = 256.3521, angle = -40.08023, collision = h0004B1_0000
x = 247.8995, y = 121.85, z = 255.3063, angle = -15.17403, collision = h0004B1_0000
x = 248.2466, y = 121.85, z = 254.1382, angle = 43.50772, collision = h0004B1_0000
x = 246.4239, y = 121.85, z = 251.1493, angle = -55.39514, collision = h0004B1_0000
x = 247.336, y = 121.85, z = 250.4087, angle = -99.48696, collision = h0004B1_0000
x = 249.7565, y = 121.85, z = 251.9421, angle = 166.88, collision = h0004B1_0000
x = 249.6052, y = 121.85, z = 253.3167, angle = 171.7712, collision = h0004B1_0000
x = 249.4628, y = 121.85, z = 254.542, angle = 163.2944, collision = h0004B1_0000
x = 249.0614, y = 121.85, z = 255.8751, angle = 157.3489, collision = h0004B1_0000
x = 248.7027, y = 121.85, z = 256.8228, angle = 150.0296, collision = h0004B1_0000
x = 248.072, y = 121.85, z = 258.0094, angle = 154.4142, collision = h0004B1_0000
x = 247.5476, y = 121.85, z = 259.1718, angle = -163.6157, collision = h0004B1_0000
x = 249.1091, y = 121.85, z = 258.8557, angle = -21.13993, collision = h0004B1_0000
x = 249.975, y = 121.85, z = 259.851, angle = 152.7576, collision = h0004B1_0000
x = 249.5552, y = 121.85, z = 261.036, angle = 142.0961, collision = h0004B1_0000
x = 248.9178, y = 121.85, z = 261.8788, angle = 123.6959, collision = h0004B1_0000
x = 247.8469, y = 121.85, z = 262.6917, angle = 104.1027, collision = h0004B1_0000
x = 246.6416, y = 121.85, z = 263.0152, angle = 133.3027, collision = h0004B1_0000
x = 245.5557, y = 121.85, z = 263.7506, angle = 151.3301, collision = h0004B1_0000
x = 245.5291, y = 121.85, z = 262.5243, angle = -20.04736, collision = h0004B1_0000
x = 246.7109, y = 121.85, z = 261.8154, angle = -87.16809, collision = h0004B1_0000
x = 250.8543, y = 121.85, z = 258.6281, angle = -24.18151, collision = h0004B1_0000
x = 251.3628, y = 121.85, z = 257.496, angle = -27.89942, collision = h0004B1_0000
x = 251.9915, y = 121.85, z = 256.2534, angle = -22.57483, collision = h0004B1_0000
x = 252.51, y = 121.85, z = 255.1433, angle = -54.64573, collision = h0004B1_0000
x = 253.4472, y = 121.85, z = 254.4, angle = -81.13567, collision = h0005B1_0000
x = 257.276, y = 121.3518, z = 255.1008, angle = -65.47806, collision = h0005B1_0000
x = 258.3961, y = 120.7119, z = 255.14, angle = -118.522, collision = h0005B1_0000
x = 259.6607, y = 119.9893, z = 255.8119, angle = -100.0849, collision = h0005B1_0000
x = 260.57, y = 119.4697, z = 256.0748, angle = -95.23167, collision = h0005B1_0000
x = 261.8414, y = 118.7433, z = 256.183, angle = -87.06933, collision = h0005B1_0000
x = 262.7497, y = 118.2242, z = 256.1609, angle = -102.3167, collision = h0005B1_0000
x = 263.9845, y = 117.5187, z = 256.3378, angle = -106.3963, collision = h0005B1_0000
x = 265.3197, y = 117.0644, z = 256.7327, angle = -107.5305, collision = h0005B1_0000
x = 266.4996, y = 117.0644, z = 257.102, angle = -69.6613, collision = h0005B1_0000
x = 267.6185, y = 117.0644, z = 256.7438, angle = 29.85926, collision = h0005B1_0000
x = 267.185, y = 117.0644, z = 255.6413, angle = 35.34754, collision = h0005B1_0000
x = 266.4826, y = 117.0644, z = 254.491, angle = -17.90162, collision = h0005B1_0000
x = 266.8192, y = 117.0644, z = 253.327, angle = -78.5528, collision = h0005B1_0000
x = 267.7901, y = 117.0644, z = 252.958, angle = -161.9753, collision = h0005B1_0000
x = 268.4423, y = 117.0644, z = 253.8929, angle = 152.3927, collision = h0005B1_0000
x = 268.8015, y = 117.0644, z = 256.814, angle = -129.4238, collision = h0005B1_0000
x = 269.8265, y = 117.0632, z = 257.5276, angle = -35.08747, collision = h0005B1_0000
x = 270.7144, y = 117.0644, z = 256.6293, angle = -35.22266, collision = h0005B1_0000
x = 271.449, y = 117.0644, z = 255.5789, angle = -34.39686, collision = h0005B1_0000
x = 272.2249, y = 117.0644, z = 254.4847, angle = -37.98533, collision = h0005B1_0000
x = 272.994, y = 117.0644, z = 253.4878, angle = -36.70295, collision = h0005B1_0000
x = 273.7222, y = 117.0644, z = 252.5465, angle = -39.94019, collision = h0005B1_0000
x = 274.5236, y = 117, z = 251.6157, angle = -113.4715, collision = h0005B1_0000
x = 275.6848, y = 117, z = 251.9808, angle = 168.7063, collision = h0005B1_0000
x = 275.5908, y = 117.0644, z = 253.1723, angle = 174.9686, collision = h0005B1_0000
x = 275.3749, y = 117.0644, z = 254.487, angle = -179.5271, collision = h0005B1_0000
x = 275.3786, y = 117.0644, z = 255.7429, angle = 148.5035, collision = h0005B1_0000
x = 274.8058, y = 117.0644, z = 256.8915, angle = 169.2755, collision = h0005B1_0000
x = 274.4355, y = 117, z = 258.0473, angle = -134.4857, collision = h0005B1_0000
x = 275.1136, y = 117, z = 258.8351, angle = -77.27594, collision = h0005B1_0000
x = 276.4156, y = 117, z = 258.7232, angle = -34.95144, collision = h0005B1_0000
x = 277.1468, y = 117, z = 257.734, angle = -10.23384, collision = h0005B1_0000
x = 277.4335, y = 117.0644, z = 256.3847, angle = 0.5264437, collision = h0005B1_0000
x = 277.4659, y = 117.0644, z = 255.1658, angle = -39.17138, collision = h0005B1_0000
x = 278.278, y = 117.0644, z = 254.0641, angle = -47.35723, collision = h0005B1_0000
x = 279.1865, y = 117.0644, z = 253.2075, angle = -106.2008, collision = h0005B1_0000
x = 280.2926, y = 117.0644, z = 253.3775, angle = 166.6299, collision = h0005B1_0000
x = 280.1567, y = 117.0644, z = 254.638, angle = 165.1272, collision = h0005B1_0000
x = 279.8536, y = 117.0644, z = 255.8928, angle = -170.3546, collision = h0005B1_0000
x = 279.9163, y = 117.0644, z = 257, angle = -117.2522, collision = h0005B1_0000
x = 280.9557, y = 117.0365, z = 257.6478, angle = -65.07545, collision = h0005B1_0000
x = 282.1166, y = 117.0644, z = 257.176, angle = -9.731462, collision = h0005B1_0000
x = 282.3734, y = 117.0644, z = 255.9762, angle = -8.008615, collision = h0005B1_0000
x = 282.5559, y = 117.0644, z = 254.6028, angle = -11.52217, collision = h0005B1_0000
x = 282.7967, y = 117.0644, z = 253.3896, angle = -28.15986, collision = h0005B1_0000
x = 283.4219, y = 117, z = 252.2074, angle = -100.6672, collision = h0005B1_0000
x = 284.5552, y = 117, z = 252.2222, angle = -159.0073, collision = h0005B1_0000
x = 285.0764, y = 117.0644, z = 253.4009, angle = 177.8036, collision = h0005B1_0000
x = 285.0606, y = 117.0644, z = 254.4971, angle = -178.0207, collision = h0005B1_0000
x = 285.0918, y = 117.0644, z = 255.7541, angle = -164.4097, collision = h0005B1_0000
x = 285.4397, y = 117.0644, z = 257.0915, angle = -143.0935, collision = h0005B1_0000
x = 286.1647, y = 117, z = 258.0967, angle = -125.8693, collision = h0005B1_0000
x = 287.2761, y = 117, z = 258.8436, angle = -18.26876, collision = h0005B1_0000
x = 287.8083, y = 117, z = 257.8549, angle = 22.5227, collision = h0005B1_0000
x = 287.3737, y = 117.0644, z = 256.5541, angle = 13.74121, collision = h0005B1_0000
x = 287.033, y = 117.0644, z = 255.3649, angle = 4.099234, collision = h0005B1_0000
x = 286.9236, y = 117.0644, z = 254.0236, angle = 3.082232, collision = h0005B1_0000
x = 286.8603, y = 117.0644, z = 252.9696, angle = -24.61307, collision = h0005B1_0000
x = 287.2872, y = 117, z = 251.791, angle = -75.32552, collision = h0005B1_0000
x = 288.3576, y = 117, z = 251.2194, angle = -144.0497, collision = h0005B1_0000
x = 289.1711, y = 117, z = 252.1318, angle = -178.6622, collision = h0005B1_0000
x = 289.3049, y = 117.0644, z = 253.5079, angle = -179.3484, collision = h0005B1_0000
x = 289.2922, y = 117.0644, z = 254.7431, angle = -171.7897, collision = h0005B1_0000
x = 289.4742, y = 117.0644, z = 256.1213, angle = -160.4406, collision = h0005B1_0000
x = 289.9124, y = 117.0644, z = 257.2453, angle = -96.21839, collision = h0005B1_0000
x = 291.1915, y = 117.0644, z = 257.4886, angle = -35.87323, collision = h0005B1_0000
x = 292.0112, y = 117.0644, z = 256.593, angle = -10.4422, collision = h0005B1_0000
x = 292.2782, y = 117.0644, z = 255.5524, angle = -1.177934, collision = h0005B1_0000
x = 292.3186, y = 117.0644, z = 254.2206, angle = -24.06213, collision = h0005B1_0000
x = 292.7797, y = 117.0644, z = 253.0519, angle = -42.77455, collision = h0005B1_0000
x = 293.6665, y = 117, z = 252.0202, angle = -119.8841, collision = h0005B1_0000
x = 294.7361, y = 117.056, z = 252.4112, angle = -170.1643, collision = h0005B1_0000
x = 295.0771, y = 117.0644, z = 253.7438, angle = 179.0692, collision = h0005B1_0000
x = 295.0671, y = 117.0644, z = 254.9748, angle = -172.8038, collision = h0005B1_0000
x = 295.2263, y = 117.0644, z = 256.3494, angle = -165.1444, collision = h0005B1_0000
x = 295.4596, y = 117.0644, z = 257.3402, angle = -126.949, collision = h0005B1_0000
x = 296.3856, y = 117, z = 258.0848, angle = -49.79932, collision = h0005B1_0000
x = 297.4315, y = 117.0644, z = 257.3315, angle = -20.24976, collision = h0005B1_0000
x = 297.9553, y = 117.0644, z = 256.1776, angle = -23.84094, collision = h0005B1_0000
x = 298.475, y = 117.0644, z = 254.9355, angle = -25.15818, collision = h0005B1_0000
x = 299.0135, y = 117.0644, z = 253.7989, angle = -27.09123, collision = h0005B1_0000
x = 299.6599, y = 117.0644, z = 252.5697, angle = -75.23953, collision = h0005B1_0000
x = 300.7757, y = 117, z = 252.2056, angle = -156.4067, collision = h0005B1_0000
x = 301.3742, y = 117.0644, z = 253.3112, angle = 145.3691, collision = h0005B1_0000
x = 300.5866, y = 117.0644, z = 254.1477, angle = 152.0173, collision = h0005B1_0000
x = 300.0459, y = 117.0644, z = 255.1499, angle = 177.6411, collision = h0005B1_0000
x = 299.8524, y = 117.0644, z = 256.3898, angle = -153.4715, collision = h0005B1_0000
x = 300.3462, y = 117.0587, z = 257.5648, angle = -126.5316, collision = h0005B1_0000
x = 301.335, y = 117, z = 258.4103, angle = -99.14693, collision = h0005B1_0000
x = 302.5432, y = 117, z = 258.6624, angle = -54.34143, collision = h0005B1_0000
x = 303.7008, y = 117, z = 257.9614, angle = -52.6976, collision = h0005B1_0000
x = 304.3869, y = 117.0644, z = 257.1772, angle = -49.01296, collision = h0005B1_0000
x = 305.1466, y = 117.0644, z = 256.4414, angle = -22.99048, collision = h0005B1_0000
x = 304.9373, y = 117.0644, z = 255.1548, angle = 38.61227, collision = h0005B1_0000
x = 303.9535, y = 117.0644, z = 254.6489, angle = 74.36559, collision = h0005B1_0000
x = 303.2097, y = 117.0644, z = 253.635, angle = 88.03398, collision = h0005B1_0000
x = 299.7281, y = 117, z = 251.3739, angle = -47.6617, collision = h0005B1_0000
x = 301.1583, y = 117, z = 251.0689, angle = -57.74804, collision = h0005B1_0000
x = 302.2866, y = 117, z = 250.2301, angle = -63.01457, collision = h0005B1_0000
x = 303.4984, y = 117, z = 250.4242, angle = -164.6761, collision = h0005B1_0000
x = 303.935, y = 117, z = 251.7498, angle = -162.9482, collision = h0005B1_0000
x = 304.45, y = 117.0644, z = 253.0692, angle = -152.2236, collision = h0005B1_0000
x = 305.147, y = 117.0644, z = 254.1058, angle = -100.811, collision = h0005B1_0000
x = 306.5412, y = 117.0644, z = 254.3112, angle = -85.54603, collision = h0005B1_0000
x = 307.9495, y = 117.0644, z = 254.0772, angle = -70.17737, collision = h0005B1_0000
x = 309.2949, y = 117.0644, z = 253.5845, angle = -72.50971, collision = h0005B1_0000
x = 310.6714, y = 117.0644, z = 253.1966, angle = -88.7722, collision = h0005B1_0000
x = 312.0986, y = 117.0644, z = 253.2043, angle = -132.8766, collision = h0005B1_0000
x = 312.7837, y = 117.0644, z = 254.0589, angle = 167.4771, collision = h0005B1_0000
x = 312.593, y = 117.0644, z = 255.4774, angle = 143.0094, collision = h0005B1_0000
x = 311.6128, y = 117.0644, z = 256.2115, angle = 53.81204, collision = h0005B1_0000
x = 310.3288, y = 117.0644, z = 255.6791, angle = 109.7149, collision = h0005B1_0000
x = 308.9814, y = 117.0644, z = 256.1369, angle = 109.1052, collision = h0005B1_0000
x = 307.6188, y = 117.0644, z = 256.574, angle = 68.92958, collision = h0005B1_0000
x = 306.4156, y = 117.0644, z = 256.1842, angle = 71.48988, collision = h0005B1_0000
x = 303.8052, y = 117, z = 259.1764, angle = 94.91342, collision = h0005B1_0000
x = 299.009, y = 117.0635, z = 257.5232, angle = 70.25401, collision = h0005B1_0000
x = 294.1218, y = 117.0644, z = 256.8798, angle = 87.28786, collision = h0005B1_0000
x = 283.9923, y = 117.0644, z = 256.0243, angle = 81.41256, collision = h0005B1_0000
x = 281.3961, y = 117.0644, z = 255.6604, angle = 81.7023, collision = h0005B1_0000
x = 278.8022, y = 117.0644, z = 255.2718, angle = 80.60959, collision = h0005B1_0000
x = 273.7722, y = 117.0644, z = 254.8352, angle = 90.95669, collision = h0005B1_0000
x = 271.2003, y = 117.0644, z = 254.5233, angle = 65.60375, collision = h0005B1_0000
x = 270.0566, y = 117.0644, z = 254.0418, angle = 57.84985, collision = h0005B1_0000
x = 267.0245, y = 117, z = 251.9084, angle = 47.29511, collision = h0005B1_0000
x = 265.951, y = 117.0227, z = 250.9611, angle = 80.25169, collision = h0005B1_0000
x = 264.7199, y = 117.0227, z = 250.8215, angle = 89.99921, collision = h0005B1_0000
x = 263.2986, y = 117.0227, z = 250.8571, angle = 84.43489, collision = h0005B1_0000
x = 261.8702, y = 117.0227, z = 250.7595, angle = 89.95389, collision = h0005B1_0000
x = 260.4373, y = 117.0227, z = 250.7583, angle = 89.53197, collision = h0005B1_0000
x = 259.0044, y = 117.0227, z = 250.7452, angle = 89.01759, collision = h0005B1_0000
x = 257.737, y = 117.0227, z = 250.7227, angle = 81.38574, collision = h0005B1_0000
x = 256.3292, y = 117.0227, z = 250.4844, angle = 68.90796, collision = h0005B1_0000
x = 255.0727, y = 117.0123, z = 249.8816, angle = 45.9557, collision = h0005B1_0000
x = 253.8629, y = 113.8138, z = 247.7755, angle = 45.9557, collision = h0005B1_0000
x = 253.6805, y = 113.8, z = 246.3292, angle = 16.6228, collision = h0005B1_0000
x = 253.2702, y = 113.8, z = 244.9563, angle = 26.79418, collision = h0005B1_0000
x = 252.4749, y = 113.8, z = 243.8309, angle = 55.29497, collision = h0005B1_0000
x = 251.425, y = 113.8, z = 243.1045, angle = 69.22614, collision = h0005B1_0000
x = 250.1057, y = 113.8, z = 242.5591, angle = 79.17905, collision = h0005B1_0000
x = 248.6969, y = 113.8, z = 242.3003, angle = 72.27997, collision = h0005B1_0000
x = 247.3501, y = 113.8, z = 241.8438, angle = 56.279, collision = h0005B1_0000
x = 246.1254, y = 113.8, z = 241.1112, angle = 96.80723, collision = h0005B1_0000
x = 244.7194, y = 113.8, z = 241.2755, angle = 103.4818, collision = h0005B1_0000
x = 243.3232, y = 113.8, z = 241.5956, angle = 96.50743, collision = h0005B1_0000
x = 242.065, y = 113.8, z = 241.6996, angle = 83.15809, collision = h0005B1_0000
x = 240.6424, y = 113.8, z = 241.6576, angle = 107.6015, collision = h0005B1_0000
x = 239.2762, y = 113.8, z = 242.0881, angle = 108.487, collision = h0005B1_0000
x = 237.9288, y = 113.8, z = 242.5721, angle = 119.0332, collision = h0005B1_0000
x = 236.6881, y = 113.8, z = 243.287, angle = 124.6966, collision = h0005B1_0000
x = 235.5076, y = 113.8, z = 244.0991, angle = 127.8844, collision = h0005B1_0000
x = 234.5016, y = 113.8, z = 244.885, angle = 131.9835, collision = h0005B1_0000
x = 233.448, y = 113.8, z = 245.8552, angle = 138.047, collision = h0005B1_0000
x = 232.5023, y = 113.8, z = 246.9309, angle = 143.9286, collision = h0005B1_0000
x = 231.6719, y = 113.8, z = 248.0979, angle = 149.8404, collision = h0005B1_0000
x = 230.9661, y = 113.8, z = 249.3443, angle = 155.7281, collision = h0005B1_0000
x = 230.4897, y = 113.8, z = 250.2345, angle = 165.4933, collision = h0005B1_0000
x = 251.1063, y = 113.8, z = 244.0738, angle = -128.8165, collision = h0005B1_0000
x = 252.1558, y = 113.8, z = 244.9677, angle = -143.9807, collision = h0005B1_0000
x = 254.7004, y = 113.8, z = 247.2036, angle = -140.382, collision = h0005B1_0000
x = 255.6181, y = 113.8, z = 248.3035, angle = -126.4182, collision = h0005B1_0000
x = 256.6605, y = 113.8, z = 249.0053, angle = -106.269, collision = h0005B1_0000
x = 258.0345, y = 113.8, z = 249.4119, angle = -106.0038, collision = h0005B1_0000
x = 259.4102, y = 113.8, z = 249.5499, angle = -91.58247, collision = h0005B1_0000
x = 260.8419, y = 113.8, z = 249.5496, angle = -89.2246, collision = h0005B1_0000
x = 262.2738, y = 113.8, z = 249.5047, angle = -63.7083, collision = h0005B1_0000
x = 256.8791, y = 113.8, z = 250.0079, angle = 178.6124, collision = h0005B1_0000
x = 256.9579, y = 113.8, z = 251.0338, angle = -158.0248, collision = h0005B1_0000
x = 257.3905, y = 113.8, z = 252.2921, angle = -165.0053, collision = h0005B1_0000
x = 257.6893, y = 113.8, z = 253.5223, angle = 172.5875, collision = h0005B1_0000
x = 257.532, y = 113.8, z = 254.9456, angle = -178.0451, collision = h0005B1_0000
x = 257.5739, y = 113.8, z = 256.3777, angle = -177.7164, collision = h0005B1_0000
x = 257.5793, y = 113.8, z = 257.8094, angle = 170.1449, collision = h0005B1_0000
x = 257.4051, y = 113.8, z = 258.9095, angle = 177.5377, collision = h0005B1_0000
x = 257.3772, y = 113.8, z = 260.0546, angle = -172.6857, collision = h0005B1_0000
x = 258.4134, y = 113.8, z = 260.6136, angle = -95.12305, collision = h0005B1_0000
x = 259.5405, y = 113.8, z = 260.7096, angle = -94.84156, collision = h0005B1_0000
x = 260.6883, y = 113.8, z = 260.797, angle = -94.23007, collision = h0005B1_0000
x = 261.8451, y = 113.8, z = 260.8819, angle = -94.65567, collision = h0005B1_0000
x = 262.9487, y = 113.8, z = 260.9608, angle = -93.85072, collision = h0005B1_0000
x = 256.3987, y = 113.8, z = 260.5654, angle = 67.18478, collision = h0005B1_0000
x = 255.5785, y = 113.8, z = 261.1425, angle = -148.095, collision = h0005B1_0000
x = 254.7524, y = 113.8341, z = 262.1561, angle = 132.9457, collision = h0005B1_0000
x = 253.712, y = 114.5194, z = 263.1385, angle = 137.3616, collision = h0005B1_0000
x = 253.1414, y = 115.0806, z = 264.3173, angle = 144.8567, collision = h0005B1_0000
x = 252.3095, y = 115.7337, z = 265.4826, angle = 115.8449, collision = h0005B1_0000
x = 251.2349, y = 116.3669, z = 266.1347, angle = 124.2973, collision = h0005B1_0000
x = 250.0438, y = 117.0831, z = 266.9307, angle = 118.4252, collision = h0005B1_0000
x = 248.7975, y = 117.7993, z = 267.6363, angle = 118.9384, collision = h0005B1_0000
x = 247.5255, y = 118.4126, z = 268.2937, angle = 108.2101, collision = h0005B1_0000
x = 246.1582, y = 118.9653, z = 268.7166, angle = 94.66714, collision = h0005B1_0000
x = 244.7327, y = 119.6864, z = 268.8375, angle = 82.3539, collision = h0005B1_0000
x = 243.4631, y = 120.3307, z = 268.7082, angle = 84.90551, collision = h0005B1_0000
x = 242.0435, y = 121.0558, z = 268.5318, angle = 70.53265, collision = h0005B1_0000
x = 240.9306, y = 121.6291, z = 268.3339, angle = 82.18714, collision = h0005B1_0000
x = 239.8904, y = 121.8, z = 268.0426, angle = 62.71066, collision = h0005B1_0000
x = 238.7582, y = 121.8, z = 267.4524, angle = 60.05479, collision = h0005B1_0000
x = 237.6039, y = 121.8, z = 266.6465, angle = -23.67537, collision = h0005B1_0000
x = 238.1171, y = 121.8, z = 265.3478, angle = 52.7796, collision = h0005B1_0000
x = 237.0458, y = 121.8, z = 264.76, angle = 138.2514, collision = h0005B1_0000
x = 235.8965, y = 121.8, z = 265.5373, angle = 82.43307, collision = h0005B1_0000
x = 234.4946, y = 121.8, z = 265.2776, angle = 56.39579, collision = h0005B1_0000
x = 233.8849, y = 121.8, z = 264.3922, angle = -19.65679, collision = h0005B1_0000
x = 234.0427, y = 121.8, z = 263.0355, angle = 63.15511, collision = h0005B1_0000
x = 232.8056, y = 121.8, z = 262.5066, angle = 82.48843, collision = h0005B1_0000
x = 231.4984, y = 121.8, z = 262.0847, angle = 11.30904, collision = h0005B1_0000
x = 231.3014, y = 121.8, z = 260.7701, angle = -33.46737, collision = h0005B1_0000
x = 231.7268, y = 121.8, z = 259.4775, angle = 53.53228, collision = h0005B1_0000
x = 230.7494, y = 121.8, z = 258.6751, angle = 39.20488, collision = h0005B1_0000
x = 229.8551, y = 121.8, z = 257.564, angle = 22.78076, collision = h0005B1_0000
x = 229.347, y = 121.8, z = 256.2302, angle = 5.635439, collision = h0005B1_0000
x = 229.2825, y = 121.8, z = 254.8081, angle = -24.99868, collision = h0005B1_0000
x = 229.9826, y = 121.8, z = 253.5821, angle = -71.26185, collision = h0005B1_0000
x = 230.8716, y = 121.8, z = 252.8047, angle = -40.91679, collision = h0005B1_0000
x = 231.7867, y = 121.8, z = 251.6582, angle = -37.94853, collision = h0005B1_0000
x = 232.6408, y = 121.8, z = 250.5087, angle = -29.66266, collision = h0005B1_0000
x = 233.149, y = 121.8, z = 249.6341, angle = -32.91793, collision = h0005B1_0000
x = 233.9189, y = 121.8, z = 248.4258, angle = -29.75004, collision = h0005B1_0000
x = 234.6258, y = 121.8, z = 247.1794, angle = -32.47157, collision = h0005B1_0000
x = 235.4123, y = 121.8, z = 245.9824, angle = -51.77213, collision = h0005B1_0000
x = 236.544, y = 121.8, z = 245.1241, angle = -71.56587, collision = h0005B1_0000
x = 237.8944, y = 121.8, z = 244.6495, angle = -67.96126, collision = h0005B1_0000
x = 239.0294, y = 121.8, z = 244.1059, angle = -58.69733, collision = h0005B1_0000
x = 240.3243, y = 121.8, z = 243.6133, angle = -100.0533, collision = h0005B1_0000
x = 241.6827, y = 121.8, z = 243.5506, angle = -93.42795, collision = h0005B1_0000
x = 243.1143, y = 121.8, z = 243.6053, angle = -89.87024, collision = h0005B1_0000
x = 244.547, y = 121.8, z = 243.6232, angle = -78.72561, collision = h0005B1_0000
x = 245.9645, y = 121.8, z = 243.4297, angle = -106.3978, collision = h0005B1_0000
x = 247.3255, y = 121.8, z = 243.8483, angle = -123.8665, collision = h0005B1_0000
x = 248.4065, y = 121.8, z = 244.5263, angle = -93.90601, collision = h0005B1_0000
x = 249.8225, y = 121.8, z = 244.6752, angle = -114.6352, collision = h0005B1_0000
x = 251.0683, y = 121.8, z = 245.3, angle = -136.6652, collision = h0005B1_0000
x = 252.0161, y = 121.8, z = 246.3699, angle = -151.6259, collision = h0005B1_0000
x = 252.7066, y = 121.8, z = 247.6245, angle = -151.6995, collision = h0005B1_0000
x = 253.3358, y = 121.8, z = 248.7344, angle = -144.5383, collision = h0005B1_0000
x = 254.1558, y = 121.8, z = 249.9093, angle = -148.3289, collision = h0005B1_0000
x = 254.8919, y = 121.8, z = 251.1383, angle = -157.2828, collision = h0005B1_0000
x = 256.7275, y = 121.6652, z = 257.4414, angle = -94.3601, collision = h0005B1_0000
x = 257.6977, y = 121.1109, z = 257.614, angle = -96.42837, collision = h0005B1_0000
x = 258.6439, y = 120.5703, z = 257.7295, angle = -86.25914, collision = h0005B1_0000
x = 259.5975, y = 120.0254, z = 257.6756, angle = -89.64869, collision = h0005B1_0000
x = 260.5528, y = 119.4795, z = 257.6699, angle = -94.47282, collision = h0005B1_0000
x = 261.5065, y = 118.9346, z = 257.7129, angle = -94.44234, collision = h0005B1_0000
x = 262.4594, y = 118.3901, z = 257.7784, angle = -78.66889, collision = h0005B1_0000
x = 263.7011, y = 117.6806, z = 257.5588, angle = -72.40366, collision = h0005B1_0000
x = 266.3907, y = 117, z = 258.098, angle = 146.906, collision = h0005B1_0000
x = 265.7537, y = 117.0227, z = 258.9459, angle = 108.1159, collision = h0005B1_0000
x = 264.7223, y = 117.0227, z = 259.4092, angle = 120.3429, collision = h0005B1_0000
x = 263.7307, y = 117.0227, z = 259.9927, angle = 121.0181, collision = h0005B1_0000
x = 260.7722, y = 113.8, z = 261.8414, angle = 164.8305, collision = h0005B1_0000
x = 260.5805, y = 113.457, z = 262.8321, angle = 170.3027, collision = h0006B1_0000
x = 260.5118, y = 113.7438, z = 263.8416, angle = -178.7119, collision = h0006B1_0000
