x = -323.8972, y = -235.5255, z = 131.3129, angle = -78.64848, collision = h0000B2
x = -315.9443, y = -332.9619, z = 116.6037, angle = 161.1445, collision = h0001B2
x = -315.771, y = -333.0253, z = 117.8118, angle = -130.6029, collision = h0001B2
x = -315.128, y = -333.0373, z = 118.8933, angle = 110.6627, collision = h0001B2
x = -316.2459, y = -332.9579, z = 119.1875, angle = 43.73867, collision = h0001B2
x = -317.2239, y = -332.8053, z = 118.2153, angle = 45.04916, collision = h0001B2
x = -318.2102, y = -332.7909, z = 117.0475, angle = 55.2497, collision = h0001B2
x = -319.3734, y = -332.8582, z = 116.4807, angle = 98.72726, collision = h0001B2
x = -320.7359, y = -332.6888, z = 116.7006, angle = 121.1935, collision = h0001B2
x = -321.4709, y = -332.7805, z = 117.629, angle = -130.8064, collision = h0001B2
x = -320.4373, y = -333.0712, z = 118.4851, angle = -132.9656, collision = h0001B2
x = -319.5199, y = -333.231, z = 119.6203, angle = -161.7897, collision = h0001B2
x = -319.1535, y = -333.2823, z = 120.949, angle = -167.8402, collision = h0001B2
x = -318.8515, y = -333.259, z = 122.2983, angle = -164.5837, collision = h0001B2
x = -318.5949, y = -333.3748, z = 123.6476, angle = -159.7435, collision = h0001B2
x = -320.053, y = -333.199, z = 122.8372, angle = 130.3852, collision = h0001B2
x = -320.9992, y = -333.2039, z = 123.7658, angle = -173.7193, collision = h0001B2
x = -321.0204, y = -333.3247, z = 125.1376, angle = 171.3479, collision = h0001B2
x = -321.6217, y = -333.3424, z = 126.4501, angle = 84.70766, collision = h0001B2
x = -322.9435, y = -333.0954, z = 126.3209, angle = 76.6874, collision = h0001B2
x = -323.6943, y = -333.1209, z = 125.4558, angle = 5.130073, collision = h0001B2
x = -323.6427, y = -333.073, z = 124.1925, angle = -34.02655, collision = h0001B2
x = -322.931, y = -333.0603, z = 123.0202, angle = -14.30589, collision = h0001B2
x = -322.55, y = -333.1205, z = 121.5294, angle = 0.3342695, collision = h0001B2
x = -322.5728, y = -333.1362, z = 120.1522, angle = 27.5217, collision = h0001B2
x = -323.2096, y = -332.572, z = 118.9304, angle = 33.58746, collision = h0001B2
x = -323.9853, y = -332.1026, z = 117.7878, angle = 77.63959, collision = h0001B2
x = -325.131, y = -332.1814, z = 117.8242, angle = 155.1654, collision = h0001B2
x = -325.5502, y = -332.313, z = 118.7985, angle = -173.8066, collision = h0001B2
x = -325.4483, y = -332.7991, z = 120.1718, angle = 158.9712, collision = h0001B2
x = -326.1652, y = -332.8593, z = 121.1294, angle = 46.54006, collision = h0001B2
x = -327.1053, y = -332.6946, z = 120.1832, angle = 10.14558, collision = h0001B2
x = -327.254, y = -332.3336, z = 118.829, angle = -11.41557, collision = h0001B2
x = -327.0996, y = -332.0223, z = 117.7699, angle = 44.85872, collision = h0001B2
x = -328.0346, y = -331.7896, z = 116.8298, angle = 86.73905, collision = h0001B2
x = -329.3863, y = -331.8441, z = 116.7735, angle = 130.9311, collision = h0001B2
x = -330.2733, y = -332.0632, z = 117.7565, angle = -179.5901, collision = h0001B2
x = -330.2681, y = -332.404, z = 119.1262, angle = 168.794, collision = h0001B2
x = -330.4479, y = -332.8891, z = 120.1786, angle = 165.1773, collision = h0001B2
x = -330.7816, y = -333.0382, z = 121.5173, angle = 170.6057, collision = h0001B2
x = -331.1409, y = -333.0173, z = 122.8356, angle = 146.435, collision = h0001B2
x = -332.0158, y = -333.0025, z = 123.8778, angle = 119.127, collision = h0001B2
x = -333.1, y = -333.007, z = 124.1577, angle = 123.7767, collision = h0001B2
x = -333.9448, y = -332.7176, z = 124.7977, angle = 139.961, collision = h0001B2
x = -334.816, y = -332.8301, z = 125.8697, angle = 125.9284, collision = h0001B2
x = -335.9936, y = -333.0832, z = 126.2191, angle = 57.30246, collision = h0001B2
x = -337.2086, y = -333.1469, z = 125.5692, angle = 14.30796, collision = h0001B2
x = -337.2017, y = -333.1643, z = 124.3538, angle = -60.10978, collision = h0001B2
x = -336.3044, y = -333.1617, z = 123.7708, angle = -37.63143, collision = h0001B2
x = -335.4861, y = -333.0963, z = 122.6919, angle = -25.19418, collision = h0001B2
x = -334.8172, y = -332.9735, z = 121.4908, angle = -40.56628, collision = h0001B2
x = -333.9141, y = -332.9952, z = 120.445, angle = -42.29845, collision = h0001B2
x = -333.0344, y = -332.8457, z = 119.3852, angle = -29.02539, collision = h0001B2
x = -332.4987, y = -332.4224, z = 118.4518, angle = -20.98673, collision = h0001B2
x = -332.0423, y = -332.0195, z = 117.152, angle = -5.639428, collision = h0001B2
x = -331.9507, y = -331.7959, z = 115.7763, angle = 52.25622, collision = h0001B2
x = -332.9767, y = -331.7606, z = 115.0478, angle = 118.103, collision = h0001B2
x = -333.8832, y = -332.1532, z = 115.8222, angle = 163.4793, collision = h0001B2
x = -334.7892, y = -332.5333, z = 116.6721, angle = 4.187288, collision = h0001B2
x = -334.9654, y = -332.2616, z = 115.3416, angle = -14.80536, collision = h0001B2
x = -334.5916, y = -331.9191, z = 114.0274, angle = 28.79623, collision = h0001B2
x = -335.36, y = -332.1308, z = 113.0933, angle = 107.7261, collision = h0001B2
x = -336.6266, y = -332.3337, z = 113.5623, angle = 115.6154, collision = h0001B2
x = -337.5659, y = -332.6365, z = 114.0801, angle = 140.7064, collision = h0001B2
x = -338.38, y = -333.1081, z = 115.1512, angle = 155.8443, collision = h0001B2
x = -338.9398, y = -333.289, z = 116.4147, angle = 158.195, collision = h0001B2
x = -339.4679, y = -333.3288, z = 117.6889, angle = 154.4954, collision = h0001B2
x = -340.0835, y = -333.2618, z = 118.9239, angle = 145.5253, collision = h0001B2
x = -340.692, y = -333.1475, z = 119.8067, angle = 135.8577, collision = h0001B2
x = -341.5968, y = -333.174, z = 120.849, angle = 132.6064, collision = h0001B2
x = -342.6273, y = -333.0155, z = 121.7632, angle = 110.9265, collision = h0001B2
x = -340.9241, y = -333.2084, z = 118.0783, angle = 18.60589, collision = h0001B2
x = -341.3627, y = -333.2301, z = 116.7697, angle = 16.90833, collision = h0001B2
x = -341.8441, y = -333.1411, z = 115.4769, angle = 35.43856, collision = h0001B2
x = -342.473, y = -333.1372, z = 114.606, angle = 65.07883, collision = h0001B2
x = -343.7191, y = -333.0205, z = 114.1567, angle = 116.1185, collision = h0001B2
x = -344.6155, y = -333.0894, z = 114.8218, angle = 82.72646, collision = h0001B2
x = -344.4981, y = -332.7658, z = 113.4806, angle = 29.91266, collision = h0001B2
x = -344.6463, y = -333.1833, z = 115.9962, angle = 178.4695, collision = h0001B2
x = -343.4856, y = -333.2045, z = 115.3757, angle = -53.09558, collision = h0001B2
x = -341.6321, y = -333.0509, z = 114.0269, angle = -70.94868, collision = h0001B2
x = -340.3304, y = -332.9648, z = 113.5677, angle = -67.22249, collision = h0001B2
x = -339.0442, y = -332.9234, z = 113.0634, angle = -94.27995, collision = h0001B2
x = -337.9841, y = -332.6943, z = 113.0199, angle = -89.95516, collision = h0001B2
x = -335.0063, y = -331.8449, z = 112.146, angle = -67.48652, collision = h0001B2
x = -334.2585, y = -331.5771, z = 111.4243, angle = 14.45063, collision = h0001B2
x = -334.6577, y = -331.6794, z = 110.4753, angle = 10.43235, collision = h0001B2
x = -334.9453, y = -331.4478, z = 109.4586, angle = 10.15213, collision = h0001B2
x = -335.2413, y = -331.8883, z = 108.4408, angle = 96.62168, collision = h0001B2
x = -336.476, y = -332.1016, z = 108.571, angle = 125.9193, collision = h0001B2
x = -337.6904, y = -332.5554, z = 109.0143, angle = 41.84425, collision = h0001B2
x = -338.6656, y = -332.8835, z = 108.0436, angle = 44.81401, collision = h0001B2
x = -339.6314, y = -333.068, z = 107.0577, angle = 98.28819, collision = h0001B2
x = -341.0253, y = -333.0976, z = 107.1493, angle = 119.331, collision = h0001B2
x = -341.9608, y = -332.9784, z = 106.7919, angle = -13.56902, collision = h0001B2
x = -341.6786, y = -333.1371, z = 105.4447, angle = 8.630162, collision = h0001B2
x = -341.8233, y = -333.1846, z = 103.5875, angle = -111.0157, collision = h0001B2
x = -339.0139, y = -332.9828, z = 104.0178, angle = -90.78229, collision = h0001B2
x = -337.667, y = -332.9037, z = 104.1854, angle = -132.5971, collision = h0001B2
x = -336.6954, y = -332.2851, z = 104.6499, angle = -75.69606, collision = h0001B2
x = -335.3615, y = -332.3645, z = 104.3073, angle = -64.25626, collision = h0001B2
x = -334.2388, y = -332.3349, z = 103.5708, angle = -23.86373, collision = h0001B2
x = -333.7757, y = -332.2861, z = 102.6071, angle = 24.94414, collision = h0001B2
x = -334.3455, y = -332.782, z = 101.4971, angle = 13.31088, collision = h0001B2
x = -334.3841, y = -332.9569, z = 100.3344, angle = -59.76207, collision = h0001B2
x = -333.1377, y = -332.8621, z = 99.85027, angle = -88.9593, collision = h0001B2
x = -331.7574, y = -332.7506, z = 99.8604, angle = -96.12075, collision = h0001B2
x = -330.6899, y = -332.5614, z = 99.97879, angle = -106.7489, collision = h0001B2
x = -328.2883, y = -332.2604, z = 101.2482, angle = -144.8045, collision = h0001B2
x = -327.5591, y = -331.9391, z = 102.4086, angle = 176.1162, collision = h0001B2
x = -327.7581, y = -331.5088, z = 103.7171, angle = 144.556, collision = h0001B2
x = -327.7534, y = -331.2896, z = 104.9602, angle = -105.235, collision = h0001B2
x = -326.4815, y = -331.2682, z = 105.1111, angle = -39.60912, collision = h0001B2
x = -325.5152, y = -331.5382, z = 104.1535, angle = -94.318, collision = h0001B2
x = -324.1477, y = -331.7253, z = 104.2759, angle = -121.9692, collision = h0001B2
x = -323.0689, y = -331.7684, z = 105.0955, angle = 173.5896, collision = h0001B2
x = -323.1388, y = -331.6444, z = 106.1104, angle = 149.989, collision = h0001B2
x = -323.7983, y = -331.31, z = 107.321, angle = -137.9655, collision = h0001B2
x = -322.9314, y = -331.3587, z = 108.1986, angle = -92.91094, collision = h0001B2
x = -321.6736, y = -331.4512, z = 108.2752, angle = -126.0068, collision = h0001B2
x = -320.7156, y = -331.8513, z = 109.1689, angle = 173.4286, collision = h0001B2
x = -320.9037, y = -331.7918, z = 110.5309, angle = 158.8359, collision = h0001B2
x = -321.0668, y = -331.9549, z = 111.5706, angle = -154.8626, collision = h0001B2
x = -320.7635, y = -332.0983, z = 112.8728, angle = 163.2897, collision = h0001B2
x = -321.048, y = -332.0845, z = 113.9013, angle = 146.201, collision = h0001B2
x = -321.7376, y = -332.1219, z = 115.0934, angle = 168.1922, collision = h0001B2
x = -322.0575, y = -332.4109, z = 116.4337, angle = 150.3227, collision = h0001B2
x = -322.8035, y = -332.3713, z = 117.5654, angle = 110.1388, collision = h0001B2
x = -325.7821, y = -331.8609, z = 116.8551, angle = 99.77587, collision = h0001B2
x = -328.2957, y = -331.4096, z = 115.5873, angle = 60.77942, collision = h0001B2
x = -329.3174, y = -331.4701, z = 115.1349, angle = 86.30001, collision = h0001B2
x = -330.4532, y = -331.8564, z = 116.7441, angle = 103.2502, collision = h0001B2
x = -333.0746, y = -332.2077, z = 117.3451, angle = 104.2878, collision = h0001B2
x = -334.4139, y = -332.6596, z = 117.6828, angle = 98.57758, collision = h0001B2
x = -335.7746, y = -332.7703, z = 117.8803, angle = 84.35645, collision = h0001B2
x = -336.8211, y = -332.8029, z = 117.7368, angle = 40.49228, collision = h0001B2
x = -337.6251, y = -332.991, z = 116.6548, angle = 29.20877, collision = h0001B2
x = -340.4717, y = -332.8979, z = 112.2963, angle = 18.14761, collision = h0001B2
x = -341.9103, y = -332.9491, z = 113.0167, angle = -24.77866, collision = h0001B2
x = -341.4286, y = -332.8015, z = 111.7233, angle = -16.4959, collision = h0001B2
x = -341.0641, y = -332.7819, z = 110.3957, angle = -9.636727, collision = h0001B2
x = -340.8041, y = -332.9191, z = 109.04, angle = -18.73118, collision = h0001B2
x = -340.3621, y = -333.0601, z = 106.189, angle = 12.6286, collision = h0001B2
x = -339.263, y = -332.9375, z = 102.9895, angle = -40.44027, collision = h0001B2
x = -338.4162, y = -332.7355, z = 101.9025, angle = -16.75399, collision = h0001B2
x = -337.9781, y = -332.9457, z = 100.5969, angle = -14.65431, collision = h0001B2
x = -333.8896, y = -333.1901, z = 98.38444, angle = -62.83695, collision = h0001B2
x = -331.8849, y = -332.9845, z = 96.81586, angle = -56.96555, collision = h0001B2
x = -330.8466, y = -332.8768, z = 96.86685, angle = -137.9979, collision = h0001B2
x = -328.7552, y = -332.8549, z = 97.61201, angle = -101.3167, collision = h0001B2
x = -323.2438, y = -332.9633, z = 98.90534, angle = -110.7525, collision = h0001B2
x = -322.0998, y = -332.9744, z = 99.26916, angle = -89.92848, collision = h0001B2
x = -318.7262, y = -332.9641, z = 100.81, angle = -133.2036, collision = h0001B2
x = -317.7687, y = -333.2059, z = 101.7407, angle = -136.8445, collision = h0001B2
x = -316.9613, y = -333.2479, z = 102.5504, angle = -138.0817, collision = h0001B2
x = -316.4789, y = -333.2005, z = 103.5809, angle = -178.6863, collision = h0001B2
x = -316.3803, y = -333.1591, z = 104.6175, angle = -173.3971, collision = h0001B2
x = -315.8927, y = -332.9972, z = 112.945, angle = 168.3913, collision = h0001B2
x = -316.1104, y = -332.9887, z = 114.0879, angle = 172.6898, collision = h0001B2
x = -316.2213, y = -332.9748, z = 115.1658, angle = 158.3883, collision = h0001B2
x = -317.0882, y = -332.8476, z = 116.9399, angle = 135.1307, collision = h0001B2
x = -318.3146, y = -332.9317, z = 118.3084, angle = 145.5443, collision = h0001B2
x = -320.4037, y = -235.7341, z = 120.5773, angle = -14.29055, collision = h0103B2
x = -337.519, y = -253.0837, z = 118.6461, angle = -62.68123, collision = h0101B2
x = -335.1526, y = -252.8705, z = 117.1706, angle = -75.98672, collision = h0101B2
x = -334.0996, y = -252.8895, z = 117.1228, angle = -98.61369, collision = h0101B2
x = -333.0221, y = -252.8542, z = 117.3464, angle = -127.8789, collision = h0101B2
x = -332.6329, y = -252.7967, z = 118.271, angle = 141.5943, collision = h0101B2
x = -334.0458, y = -253.1331, z = 120.3892, angle = 83.08933, collision = h0101B2
x = -335.5528, y = -253.0842, z = 120.1137, angle = 75.05878, collision = h0101B2
x = -336.8389, y = -253.0714, z = 119.6334, angle = 55.2492, collision = h0101B2
x = -329.2932, y = -258.6645, z = 109.9415, angle = 146.6852, collision = h0100B2
x = -328.6593, y = -258.8262, z = 110.7325, angle = -129.9399, collision = h0100B2
x = -327.928, y = -258.7507, z = 111.6204, angle = -78.77272, collision = h0100B2
x = -327.2787, y = -258.841, z = 110.7668, angle = -40.11542, collision = h0100B2
x = -326.493, y = -258.8788, z = 109.8948, angle = -17.14173, collision = h0100B2
x = -326.2768, y = -258.8807, z = 108.8085, angle = -69.26716, collision = h0100B2
x = -318.9118, y = -260.8956, z = 107.8948, angle = -84.02951, collision = h0103B2
x = -317.8838, y = -261.1765, z = 108.1569, angle = -129.6326, collision = h0104B2
x = -317.4092, y = -261.325, z = 109.118, angle = 176.1018, collision = h0104B2
x = -317.5943, y = -261.5847, z = 110.229, angle = 163.1674, collision = h0104B2
x = -317.2772, y = -261.8341, z = 111.2077, angle = 157.8461, collision = h0104B2
x = -317.2876, y = -262.1675, z = 112.2885, angle = 130.3528, collision = h0104B2
x = -318.1239, y = -262.2237, z = 112.9956, angle = 112.4483, collision = h0104B2
x = -318.6462, y = -262.5801, z = 113.9672, angle = 131.224, collision = h0104B2
x = -319.7643, y = -262.6563, z = 114.6332, angle = 102.9346, collision = h0104B2
x = -321.112, y = -262.963, z = 114.8, angle = 76.98911, collision = h0104B2
x = -322.0079, y = -263.5985, z = 114.5939, angle = 93.22564, collision = h0104B2
x = -323.1444, y = -263.5278, z = 115.0405, angle = 171.5561, collision = h0104B2
x = -323.8461, y = -263.4799, z = 115.8648, angle = 93.46587, collision = h0104B2
x = -325.0032, y = -263.3416, z = 115.9747, angle = 87.73121, collision = h0104B2
x = -326.2917, y = -263.1969, z = 115.854, angle = 101.26, collision = h0102B2
x = -327.3485, y = -262.82, z = 115.9957, angle = 102.8134, collision = h0102B2
x = -328.5215, y = -262.5805, z = 116.3432, angle = 116.4487, collision = h0102B2
x = -329.7307, y = -262.2727, z = 117.2149, angle = 141.1711, collision = h0102B2
x = -330.4537, y = -262.736, z = 118.3993, angle = -112.9569, collision = h0102B2
x = -329.2687, y = -262.7227, z = 118.8392, angle = -70.33418, collision = h0102B2
x = -328.2554, y = -262.7391, z = 118.4955, angle = -66.7727, collision = h0102B2
x = -326.9865, y = -262.7604, z = 118.3074, angle = -149.0363, collision = h0102B2
x = -326.6291, y = -263.0351, z = 119.4803, angle = 137.606, collision = h0102B2
x = -327.6895, y = -263.1751, z = 120.2792, angle = 98.38152, collision = h0102B2
x = -328.7531, y = -263.0427, z = 120.4125, angle = 43.17581, collision = h0102B2
x = -325.4369, y = -263.021, z = 120.0964, angle = -150.0203, collision = h0102B2
x = -325.2003, y = -263.0582, z = 121.3832, angle = 99.49905, collision = h0102B2
x = -326.1008, y = -263.5798, z = 121.4852, angle = 84.96381, collision = h0102B2
x = -327.1276, y = -263.5926, z = 121.3866, angle = 82.55757, collision = h0102B2
x = -329.403, y = -263.3367, z = 121.5667, angle = 118.1682, collision = h0102B2
x = -328.6853, y = -263.6436, z = 122.4244, angle = -98.73096, collision = h0102B2
x = -327.4224, y = -263.8639, z = 122.6569, angle = -105.1217, collision = h0102B2
x = -326.0792, y = -264.0487, z = 122.9725, angle = -132.5798, collision = h0102B2
x = -325.0788, y = -263.728, z = 123.8217, angle = 165.1712, collision = h0102B2
x = -325.2938, y = -264.6656, z = 124.6693, angle = 56.10686, collision = h0102B2
x = -324.3306, y = -264.9902, z = 125.4185, angle = 171.2734, collision = h0102B2
x = -324.5015, y = -265.7385, z = 126.7694, angle = -178.4972, collision = h0102B2
x = -324.4547, y = -266.2667, z = 127.6768, angle = -131.7713, collision = h0102B2
x = -323.3646, y = -266.5698, z = 128.4277, angle = -146.8553, collision = h0102B2
x = -323.0202, y = -267.2043, z = 129.6369, angle = 142.7781, collision = h0102B2
x = -323.7941, y = -267.977, z = 130.7688, angle = 173.9628, collision = h0102B2
x = -323.8932, y = -268.4882, z = 131.6832, angle = -155.2035, collision = h0102B2
x = -323.2896, y = -268.8666, z = 132.882, angle = -177.4458, collision = h0102B2
x = -323.3419, y = -269.4944, z = 134.1259, angle = 108.8292, collision = h0102B2
x = -324.7642, y = -270.1732, z = 134.6588, angle = 103.8892, collision = h0102B2
x = -326.0141, y = -270.7767, z = 135.2088, angle = 171.1823, collision = h0102B2
x = -326.3862, y = -271.3806, z = 136.5154, angle = 117.7423, collision = h0102B2
x = -327.6013, y = -271.8117, z = 137.0128, angle = 76.02643, collision = h0102B2
x = -328.9079, y = -272.2058, z = 136.6092, angle = 78.739, collision = h0102B2
x = -329.928, y = -272.5161, z = 136.4141, angle = 100.1066, collision = h0102B2
x = -331.2957, y = -272.9419, z = 136.5783, angle = 84.6766, collision = h0102B2
x = -332.6699, y = -272.9971, z = 136.4478, angle = 41.13618, collision = h0102B2
x = -333.7586, y = -273.0578, z = 135.702, angle = 104.8626, collision = h0102B2
x = -335.0959, y = -273.0583, z = 135.8304, angle = 91.34211, collision = h0102B2
x = -335.8097, y = -272.9434, z = 135.0142, angle = 27.31007, collision = h0102B2
x = -336.293, y = -272.7966, z = 134.0762, angle = 27.2298, collision = h0102B2
x = -336.6537, y = -272.9229, z = 135.7237, angle = -150.3116, collision = h0102B2
x = -332.9246, y = -273.0443, z = 135.0253, angle = -70.86555, collision = h0102B2
x = -331.6139, y = -273.0066, z = 134.5821, angle = -78.92072, collision = h0102B2
x = -330.5612, y = -272.9726, z = 134.3706, angle = -72.19214, collision = h0102B2
x = -329.2387, y = -273.0094, z = 133.9773, angle = -72.79513, collision = h0102B2
x = -328.0805, y = -272.9863, z = 133.3119, angle = -19.68732, collision = h0102B2
x = -327.6803, y = -272.9865, z = 132.2568, angle = -14.59236, collision = h0102B2
x = -327.4194, y = -273.0312, z = 131.2661, angle = -14.59236, collision = h0102B2
x = -328.4695, y = -273.0166, z = 131.2571, angle = 152.7312, collision = h0102B2
x = -329.0292, y = -273.0187, z = 132.496, angle = 116.3906, collision = h0102B2
x = -330.3248, y = -272.9935, z = 133.234, angle = 113.0128, collision = h0102B2
x = -334.2721, y = -273.0526, z = 136.6272, angle = 95.51306, collision = h0102B2
x = -336.5631, y = -272.6628, z = 133.0673, angle = -27.13615, collision = h0102B2
x = -335.7897, y = -272.7775, z = 131.9398, angle = -68.37251, collision = h0102B2
x = -334.3656, y = -272.8449, z = 131.4571, angle = -136.8661, collision = h0102B2
x = -333.566, y = -272.9257, z = 132.4261, angle = -147.1065, collision = h0102B2
x = -332.6765, y = -273.0622, z = 133.4593, angle = -111.3183, collision = h0102B2
x = -329.6746, y = -273.0509, z = 130.9164, angle = 95.98956, collision = h0102B2
x = -331.0504, y = -273.0553, z = 131.0077, angle = 69.52294, collision = h0102B2
x = -332.1449, y = -272.9933, z = 130.3237, angle = 20.09977, collision = h0102B2
x = -332.367, y = -273.0793, z = 129.3077, angle = -72.15704, collision = h0102B2
x = -331.0969, y = -273.0757, z = 128.9389, angle = -87.80437, collision = h0102B2
x = -329.7175, y = -273.0674, z = 128.9334, angle = -106.0425, collision = h0102B2
x = -328.3716, y = -273.0653, z = 129.1796, angle = -50.75904, collision = h0102B2
x = -327.6407, y = -272.8875, z = 128.2069, angle = 45.37355, collision = h0102B2
x = -328.3374, y = -273.0197, z = 127.4069, angle = 49.52715, collision = h0102B2
x = -329.4737, y = -273.0674, z = 126.6483, angle = 72.02157, collision = h0102B2
x = -330.6924, y = -273.0674, z = 126.0417, angle = 59.59938, collision = h0102B2
x = -331.6532, y = -273.0674, z = 125.1158, angle = -1.384438, collision = h0102B2
x = -331.5026, y = -273.2672, z = 123.8728, angle = -21.13898, collision = h0102B2
x = -332.1468, y = -273.3229, z = 123.0519, angle = 36.05959, collision = h0102B2
x = -333.0112, y = -273.2496, z = 121.978, angle = 47.69701, collision = h0102B2
x = -333.9646, y = -272.9979, z = 121.537, angle = 99.48255, collision = h0102B2
x = -333.2006, y = -273.3674, z = 123.089, angle = 169.5794, collision = h0102B2
x = -332.889, y = -273.2932, z = 124.1906, angle = -58.46661, collision = h0102B2
x = -330.975, y = -273.297, z = 122.8059, angle = -43.87897, collision = h0102B2
x = -329.7596, y = -273.3121, z = 122.3144, angle = -25.01136, collision = h0102B2
x = -329.2991, y = -273.3773, z = 121.1197, angle = -23.23865, collision = h0102B2
x = -328.5856, y = -273.2646, z = 120.2478, angle = -150.6925, collision = h0102B2
x = -327.9666, y = -273.3672, z = 121.0961, angle = -153.9071, collision = h0102B2
x = -327.1571, y = -273.3094, z = 122.1805, angle = -128.1446, collision = h0102B2
x = -326.0419, y = -273.1857, z = 122.9916, angle = -122.3449, collision = h0102B2
x = -324.8876, y = -273.2223, z = 123.7485, angle = -90.5426, collision = h0102B2
x = -323.8074, y = -273.368, z = 123.775, angle = 73.8786, collision = h0102B2
x = -326.3973, y = -273.2858, z = 121.1227, angle = -48.0084, collision = h0102B2
x = -325.9668, y = -273.1306, z = 120.1596, angle = -27.7587, collision = h0102B2
x = -325.3881, y = -273.5909, z = 119.1638, angle = -32.72173, collision = h0104B2
x = -324.663, y = -273.6561, z = 118.0297, angle = -31.69171, collision = h0104B2
x = -324.0961, y = -273.7342, z = 117.1204, angle = -42.53447, collision = h0104B2
x = -323.1598, y = -273.8242, z = 116.1056, angle = -47.08941, collision = h0104B2
x = -322.136, y = -273.9961, z = 115.1809, angle = -60.61769, collision = h0104B2
x = -321.0353, y = -274.1132, z = 114.5456, angle = -49.39441, collision = h0104B2
x = -320.0169, y = -274.1808, z = 113.9801, angle = -79.02751, collision = h0104B2
x = -318.8635, y = -274.3603, z = 113.7979, angle = -88.31116, collision = h0104B2
x = -317.6865, y = -274.513, z = 113.7687, angle = -87.80527, collision = h0104B2
x = -316.686, y = -274.8379, z = 113.7234, angle = -91.37508, collision = h0104B2
x = -315.344, y = -275.571, z = 113.7782, angle = -99.63461, collision = h0104B2
x = -313.9878, y = -276.2023, z = 114.0413, angle = -85.90338, collision = h0104B2
x = -312.7955, y = -276.6359, z = 113.9094, angle = -48.08367, collision = h0104B2
x = -313.9049, y = -276.5797, z = 112.9857, angle = 34.53032, collision = h0104B2
x = -315.3078, y = -276.1168, z = 112.8378, angle = 13.0989, collision = h0105B2
x = -314.9927, y = -282.8934, z = 112.1118, angle = 13.0989, collision = h0105B2
x = -314.3965, y = -282.7227, z = 113.0036, angle = -126.7388, collision = h0105B2
x = -313.4033, y = -282.6849, z = 113.5816, angle = -118.1373, collision = h0105B2
x = -315.5756, y = -283.3526, z = 110.4682, angle = -0.7611836, collision = h0105B2
x = -315.5885, y = -283.5851, z = 109.3876, angle = 8.35115, collision = h0105B2
x = -315.8804, y = -284.1311, z = 108.0652, angle = 25.32504, collision = h0105B2
x = -316.5453, y = -284.6322, z = 106.8587, angle = 43.62243, collision = h0105B2
x = -317.4931, y = -285.0663, z = 105.8541, angle = 44.57616, collision = h0105B2
x = -318.4372, y = -285.5185, z = 104.849, angle = 22.14944, collision = h0105B2
x = -318.9166, y = -285.921, z = 103.898, angle = 21.33018, collision = h0105B2
x = -319.41, y = -286.4728, z = 102.6088, angle = 20.67187, collision = h0105B2
x = -319.924, y = -287.0007, z = 101.3296, angle = 30.89396, collision = h0105B2
x = -320.1772, y = -287.3315, z = 100.1936, angle = -26.87474, collision = h0105B2
x = -321.0091, y = -287.1677, z = 101.6802, angle = 75.30182, collision = h0106B2
x = -322.1574, y = -292.2661, z = 101.3785, angle = 75.30182, collision = h0106B2
x = -323.0842, y = -291.8871, z = 100.953, angle = 60.75879, collision = h0106B2
x = -323.9838, y = -291.5424, z = 100.3322, angle = 38.44689, collision = h0106B2
x = -324.7443, y = -291.3097, z = 99.45047, angle = 49.17768, collision = h0106B2
x = -325.5432, y = -291.0756, z = 98.59969, angle = 30.57393, collision = h0106B2
x = -325.9312, y = -290.9436, z = 97.54289, angle = -11.7273, collision = h0106B2
x = -325.9047, y = -290.9201, z = 96.38454, angle = -3.792135, collision = h0106B2
x = -321.2473, y = -292.7897, z = 102.6248, angle = -136.4119, collision = h0106B2
x = -320.3154, y = -293.2726, z = 103.6416, angle = -146.2667, collision = h0106B2
x = -319.5311, y = -293.7594, z = 104.7778, angle = -147.1698, collision = h0106B2
x = -318.7908, y = -294.257, z = 105.9425, angle = -150.7344, collision = h0106B2
x = -318.1192, y = -294.7466, z = 107.1489, angle = -135.2466, collision = h0106B2
x = -317.4169, y = -295.1355, z = 107.9498, angle = -129.1261, collision = h0106B2
x = -316.5828, y = -295.47, z = 108.5559, angle = -103.4627, collision = h0106B2
x = -315.4874, y = -295.7614, z = 108.77, angle = -90.09898, collision = h0106B2
x = -320.1648, y = -293.8787, z = 105.5817, angle = 124.2376, collision = h0105B2
x = -341.4361, y = -290.5524, z = 110.7216, angle = 44.54543, collision = h0105B2
x = -342.6225, y = -301.3572, z = 112.6276, angle = 145.5579, collision = h0106B2
x = -343.0791, y = -301.5511, z = 113.5384, angle = 152.8269, collision = h0106B2
x = -343.6051, y = -301.652, z = 114.5062, angle = 138.7403, collision = h0106B2
x = -344.2984, y = -301.7641, z = 115.4023, angle = 106.3637, collision = h0106B2
x = -342.0313, y = -301.4969, z = 111.6208, angle = -28.35707, collision = h0106B2
x = -341.5179, y = -301.6172, z = 110.742, angle = -36.6028, collision = h0106B2
x = -340.8566, y = -301.7794, z = 109.8496, angle = -36.68225, collision = h0106B2
x = -340.1119, y = -301.8384, z = 109.0125, angle = -46.179, collision = h0106B2
x = -339.2577, y = -301.9173, z = 108.1957, angle = -43.34988, collision = h0106B2
x = -338.493, y = -302.0059, z = 107.402, angle = -41.22869, collision = h0106B2
x = -337.8272, y = -302.0769, z = 106.6121, angle = -36.08917, collision = h0106B2
