x = 87.86724, y = 13.22756, z = 118.8088, angle = -178.0423, collision = h0001B0_0000
x = 125.5705, y = 42.25, z = 294.5794, angle = 28.27293, collision = h0011B0_0000
x = 123.6214, y = 42.24992, z = 292.5621, angle = 116.0785, collision = h0011B0_0000
x = 123.1108, y = 42.24987, z = 293.4855, angle = -131.3847, collision = h0011B0_0000
x = 119.7085, y = 36.80012, z = 272.0519, angle = 115.7664, collision = h0007B0_0000
x = 118.0592, y = 36.80021, z = 274.67, angle = 130.9679, collision = h0007B0_0000
x = 107.5263, y = 36.80002, z = 272.902, angle = 34.13401, collision = h0007B0_0000
x = 106.6865, y = 36.80001, z = 271.7533, angle = 11.74002, collision = h0007B0_0000
x = 98.32616, y = 38.39994, z = 269.6263, angle = 46.86709, collision = h0008B0_0000
x = 97.26965, y = 38.15573, z = 268.6673, angle = 23.7825, collision = h0008B0_0000
x = 96.22392, y = 38.14899, z = 269.0848, angle = 123.544, collision = h0008B0_0000
x = 102.8513, y = 48.12569, z = 292.1187, angle = -85.70895, collision = h0010B0_0000
x = 107.8008, y = 48.27833, z = 291.4714, angle = -54.55412, collision = h0010B0_0000
x = 108.7188, y = 48.33785, z = 290.8581, angle = -106.1244, collision = h0010B0_0000
x = 109.447, y = 48.32827, z = 294.8362, angle = 48.06669, collision = h0010B0_0000
x = 108.3288, y = 48.30367, z = 293.9954, angle = 46.22927, collision = h0010B0_0000
x = 104.109, y = 48.10345, z = 292.0329, angle = 87.07033, collision = h0010B0_0000
x = 98.18819, y = 45.48666, z = 284.84, angle = 129.258, collision = h0008B0_0000
x = 95.07557, y = 38.21546, z = 284.6178, angle = 114.668, collision = h0017B0_0000
x = 96.20539, y = 38.14999, z = 285.0532, angle = 172.6961, collision = h0017B0_0000
x = 95.99776, y = 38.14999, z = 286.1181, angle = 140.9186, collision = h0017B0_0000
x = 96.04305, y = 38.14999, z = 287.1564, angle = -174.5706, collision = h0017B0_0000
x = 96.07369, y = 38.14999, z = 288.3353, angle = 152.7911, collision = h0017B0_0000
x = 95.57283, y = 38.14999, z = 289.3645, angle = 124.8046, collision = h0017B0_0000
x = 94.54567, y = 38.14999, z = 289.6589, angle = 76.41538, collision = h0017B0_0000
x = 95.0393, y = 38.05, z = 290.6963, angle = -177.0315, collision = h0017B0_0000
x = 95.08781, y = 38.05, z = 291.7756, angle = -178.9494, collision = h0017B0_0000
x = 95.10166, y = 38.04999, z = 292.9813, angle = -179.5521, collision = h0017B0_0000
x = 95.11087, y = 38.04985, z = 294.1336, angle = -179.5292, collision = h0017B0_0000
x = 97.26759, y = 38.09938, z = 285.4007, angle = -96.45969, collision = h0017B0_0000
x = 98.59531, y = 37.99997, z = 285.5032, angle = -91.2055, collision = h0017B0_0000
x = 100.0275, y = 37.99997, z = 285.5351, angle = -90.05707, collision = h0017B0_0000
x = 101.2991, y = 37.99997, z = 285.4606, angle = -79.4229, collision = h0017B0_0000
x = 102.71, y = 37.99997, z = 285.2118, angle = -88.17683, collision = h0017B0_0000
x = 104.1401, y = 37.99998, z = 285.2047, angle = -95.36926, collision = h0017B0_0000
x = 105.5669, y = 37.99999, z = 285.3374, angle = -95.35716, collision = h0017B0_0000
x = 106.9935, y = 37.99998, z = 285.472, angle = -95.20824, collision = h0017B0_0000
x = 108.3067, y = 37.99996, z = 285.1956, angle = -25.99224, collision = h0017B0_0000
x = 107.2038, y = 38.14882, z = 284.375, angle = 13.11176, collision = h0091B0_0000
x = 107.1895, y = 38.65291, z = 283.4929, angle = -9.277022, collision = h0091B0_0000
x = 107.3043, y = 39.19402, z = 282.5459, angle = 6.57041, collision = h0091B0_0000
x = 107.2414, y = 39.73833, z = 281.595, angle = 6.845407, collision = h0091B0_0000
x = 107.1243, y = 40.27915, z = 280.6469, angle = 7.806961, collision = h0091B0_0000
x = 106.9953, y = 40.82004, z = 279.7004, angle = 11.91427, collision = h0091B0_0000
x = 107.2549, y = 41.24993, z = 278.312, angle = -10.34797, collision = h0091B0_0000
x = 107.4844, y = 41.25, z = 277.2266, angle = -17.05885, collision = h0091B0_0000
x = 107.8645, y = 41.25, z = 275.8443, angle = 2.850976, collision = h0091B0_0000
x = 107.8232, y = 41.25, z = 274.412, angle = 1.334838, collision = h0091B0_0000
x = 107.7802, y = 41.25, z = 273.1454, angle = 6.06361, collision = h0091B0_0000
x = 107.6629, y = 41.25, z = 271.7184, angle = -6.734239, collision = h0091B0_0000
x = 107.8202, y = 41.25, z = 270.2941, angle = -5.200834, collision = h0091B0_0000
x = 107.8009, y = 41.25, z = 268.8746, angle = 39.61164, collision = h0091B0_0000
x = 106.7941, y = 41.25, z = 267.9219, angle = 82.13378, collision = h0091B0_0000
x = 105.3837, y = 41.25, z = 267.8233, angle = 137.9367, collision = h0091B0_0000
x = 104.8574, y = 41.25, z = 268.875, angle = -97.9712, collision = h0091B0_0000
x = 105.9811, y = 41.25, z = 268.9095, angle = -8.867963, collision = h0091B0_0000
x = 106.7141, y = 41.25, z = 269.8086, angle = 137.1809, collision = h0091B0_0000
x = 105.795, y = 41.25, z = 270.8254, angle = -179.2569, collision = h0091B0_0000
x = 106.0963, y = 41.25, z = 272.0726, angle = -126.2976, collision = h0091B0_0000
x = 106.7332, y = 41.25, z = 275.3793, angle = 104.479, collision = h0091B0_0000
x = 105.3452, y = 41.25, z = 275.6604, angle = 109.0069, collision = h0091B0_0000
x = 103.9355, y = 41.24999, z = 276.7272, angle = 130.6873, collision = h0091B0_0000
x = 102.984, y = 41.25, z = 277.1375, angle = 51.61143, collision = h0091B0_0000
x = 102.9057, y = 41.7506, z = 275.6723, angle = -10.73042, collision = h0091B0_0000
x = 103.0527, y = 42.2858, z = 274.7357, angle = -8.414847, collision = h0091B0_0000
x = 103.256, y = 42.81629, z = 273.8073, angle = -6.478106, collision = h0091B0_0000
x = 103.3698, y = 43.3582, z = 272.8589, angle = -11.92308, collision = h0091B0_0000
x = 103.567, y = 43.8923, z = 271.9243, angle = 9.971448, collision = h0091B0_0000
x = 103.512, y = 44.42586, z = 270.9905, angle = 17.19023, collision = h0091B0_0000
x = 103.2319, y = 44.94772, z = 270.0772, angle = 7.564243, collision = h0091B0_0000
x = 103.0599, y = 45.05, z = 268.822, angle = -10.78716, collision = h0091B0_0000
x = 103.5, y = 45.09395, z = 267.8121, angle = -19.1073, collision = h0091B0_0000
x = 104.0096, y = 45.05, z = 266.5005, angle = -48.65227, collision = h0091B0_0000
x = 105.0755, y = 45.05, z = 265.8627, angle = -107.0052, collision = h0091B0_0000
x = 106.2458, y = 45.05, z = 266.2943, angle = -124.3254, collision = h0091B0_0000
x = 107.4308, y = 45.05, z = 267.0994, angle = -99.14264, collision = h0091B0_0000
x = 103.0001, y = 45.05, z = 266.5331, angle = 148.1851, collision = h0091B0_0000
x = 105.0662, y = 45.05, z = 266.8781, angle = -75.35625, collision = h0091B0_0000
x = 108.3561, y = 45.05, z = 266.3844, angle = -84.36704, collision = h0091B0_0000
x = 109.6412, y = 45.00002, z = 266.2622, angle = -72.47948, collision = h0009B0_0000
x = 111.0187, y = 44.99998, z = 265.8727, angle = -84.60522, collision = h0009B0_0000
x = 112.4461, y = 44.99999, z = 265.7805, angle = -100.1003, collision = h0009B0_0000
x = 113.7466, y = 45.00003, z = 266.3553, angle = -78.26585, collision = h0009B0_0000
x = 115.155, y = 45.05, z = 266.3355, angle = -74.76716, collision = h0090B0_0000
x = 116.113, y = 45.05, z = 265.9778, angle = 2.982662, collision = h0090B0_0000
x = 117.2864, y = 45.05, z = 265.7499, angle = -83.1208, collision = h0090B0_0000
x = 118.7022, y = 45.05, z = 265.7499, angle = -86.47144, collision = h0090B0_0000
x = 119.9461, y = 45.05, z = 265.8981, angle = -138.2239, collision = h0090B0_0000
x = 120.5, y = 45.05, z = 267.0164, angle = -178.406, collision = h0090B0_0000
x = 119.9641, y = 45.04999, z = 268.1992, angle = 125.6148, collision = h0090B0_0000
x = 119.857, y = 44.42639, z = 269.3896, angle = -177.5793, collision = h0090B0_0000
x = 119.8957, y = 43.88242, z = 270.3416, angle = -177.3139, collision = h0090B0_0000
x = 119.9401, y = 43.33714, z = 271.2958, angle = -169.2788, collision = h0090B0_0000
x = 120.0909, y = 42.80037, z = 272.2352, angle = -161.4781, collision = h0090B0_0000
x = 120.3726, y = 42.29213, z = 273.1246, angle = 176.2408, collision = h0090B0_0000
x = 120.309, y = 41.68002, z = 274.1958, angle = 176.4632, collision = h0090B0_0000
x = 120.2146, y = 41.24999, z = 275.6255, angle = 153.1226, collision = h0090B0_0000
x = 119.5813, y = 41.25001, z = 276.6785, angle = 95.32497, collision = h0090B0_0000
x = 118.1951, y = 41.25, z = 276.7374, angle = 73.06494, collision = h0090B0_0000
x = 116.7993, y = 41.25, z = 276.5007, angle = 102.2509, collision = h0090B0_0000
x = 115.3985, y = 41.25, z = 276.8019, angle = 39.68112, collision = h0090B0_0000
x = 115.4901, y = 41.25, z = 275.761, angle = -26.88644, collision = h0090B0_0000
x = 116.0349, y = 41.25, z = 274.465, angle = -0.8267534, collision = h0090B0_0000
x = 116.1699, y = 41.25, z = 273.2052, angle = 2.847998, collision = h0090B0_0000
x = 116.092, y = 41.25, z = 271.7764, angle = 5.857912, collision = h0090B0_0000
x = 115.9373, y = 41.25001, z = 270.3519, angle = -4.496546, collision = h0090B0_0000
x = 116.2865, y = 41.25001, z = 269.0144, angle = -92.89256, collision = h0090B0_0000
x = 117.6126, y = 41.25001, z = 269.0847, angle = -117.6684, collision = h0090B0_0000
x = 118.7645, y = 41.25001, z = 269.8818, angle = 171.8961, collision = h0090B0_0000
x = 118.5888, y = 41.25001, z = 271.0974, angle = 140.9813, collision = h0090B0_0000
x = 117.6274, y = 41.25, z = 272.135, angle = 105.2805, collision = h0090B0_0000
x = 116.8038, y = 41.25, z = 270.9319, angle = -175.4202, collision = h0090B0_0000
x = 117.1676, y = 41.25, z = 274.8438, angle = -120.6696, collision = h0090B0_0000
x = 118.4359, y = 41.25001, z = 275.4143, angle = -68.45271, collision = h0090B0_0000
x = 119.2792, y = 45.05, z = 266.7553, angle = 65.00185, collision = h0090B0_0000
x = 104.1591, y = 42.4487, z = 274.3968, angle = -145.9069, collision = h0091B0_0000
x = 105.8525, y = 41.25, z = 276.6581, angle = -172.7012, collision = h0091B0_0000
x = 94.59829, y = 38.14999, z = 285.5226, angle = 73.77322, collision = h0017B0_0000
x = 93.39224, y = 38.12553, z = 285.1685, angle = 68.14867, collision = h0017B0_0000
x = 92.03539, y = 25.80444, z = 284.2286, angle = 70.77901, collision = h0080B0_0000
x = 91.68197, y = 25.0947, z = 283.1332, angle = 12.9987, collision = h0080B0_0000
x = 91.4897, y = 24.53876, z = 282.1981, angle = 5.092056, collision = h0080B0_0000
x = 91.40676, y = 23.98724, z = 281.2465, angle = -0.2370076, collision = h0080B0_0000
x = 91.40306, y = 23.44209, z = 280.2918, angle = -5.265939, collision = h0080B0_0000
x = 91.48132, y = 22.90684, z = 279.3398, angle = -1.685827, collision = h0080B0_0000
x = 91.50567, y = 22.36493, z = 278.3857, angle = 5.945215, collision = h0080B0_0000
x = 91.37318, y = 21.62707, z = 277.1165, angle = 7.988084, collision = h0080B0_0000
x = 91.24144, y = 21.07544, z = 276.1703, angle = 7.778602, collision = h0080B0_0000
x = 91.07038, y = 20.8759, z = 274.7574, angle = 0.8878973, collision = h0080B0_0000
x = 91.16179, y = 20.85996, z = 273.3355, angle = -15.78185, collision = h0080B0_0000
x = 92.24283, y = 21.00078, z = 273.0996, angle = -113.2982, collision = h0080B0_0000
x = 93.54897, y = 21.01459, z = 273.5931, angle = -101.1299, collision = h0080B0_0000
x = 94.96714, y = 21.00005, z = 273.7514, angle = -90.3853, collision = h0012B0_0000
x = 96.40003, y = 21.00005, z = 273.7612, angle = -91.48335, collision = h0012B0_0000
x = 97.43348, y = 21.00005, z = 273.7864, angle = -90.8344, collision = h0012B0_0000
x = 98.71812, y = 21.00004, z = 273.7713, angle = -86.70779, collision = h0012B0_0000
x = 99.98408, y = 21.00004, z = 273.7081, angle = -92.65973, collision = h0012B0_0000
x = 101.412, y = 21.00004, z = 273.8011, angle = -97.1256, collision = h0012B0_0000
x = 102.8347, y = 21.00004, z = 273.9724, angle = -95.63419, collision = h0012B0_0000
x = 104.2593, y = 21.00004, z = 274.0549, angle = -74.97524, collision = h0012B0_0000
x = 105.3251, y = 21.00005, z = 273.772, angle = -57.19979, collision = h0012B0_0000
x = 105.396, y = 21.00004, z = 272.7023, angle = -57.60387, collision = h0012B0_0000
x = 106.6, y = 21.00005, z = 272.6341, angle = -120.4873, collision = h0012B0_0000
x = 107.8608, y = 21.00007, z = 273.3107, angle = -110.7991, collision = h0012B0_0000
x = 109.1894, y = 21.00007, z = 273.8469, angle = -106.041, collision = h0012B0_0000
x = 110.1913, y = 21.00007, z = 274.0753, angle = -95.45935, collision = h0012B0_0000
x = 111.1233, y = 21.00009, z = 273.2947, angle = -75.25887, collision = h0012B0_0000
x = 112.456, y = 21.0001, z = 272.9595, angle = -113.2246, collision = h0012B0_0000
x = 113.6475, y = 21.0001, z = 273.4121, angle = -104.4317, collision = h0012B0_0000
x = 115.0432, y = 21.00009, z = 273.6454, angle = -84.70557, collision = h0012B0_0000
x = 116.1743, y = 21.0001, z = 273.566, angle = -131.9739, collision = h0012B0_0000
x = 115.7561, y = 21.00007, z = 274.775, angle = 138.3289, collision = h0012B0_0000
x = 115.0398, y = 21.00004, z = 275.9739, angle = -179.5153, collision = h0012B0_0000
x = 115.6217, y = 21.00002, z = 276.8455, angle = -123.8457, collision = h0012B0_0000
x = 114.6349, y = 21, z = 277.3677, angle = 150.9433, collision = h0012B0_0000
x = 113.8847, y = 21.00005, z = 278.5857, angle = 92.48061, collision = h0012B0_0000
x = 112.8168, y = 21.00003, z = 277.8662, angle = 21.12791, collision = h0012B0_0000
x = 112.245, y = 21.00001, z = 276.6282, angle = 31.15315, collision = h0012B0_0000
x = 111.4827, y = 21.00004, z = 275.5352, angle = 126.7247, collision = h0012B0_0000
x = 110.2868, y = 21.00002, z = 276.2747, angle = 126.973, collision = h0012B0_0000
x = 109.3401, y = 21.00013, z = 277.2568, angle = 101.191, collision = h0012B0_0000
x = 107.9689, y = 21.00026, z = 277.5996, angle = 94.86794, collision = h0012B0_0000
x = 106.5507, y = 21.00034, z = 277.5765, angle = 45.72916, collision = h0012B0_0000
x = 105.7083, y = 21.00023, z = 276.5405, angle = -3.332176, collision = h0012B0_0000
x = 105.9375, y = 21.00003, z = 275.1551, angle = -73.85123, collision = h0012B0_0000
x = 107.1187, y = 21.00004, z = 274.8247, angle = -106.5119, collision = h0012B0_0000
x = 108.4138, y = 21.00005, z = 274.8224, angle = -73.83194, collision = h0012B0_0000
x = 111.1003, y = 21.00006, z = 274.599, angle = -106.7493, collision = h0012B0_0000
x = 92.69964, y = 21.0004, z = 274.2582, angle = 149.7775, collision = h0080B0_0000
x = 92.08205, y = 21.00076, z = 275.3253, angle = 137.0715, collision = h0080B0_0000
x = 91.13388, y = 26.06326, z = 284.8578, angle = 178.1891, collision = h0080B0_0000
x = 91.10425, y = 26.61184, z = 285.8126, angle = 178.6272, collision = h0080B0_0000
x = 91.08454, y = 27.15804, z = 286.7677, angle = 179.0528, collision = h0080B0_0000
x = 91.06939, y = 27.70413, z = 287.7229, angle = 179.9087, collision = h0080B0_0000
x = 91.06603, y = 28.24991, z = 288.6782, angle = -179.686, collision = h0080B0_0000
x = 91.07072, y = 28.79541, z = 289.6335, angle = -179.1277, collision = h0080B0_0000
x = 91.08553, y = 29.34045, z = 290.5886, angle = -173.5201, collision = h0080B0_0000
x = 91.18585, y = 29.83866, z = 291.8515, angle = -175.6878, collision = h0080B0_0000
x = 91.32492, y = 29.81365, z = 293.2765, angle = -148.3193, collision = h0080B0_0000
x = 92.04297, y = 29.77901, z = 294.2412, angle = -94.8727, collision = h0080B0_0000
x = 93.13022, y = 29.74, z = 294.4015, angle = -51.00897, collision = h0008B0_0000
x = 94.51869, y = 29.74379, z = 294.1324, angle = -39.03161, collision = h0008B0_0000
x = 95.28063, y = 29.80162, z = 293.1816, angle = -4.187479, collision = h0008B0_0000
x = 95.28382, y = 30.39986, z = 291.7756, angle = 12.42314, collision = h0008B0_0000
x = 95.0725, y = 30.94441, z = 290.844, angle = 2.687994, collision = h0008B0_0000
x = 95.00348, y = 31.48965, z = 289.9013, angle = -2.997879, collision = h0008B0_0000
x = 95.03023, y = 32.02913, z = 288.9477, angle = -3.860887, collision = h0008B0_0000
x = 95.10755, y = 32.55978, z = 287.9956, angle = -8.765782, collision = h0008B0_0000
x = 95.32797, y = 32.86126, z = 286.5797, angle = -9.088168, collision = h0008B0_0000
x = 95.5246, y = 32.92357, z = 285.3182, angle = 6.315698, collision = h0008B0_0000
x = 95.44363, y = 32.94096, z = 283.9445, angle = 5.829307, collision = h0008B0_0000
x = 95.32452, y = 32.95131, z = 282.8258, angle = 4.520766, collision = h0008B0_0000
x = 95.22173, y = 32.96829, z = 281.3968, angle = 3.928629, collision = h0008B0_0000
x = 95.25956, y = 33.5225, z = 279.9721, angle = -10.78369, collision = h0008B0_0000
x = 95.42786, y = 34.06339, z = 279.0324, angle = -2.149679, collision = h0008B0_0000
x = 95.47767, y = 34.61074, z = 278.0786, angle = -1.734731, collision = h0008B0_0000
x = 95.51984, y = 35.33749, z = 276.8118, angle = 0.05052974, collision = h0008B0_0000
x = 95.53039, y = 35.88512, z = 275.8568, angle = 2.785037, collision = h0008B0_0000
x = 95.48273, y = 36.4302, z = 274.9027, angle = 2.950874, collision = h0008B0_0000
x = 95.43295, y = 36.97343, z = 273.9487, angle = 3.880476, collision = h0008B0_0000
x = 95.37332, y = 37.51592, z = 272.9953, angle = 2.806771, collision = h0008B0_0000
x = 95.32372, y = 38.05914, z = 272.0414, angle = 3.226581, collision = h0008B0_0000
x = 95.3083, y = 38.19967, z = 270.6119, angle = -14.32027, collision = h0008B0_0000
x = 104.9115, y = 48.25446, z = 292.7864, angle = -79.12767, collision = h0010B0_0000
x = 108.514, y = 48.33758, z = 292.1993, angle = -84.23332, collision = h0010B0_0000
x = 114.0177, y = 48.30014, z = 295.2631, angle = 43.94584, collision = h0010B0_0000
x = 114.4902, y = 48.35, z = 289.2195, angle = 40.95701, collision = h0010B0_0000
x = 113.1668, y = 48.32569, z = 287.8593, angle = 33.34877, collision = h0010B0_0000
x = 112.4978, y = 48.20945, z = 285.1776, angle = -2.427804, collision = h0009B0_0000
x = 112.5083, y = 47.77678, z = 283.8238, angle = 13.31406, collision = h0009B0_0000
x = 112.3159, y = 47.21158, z = 282.8888, angle = -2.084833, collision = h0009B0_0000
x = 112.3194, y = 46.66464, z = 281.9339, angle = 0.7627409, collision = h0009B0_0000
x = 112.2902, y = 46.11388, z = 280.9802, angle = 12.07752, collision = h0009B0_0000
x = 112.1042, y = 45.55725, z = 280.0436, angle = 12.15402, collision = h0009B0_0000
x = 111.9049, y = 45.01653, z = 279.1094, angle = 12.50884, collision = h0009B0_0000
x = 111.6968, y = 44.47375, z = 278.1771, angle = 2.79072, collision = h0009B0_0000
x = 111.6168, y = 43.93602, z = 277.2296, angle = -1.614097, collision = h0009B0_0000
x = 111.6609, y = 43.20787, z = 275.9536, angle = -1.79649, collision = h0009B0_0000
x = 111.6968, y = 42.66308, z = 274.999, angle = -2.762279, collision = h0009B0_0000
x = 111.7421, y = 42.11824, z = 274.0448, angle = -3.45568, collision = h0009B0_0000
x = 111.7993, y = 41.87899, z = 272.6136, angle = 4.127265, collision = h0009B0_0000
x = 111.6952, y = 41.59127, z = 271.1844, angle = 4.1964, collision = h0009B0_0000
x = 111.6267, y = 41.04955, z = 270.2316, angle = 3.776138, collision = h0009B0_0000
x = 111.56, y = 40.50763, z = 269.2787, angle = 3.867936, collision = h0009B0_0000
x = 111.473, y = 39.78842, z = 268.0141, angle = 4.090395, collision = h0009B0_0000
x = 111.4038, y = 39.24674, z = 267.0613, angle = 2.52605, collision = h0009B0_0000
x = 111.347, y = 38.70404, z = 266.1079, angle = 2.291979, collision = h0009B0_0000
x = 111.3091, y = 38.1618, z = 265.1533, angle = -0.2634814, collision = h0009B0_0000
x = 111.3077, y = 37.6147, z = 264.199, angle = -3.542273, collision = h0009B0_0000
x = 111.3715, y = 37.06454, z = 263.2458, angle = -4.078361, collision = h0009B0_0000
x = 111.4411, y = 36.5155, z = 262.2931, angle = -4.847549, collision = h0009B0_0000
x = 111.5219, y = 35.96643, z = 261.3412, angle = -7.523317, collision = h0009B0_0000
x = 111.6224, y = 35.4182, z = 260.3914, angle = -4.878913, collision = h0009B0_0000
x = 111.7372, y = 34.68535, z = 259.1198, angle = -3.592242, collision = h0009B0_0000
x = 111.7961, y = 34.13708, z = 258.1663, angle = -3.551015, collision = h0009B0_0000
x = 111.8522, y = 33.59432, z = 257.2127, angle = -3.805563, collision = h0009B0_0000
x = 111.9089, y = 33.05331, z = 256.2591, angle = 0.173036, collision = h0009B0_0000
x = 111.9035, y = 32.50554, z = 255.3038, angle = 0.4455742, collision = h0009B0_0000
x = 111.8965, y = 31.95769, z = 254.3486, angle = 0.8722425, collision = h0009B0_0000
x = 111.8827, y = 31.41469, z = 253.4026, angle = 1.363114, collision = h0009B0_0000
x = 111.8606, y = 30.86597, z = 252.4475, angle = 1.883793, collision = h0009B0_0000
x = 111.7962, y = 27.67745, z = 235.7893, angle = -1.158223, collision = h0005B0_0000
x = 111.8173, y = 27.67544, z = 234.3566, angle = 2.55792, collision = h0005B0_0000
x = 111.7526, y = 27.6862, z = 232.9251, angle = 2.385443, collision = h0005B0_0000
x = 111.687, y = 27.69956, z = 231.4937, angle = -0.8420394, collision = h0005B0_0000
x = 111.7023, y = 27.69621, z = 230.3824, angle = -1.208711, collision = h0005B0_0000
x = 111.722, y = 27.69274, z = 229.1793, angle = -0.8173141, collision = h0005B0_0000
x = 111.7441, y = 27.68895, z = 227.7465, angle = -0.9694634, collision = h0005B0_0000
x = 111.766, y = 27.68518, z = 226.4699, angle = -1.123498, collision = h0005B0_0000
x = 111.7946, y = 27.68019, z = 225.0373, angle = -1.301656, collision = h0005B0_0000
x = 111.8276, y = 27.67988, z = 223.6047, angle = -1.481673, collision = h0005B0_0000
x = 111.8652, y = 27.68309, z = 222.1723, angle = -0.2949412, collision = h0005B0_0000
x = 111.8751, y = 27.68429, z = 220.7394, angle = -0.3143663, collision = h0005B0_0000
x = 111.8841, y = 27.68544, z = 219.3065, angle = -0.2624295, collision = h0005B0_0000
x = 111.8923, y = 27.68646, z = 218.0389, angle = -0.2030888, collision = h0005B0_0000
x = 111.8971, y = 27.68731, z = 216.606, angle = -0.1219735, collision = h0005B0_0000
x = 111.9025, y = 27.68819, z = 215.173, angle = -0.0440274, collision = h0005B0_0000
x = 111.9035, y = 27.68875, z = 213.7584, angle = -0.4225428, collision = h0005B0_0000
x = 111.905, y = 27.68935, z = 212.3255, angle = 0.1129167, collision = h0005B0_0000
x = 111.9032, y = 27.68971, z = 210.8925, angle = -0.2488511, collision = h0005B0_0000
x = 111.9006, y = 27.69001, z = 209.4687, angle = -0.1720935, collision = h0005B0_0000
x = 111.9006, y = 27.69045, z = 208.1919, angle = -0.1329155, collision = h0005B0_0000
x = 111.9026, y = 27.69109, z = 206.7589, angle = 0.3370835, collision = h0005B0_0000
x = 111.9004, y = 27.69142, z = 205.326, angle = 0.3743353, collision = h0005B0_0000
x = 111.8947, y = 27.6915, z = 203.8931, angle = 0.4320641, collision = h0005B0_0000
x = 111.8849, y = 27.69129, z = 202.4602, angle = 0.5052018, collision = h0005B0_0000
x = 111.8758, y = 27.69113, z = 201.0273, angle = 0.5765772, collision = h0005B0_0000
x = 111.8629, y = 27.69063, z = 199.7506, angle = 0.1977886, collision = h0005B0_0000
x = 111.8494, y = 27.69015, z = 198.327, angle = 1.310905, collision = h0005B0_0000
x = 111.8309, y = 27.6892, z = 197.1935, angle = 0.9467735, collision = h0005B0_0000
x = 111.8142, y = 27.6885, z = 195.7209, angle = -3.07879, collision = h0005B0_0000
x = 111.8861, y = 27.69418, z = 194.2911, angle = -5.725433, collision = h0005B0_0000
x = 112.0081, y = 27.71661, z = 192.8636, angle = -3.821368, collision = h0036B0_0000
x = 112.0701, y = 27.3258, z = 191.8643, angle = -4.164626, collision = h0036B0_0000
x = 112.1621, y = 27.1016, z = 190.6001, angle = -4.360516, collision = h0036B0_0000
x = 112.2935, y = 27.15352, z = 189.5692, angle = -108.133, collision = h0036B0_0000
x = 113.3197, y = 27.29417, z = 189.578, angle = -48.96971, collision = h0036B0_0000
x = 114.0111, y = 27.24237, z = 188.605, angle = 31.55068, collision = h0036B0_0000
x = 113.3066, y = 27.27913, z = 187.5671, angle = 65.81486, collision = h0036B0_0000
x = 111.9737, y = 27.0655, z = 187.1866, angle = 102.7172, collision = h0036B0_0000
x = 110.5809, y = 27.26315, z = 187.5093, angle = 128.664, collision = h0036B0_0000
x = 109.45, y = 27.24239, z = 188.2259, angle = 134.9296, collision = h0036B0_0000
x = 109.6209, y = 27.2562, z = 189.2886, angle = -124.2613, collision = h0036B0_0000
x = 110.7673, y = 27.21571, z = 190.1238, angle = -144.5925, collision = h0036B0_0000
x = 110.9234, y = 27.9529, z = 192.9838, angle = -178.0644, collision = h0005B0_0000
x = 111.0408, y = 27.94501, z = 194.8776, angle = -170.9101, collision = h0005B0_0000
x = 112.9634, y = 27.93865, z = 209.2136, angle = -98.50577, collision = h0005B0_0000
x = 114.0135, y = 27.82495, z = 209.2542, angle = -80.25476, collision = h0005B0_0000
x = 110.8503, y = 27.95471, z = 232.2827, angle = 118.538, collision = h0005B0_0000
x = 110.5162, y = 27.9625, z = 239.5635, angle = 98.3782, collision = h0005B0_0000
x = 109.0589, y = 27.8, z = 239.7466, angle = 97.3878, collision = h0005B0_0000
x = 124.9457, y = 33.73079, z = 265.2503, angle = 179.2786, collision = h0006B0_0000
x = 122.9256, y = 36.25948, z = 271.3007, angle = 100.9078, collision = h0006B0_0000
x = 112.5118, y = 36.80021, z = 275.4076, angle = 90.66326, collision = h0007B0_0000
x = 99.01738, y = 38.28689, z = 268.8101, angle = 104.1196, collision = h0008B0_0000
x = 97.06329, y = 38.40068, z = 269.8798, angle = -137.0804, collision = h0008B0_0000
x = 97.88148, y = 38.49349, z = 270.7015, angle = -140.5899, collision = h0008B0_0000
x = 98.65045, y = 38.37521, z = 271.8438, angle = -173.0585, collision = h0008B0_0000
x = 115.8989, y = 48.2, z = 295.2181, angle = 131.064, collision = h0010B0_0000
x = 114.7669, y = 48.26702, z = 296.0085, angle = 81.79681, collision = h0010B0_0000
x = 110.7114, y = 48.33906, z = 294.6985, angle = 68.51003, collision = h0010B0_0000
x = 97.98235, y = 46.86385, z = 287.1761, angle = 135.5412, collision = h0008B0_0000
x = 95.1185, y = 38.14999, z = 287.5827, angle = 122.4259, collision = h0017B0_0000
x = 93.98765, y = 38.14999, z = 287.8123, angle = 95.31292, collision = h0017B0_0000
x = 92.85423, y = 38.14999, z = 287.9588, angle = 99.37848, collision = h0017B0_0000
x = 91.75846, y = 38.14999, z = 288.0866, angle = 96.27807, collision = h0017B0_0000
x = 90.60265, y = 38.14999, z = 288.2125, angle = 87.70145, collision = h0017B0_0000
x = 89.52193, y = 38.14999, z = 288.1753, angle = 87.61671, collision = h0017B0_0000
x = 88.53276, y = 38, z = 287.981, angle = 58.47671, collision = h0017B0_0000
x = 87.6775, y = 38, z = 287.2346, angle = 39.22336, collision = h0017B0_0000
x = 86.77637, y = 38, z = 286.6319, angle = 110.8123, collision = h0017B0_0000
x = 86.05087, y = 38, z = 287.5045, angle = -178.2479, collision = h0017B0_0000
x = 86.20656, y = 38, z = 288.5884, angle = -163.6515, collision = h0017B0_0000
