# Upper
x = -50.26352, y = -136.5, z = 50.94548, angle = -95, collision = h0001B0_0000
x = 88.17514, y = -143.394, z = 59.50603, angle = -54.88, collision = h0010B0_0000
x = 89.39061, y = -143.394, z = 58.64761, angle = -53.46866, collision = h0010B0_0000
x = 90.45975, y = -143.394, z = 57.86926, angle = -59.09225, collision = h0010B0_0000
x = 91.72739, y = -143.394, z = 57.09008, angle = -58.44323, collision = h0010B0_0000
x = 92.85364, y = -143.394, z = 56.39646, angle = -58.09729, collision = h0010B0_0000
x = 94.117, y = -143.2277, z = 55.61021, angle = -58.32045, collision = h0011B0_0000
x = 95.27594, y = -143.2074, z = 54.98126, angle = -72.59401, collision = h0011B0_0000
x = 96.68201, y = -143.2074, z = 54.49816, angle = -58.39449, collision = h0011B0_0000
x = 97.79613, y = -143.2074, z = 53.80537, angle = -55.95081, collision = h0011B0_0000
x = 98.62853, y = -143.2074, z = 53.10575, angle = -46.3716, collision = h0011B0_0000
x = 99.5766, y = -143.2074, z = 52.29709, angle = -34.04743, collision = h0011B0_0000
x = 100.4181, y = -143.2074, z = 51.29688, angle = 17.09203, collision = h0011B0_0000
x = 100.2824, y = -143.2023, z = 50.1101, angle = 35.11854, collision = h0011B0_0000
x = 99.05537, y = -143.2014, z = 49.49492, angle = 7.596209, collision = h0011B0_0000
x = 98.82354, y = -143.2016, z = 48.28444, angle = 33.66209, collision = h0011B0_0000
x = 99.8364, y = -143.2027, z = 47.81057, angle = -111.2592, collision = h0011B0_0000
x = 100.8393, y = -143.2034, z = 48.14196, angle = -105.793, collision = h0011B0_0000
x = 102.0436, y = -143.2043, z = 48.45296, angle = -90.73215, collision = h0011B0_0000
x = 102.2848, y = -143.205, z = 47.34404, angle = 41.23096, collision = h0011B0_0000
x = 101.3179, y = -143.2046, z = 46.60369, angle = 11.9336, collision = h0011B0_0000
x = 103.2267, y = -143.2054, z = 48.48911, angle = 156.0425, collision = h0011B0_0000
x = 102.6088, y = -143.2074, z = 49.40015, angle = 9.642656, collision = h0011B0_0000
x = 103.9718, y = -143.2074, z = 49.17085, angle = -127.7308, collision = h0011B0_0000
x = 103.8462, y = -143.2074, z = 50.26751, angle = 138.5671, collision = h0011B0_0000
x = 98.05997, y = -143.2074, z = 54.80796, angle = -162.9541, collision = h0011B0_0000
x = 98.404, y = -143.2074, z = 55.84243, angle = -161.2094, collision = h0011B0_0000
x = 100.8563, y = -143.2074, z = 52.49113, angle = -59.92329, collision = h0011B0_0000
x = 101.9934, y = -143.2074, z = 51.82094, angle = -53.4687, collision = h0011B0_0000
x = 105.0288, y = -143.2074, z = 49.5317, angle = -53.85313, collision = h0011B0_0000
x = 105.9966, y = -143.2074, z = 48.92855, angle = -70.77287, collision = h0011B0_0000
x = 106.9186, y = -143.2074, z = 48.43493, angle = -28.12441, collision = h0011B0_0000
x = 107.3261, y = -143.2074, z = 47.45011, angle = -25.97404, collision = h0011B0_0000
x = 107.9394, y = -143.2074, z = 48.67018, angle = -146.8548, collision = h0011B0_0000
x = 108.7275, y = -143.2074, z = 49.71682, angle = -142.7798, collision = h0011B0_0000
x = 109.4834, y = -143.2, z = 50.95412, angle = -165.3717, collision = h0011B0_0000
x = 109.7744, y = -143.2, z = 52.01427, angle = -165.3717, collision = h0011B0_0000
x = 109.3789, y = -143.4123, z = 53.03631, angle = -179.0155, collision = h0011B0_0000
x = 109.319, y = -143.9917, z = 54.01204, angle = -169.5155, collision = h0011B0_0000
x = 110.107, y = -144.5784, z = 54.80525, angle = -102.5268, collision = h0011B0_0000
x = 111.5236, y = -145.323, z = 54.7095, angle = -71.00265, collision = h0011B0_0000
x = 112.3405, y = -145.936, z = 53.86032, angle = -31.99882, collision = h0011B0_0000
x = 112.3945, y = -146.6165, z = 52.50311, angle = 38.69574, collision = h0011B0_0000
x = 111.706, y = -147.1671, z = 51.76734, angle = 80.46148, collision = h0011B0_0000
x = 110.66, y = -147.7341, z = 51.98251, angle = 111.1995, collision = h0011B0_0000
x = 109.8473, y = -148, z = 51.16705, angle = 27.74084, collision = h0011B0_0000
x = 109.2092, y = -148.2059, z = 50.2833, angle = 42.34995, collision = h0011B0_0000
x = 108.5079, y = -148.2059, z = 49.28861, angle = 30.20569, collision = h0011B0_0000
x = 107.9949, y = -148.2059, z = 48.41021, angle = 33.42335, collision = h0011B0_0000
x = 107.2401, y = -148.2059, z = 47.28046, angle = 33.3936, collision = h0011B0_0000
x = 106.657, y = -148.2009, z = 46.4334, angle = 32.05064, collision = h0011B0_0000
x = 105.9492, y = -148.1995, z = 45.31626, angle = 34.22056, collision = h0011B0_0000
x = 104.6894, y = -148.1995, z = 45.19865, angle = 127.9837, collision = h0011B0_0000
x = 105.025, y = -148.1995, z = 44.1482, angle = 5.89332, collision = h0011B0_0000
x = 104.9398, y = -148.1995, z = 43.10646, angle = 32.9312, collision = h0011B0_0000
x = 104.198, y = -148.1995, z = 41.96935, angle = 35.9442, collision = h0011B0_0000
x = 103.5771, y = -148.1995, z = 41.1265, angle = 40.24324, collision = h0011B0_0000
x = 102.7135, y = -148.1995, z = 40.07684, angle = 38.29087, collision = h0011B0_0000
x = 101.8439, y = -148.1995, z = 38.98459, angle = 39.4269, collision = h0011B0_0000
x = 100.9649, y = -148.1995, z = 37.92363, angle = 38.28236, collision = h0011B0_0000
x = 100.1315, y = -148.1995, z = 36.80647, angle = 33.04973, collision = h0011B0_0000
x = 99.56992, y = -148.1995, z = 35.94453, angle = 19.35203, collision = h0011B0_0000
x = 99.06828, y = -148.1995, z = 34.66747, angle = 15.71316, collision = h0011B0_0000
x = 98.68783, y = -148.1995, z = 33.34371, angle = 6.131474, collision = h0011B0_0000
x = 98.39265, y = -148.1995, z = 31.98853, angle = 22.95463, collision = h0011B0_0000
x = 99.27521, y = -148.1995, z = 31.4583, angle = -89.72076, collision = h0011B0_0000
x = 99.83647, y = -148.1995, z = 33.62518, angle = -130.5854, collision = h0011B0_0000
x = 100.8851, y = -148.1995, z = 34.65869, angle = -136.7997, collision = h0011B0_0000
x = 101.5259, y = -148.1995, z = 35.779, angle = -160.8045, collision = h0011B0_0000
x = 102.1219, y = -148.1995, z = 37.1357, angle = -145.9052, collision = h0011B0_0000
x = 102.8606, y = -148.1995, z = 38.23293, angle = -146.2191, collision = h0011B0_0000
x = 103.6649, y = -148.1995, z = 39.48393, angle = -152.7186, collision = h0011B0_0000
x = 105.2522, y = -148.1995, z = 46.17964, angle = 86.52966, collision = h0011B0_0000
x = 104.0225, y = -148.1995, z = 46.06671, angle = 59.88106, collision = h0011B0_0000
x = 102.8212, y = -148.1995, z = 45.91109, angle = 169.0343, collision = h0011B0_0000
x = 102.5449, y = -148.1995, z = 47.16319, angle = 168.4336, collision = h0011B0_0000
x = 101.8849, y = -148.1995, z = 48.15104, angle = 55.97541, collision = h0011B0_0000
x = 100.88, y = -148.1995, z = 47.4725, angle = 98.76057, collision = h0011B0_0000
x = 99.82999, y = -148.1995, z = 47.93736, angle = 159.0005, collision = h0011B0_0000
x = 99.33217, y = -148.1995, z = 49.15992, angle = 144.5235, collision = h0011B0_0000
x = 98.30235, y = -148.1995, z = 49.91936, angle = 58.66599, collision = h0011B0_0000
x = 97.0862, y = -148.1995, z = 49.60998, angle = 139.2062, collision = h0011B0_0000
x = 96.16772, y = -148.1995, z = 50.75098, angle = 160.7821, collision = h0011B0_0000
x = 95.6842, y = -148.1995, z = 51.75914, angle = -171.7153, collision = h0011B0_0000
x = 94.95147, y = -148.1995, z = 50.96478, angle = 3.070498, collision = h0011B0_0000
x = 94.84669, y = -148.1995, z = 49.64724, angle = 22.61758, collision = h0011B0_0000
x = 94.45635, y = -148.1995, z = 48.55666, angle = 22.61758, collision = h0011B0_0000
x = 93.45769, y = -148.1995, z = 48.71741, angle = -8.368115, collision = h0011B0_0000
x = 93.65095, y = -148.1995, z = 47.31035, angle = -11.56861, collision = h0011B0_0000
x = 93.68429, y = -148.1995, z = 46.01617, angle = 68.21081, collision = h0011B0_0000
x = 92.48427, y = -148.1995, z = 45.54941, angle = 68.27021, collision = h0011B0_0000
x = 91.51458, y = -148.1995, z = 45.22772, angle = 8.411268, collision = h0011B0_0000
x = 91.44745, y = -148.1995, z = 43.95649, angle = -36.70175, collision = h0011B0_0000
x = 91.61129, y = -148.1995, z = 42.88118, angle = 20.80003, collision = h0011B0_0000
x = 91.21651, y = -148.1995, z = 41.93666, angle = 27.47795, collision = h0011B0_0000
x = 90.78027, y = -148.1995, z = 41.01784, angle = 35.15454, collision = h0011B0_0000
x = 89.36116, y = -148.1997, z = 41.26512, angle = 17.17002, collision = h0011B0_0000
x = 88.7882, y = -148.1997, z = 40.18943, angle = -9.241068, collision = h0011B0_0000
x = 89.17963, y = -148.1996, z = 38.88697, angle = -38.59482, collision = h0011B0_0000
x = 89.94493, y = -148.1996, z = 38.04811, angle = 75.30536, collision = h0011B0_0000
x = 88.84454, y = -148.1996, z = 37.62688, angle = 77.786, collision = h0011B0_0000
x = 87.81556, y = -148.1995, z = 37.36087, angle = 46.89116, collision = h0011B0_0000
x = 86.94061, y = -148.1995, z = 36.47565, angle = 25.13918, collision = h0011B0_0000
x = 86.23582, y = -148.1995, z = 35.71031, angle = 78.88383, collision = h0011B0_0000
x = 85.11983, y = -148.1995, z = 35.7911, angle = 99.57778, collision = h0011B0_0000
x = 84.11895, y = -148.1995, z = 36.2938, angle = 122.7225, collision = h0011B0_0000
x = 83.17252, y = -148.1995, z = 36.91455, angle = 123.3801, collision = h0011B0_0000
x = 81.96382, y = -148.1995, z = 37.77944, angle = 135.6205, collision = h0011B0_0000
x = 80.93395, y = -148.1996, z = 38.52174, angle = 79.41841, collision = h0011B0_0000
x = 79.4771, y = -148.1996, z = 38.54311, angle = 124.3477, collision = h0011B0_0000
x = 78.48027, y = -148.1996, z = 39.32954, angle = 136.3219, collision = h0011B0_0000
x = 77.8913, y = -148.1996, z = 38.07174, angle = 26.18188, collision = h0011B0_0000
x = 77.24065, y = -148.1996, z = 36.73352, angle = 27.68732, collision = h0011B0_0000
x = 76.60713, y = -148.1996, z = 35.57462, angle = 31.24499, collision = h0011B0_0000
x = 76.0097, y = -148.1996, z = 34.59489, angle = 31.24499, collision = h0011B0_0000
x = 75.46225, y = -148.1996, z = 33.64925, angle = 26.04038, collision = h0011B0_0000
x = 74.68533, y = -148.1996, z = 32.79049, angle = 26.48997, collision = h0011B0_0000
x = 78.25246, y = -148.1996, z = 37.10727, angle = -132.1614, collision = h0011B0_0000
x = 88.22023, y = -148.1999, z = 41.85802, angle = 112.4862, collision = h0011B0_0000
x = 86.33952, y = -148.1128, z = 42.94302, angle = 120, collision = h0012B0_0000
x = 85.62179, y = -147.598, z = 43.41832, angle = 123.6247, collision = h0012B0_0000
x = 84.82652, y = -147.026, z = 43.9502, angle = 123.4483, collision = h0012B0_0000
x = 84.03898, y = -146.4588, z = 44.47921, angle = 123.8217, collision = h0012B0_0000
x = 83.23798, y = -145.8846, z = 45.00867, angle = 122.8617, collision = h0012B0_0000
x = 82.3317, y = -145.2501, z = 45.55675, angle = 120.3826, collision = h0012B0_0000
x = 81.48222, y = -144.6606, z = 46.05321, angle = 120.4307, collision = h0012B0_0000
x = 80.62682, y = -144.0662, z = 46.55561, angle = 120.4793, collision = h0012B0_0000
x = 79.4876, y = -143.2737, z = 47.22773, angle = 120.5523, collision = h0012B0_0000
x = 78.63327, y = -142.6794, z = 47.73196, angle = 120.1637, collision = h0012B0_0000
x = 77.54179, y = -142.4, z = 48.37723, angle = 121.2751, collision = h0012B0_0000
x = 76.46363, y = -142.4001, z = 48.79613, angle = 84.14748, collision = h0012B0_0000
x = 75.18959, y = -142.4, z = 48.62435, angle = 37.79649, collision = h0012B0_0000
x = 73.9065, y = -142.4, z = 48.07886, angle = 91.02329, collision = h0012B0_0000
x = 72.84911, y = -142.4, z = 48.11568, angle = 143.1982, collision = h0012B0_0000
x = 72.17902, y = -142.4, z = 48.93521, angle = 140.5357, collision = h0012B0_0000
x = 71.28495, y = -142.4, z = 49.90025, angle = 133.0866, collision = h0012B0_0000
x = 70.31908, y = -142.4, z = 50.80394, angle = 133.2293, collision = h0012B0_0000
x = 69.23516, y = -142.4, z = 51.82343, angle = 133.3744, collision = h0012B0_0000
x = 68.15382, y = -142.4, z = 52.84566, angle = 133.5194, collision = h0012B0_0000
x = 67.1948, y = -142.4, z = 53.75663, angle = 134.4325, collision = h0012B0_0000
x = 66.2126, y = -142.4, z = 54.85419, angle = 145.968, collision = h0012B0_0000
x = 75.12427, y = -142.45, z = 49.68533, angle = 134.9998, collision = h0012B0_0000
x = 75.17347, y = -174, z = 52.35042, angle = 168.9177, collision = h0033B0_0000
x = 65.29732, y = -150, z = 39.2565, angle = -123.8888, collision = h0012B0_0000
x = 66.10975, y = -150, z = 39.86828, angle = -96.16007, collision = h0012B0_0000
x = 64.54608, y = -150, z = 38.5056, angle = 44.55589, collision = h0012B0_0000
x = 63.70834, y = -150, z = 37.66757, angle = 43.90533, collision = h0012B0_0000
x = 62.90046, y = -150, z = 36.87185, angle = 47.36751, collision = h0012B0_0000
x = 61.93258, y = -150, z = 35.98163, angle = 41.22123, collision = h0012B0_0000
x = 60.9287, y = -150, z = 34.88778, angle = 46.70703, collision = h0012B0_0000
x = 60.03637, y = -150, z = 33.92439, angle = -24.87074, collision = h0012B0_0000
x = 60.85762, y = -150, z = 32.84245, angle = -66.64391, collision = h0012B0_0000
x = 61.47361, y = -150, z = 32.02232, angle = 26.31039, collision = h0012B0_0000
x = 61.51041, y = -150, z = 30.87136, angle = 48.95038, collision = h0012B0_0000
x = 60.76768, y = -150, z = 30.18375, angle = 57.19087, collision = h0012B0_0000
x = 59.50471, y = -150, z = 29.39828, angle = 47.92595, collision = h0012B0_0000
x = 59.06929, y = -150, z = 28.43468, angle = 24.37498, collision = h0012B0_0000
x = 59.51972, y = -150, z = 27.18188, angle = -47.21184, collision = h0012B0_0000
x = 60.45471, y = -150, z = 26.26119, angle = -30.8284, collision = h0012B0_0000
x = 61.457, y = -150, z = 25.24479, angle = -24.7447, collision = h0012B0_0000
x = 62.33822, y = -150, z = 24.36366, angle = -37.22799, collision = h0012B0_0000
x = 63.37714, y = -150, z = 23.32486, angle = -26.47697, collision = h0012B0_0000
x = 64.27806, y = -150, z = 22.42403, angle = -26.63106, collision = h0012B0_0000
x = 65.28887, y = -150, z = 21.41334, angle = -43.91693, collision = h0012B0_0000
x = 66.22196, y = -150, z = 20.48035, angle = -32.49887, collision = h0012B0_0000
x = 67.23516, y = -150, z = 19.46486, angle = -21.84815, collision = h0012B0_0000
x = 59.05177, y = -150, z = 30.42179, angle = 120.9625, collision = h0012B0_0000
x = 57.99535, y = -150, z = 30.85803, angle = 105.5767, collision = h0012B0_0000
x = 56.57807, y = -150, z = 30.85535, angle = 59.61103, collision = h0012B0_0000
x = 55.3153, y = -150, z = 31.27668, angle = 105.9263, collision = h0012B0_0000
x = 54.12556, y = -150, z = 30.94567, angle = 36.59025, collision = h0012B0_0000
x = 53.25438, y = -150, z = 30.01843, angle = 100.6079, collision = h0012B0_0000
x = 52.24852, y = -150, z = 30.29904, angle = 121.3112, collision = h0012B0_0000
x = 51.36615, y = -150, z = 30.94781, angle = 143.4901, collision = h0012B0_0000
x = 50.47006, y = -150, z = 31.82504, angle = 142.0193, collision = h0012B0_0000
x = 49.5942, y = -150, z = 32.70091, angle = 140.6154, collision = h0012B0_0000
x = 48.56997, y = -150, z = 33.76702, angle = 142.2825, collision = h0012B0_0000
x = 48.30481, y = -150, z = 34.79308, angle = -121.9717, collision = h0012B0_0000
x = 49.14677, y = -150, z = 35.36873, angle = -150.7211, collision = h0012B0_0000
x = 50.09431, y = -150, z = 35.70402, angle = -69.81434, collision = h0012B0_0000
x = 51.11929, y = -150, z = 35.59486, angle = -53.85014, collision = h0012B0_0000
x = 51.83078, y = -150, z = 34.84109, angle = 12.95848, collision = h0012B0_0000
x = 51.67246, y = -150, z = 33.77157, angle = 18.428, collision = h0012B0_0000
x = 51.22787, y = -150, z = 32.72324, angle = 27.87617, collision = h0012B0_0000
x = 62.91654, y = -150, z = 35.7819, angle = -68.5743, collision = h0012B0_0000
x = 63.99722, y = -150, z = 35.77079, angle = -68.5743, collision = h0012B0_0000
x = 64.85229, y = -150, z = 35.13587, angle = -94.61108, collision = h0012B0_0000
x = 65.83797, y = -150, z = 35.41091, angle = -153.2567, collision = h0012B0_0000
x = 66.58105, y = -150, z = 36.15624, angle = -156.1729, collision = h0012B0_0000
x = 67.36584, y = -150, z = 36.93913, angle = -160.8101, collision = h0012B0_0000
x = 67.9039, y = -150, z = 37.87284, angle = 171.1558, collision = h0012B0_0000
x = 67.73672, y = -150, z = 38.88861, angle = 173.8464, collision = h0012B0_0000
x = 67.62569, y = -150, z = 40.00015, angle = 171.245, collision = h0012B0_0000
x = 67.01799, y = -150, z = 40.82656, angle = -148.7986, collision = h0012B0_0000
x = 67.74537, y = -150, z = 41.70444, angle = -106.6955, collision = h0012B0_0000
x = 68.74564, y = -150, z = 41.8069, angle = -53.17265, collision = h0012B0_0000
x = 69.64791, y = -150, z = 41.35519, angle = -131.7433, collision = h0012B0_0000
x = 70.64642, y = -150, z = 41.64571, angle = -113.1444, collision = h0012B0_0000
x = 71.52524, y = -150, z = 41.14621, angle = -157.6083, collision = h0012B0_0000
x = 72.35391, y = -150, z = 41.92584, angle = -161.1783, collision = h0012B0_0000
x = 72.63229, y = -150, z = 42.94447, angle = 176.1537, collision = h0012B0_0000
x = 73.08346, y = -150, z = 43.87549, angle = -113.5577, collision = h0012B0_0000
x = 74.15237, y = -150, z = 43.71759, angle = -140.7338, collision = h0012B0_0000
x = 75.05209, y = -150, z = 44.62773, angle = -149.6655, collision = h0012B0_0000
x = 76.07545, y = -150, z = 45.65107, angle = -154.9405, collision = h0012B0_0000
x = 76.96484, y = -150, z = 46.54044, angle = -132.7794, collision = h0012B0_0000
x = 78.04231, y = -150, z = 45.9709, angle = -78.54857, collision = h0012B0_0000
x = 79.12168, y = -150, z = 45.34597, angle = -79.4678, collision = h0012B0_0000
x = 80.2625, y = -150, z = 44.68547, angle = -95.11102, collision = h0012B0_0000
x = 81.19939, y = -150, z = 44.14303, angle = -93.22326, collision = h0012B0_0000
x = 82.27938, y = -150, z = 43.51773, angle = -95.10694, collision = h0012B0_0000
x = 83.25542, y = -150, z = 42.95262, angle = -80.76008, collision = h0012B0_0000
x = 84.43906, y = -150, z = 42.26732, angle = -136.9111, collision = h0012B0_0000
x = 72.24854, y = -150, z = 44.43671, angle = 175.2291, collision = h0012B0_0000
x = 71.69347, y = -150, z = 45.36855, angle = -158.3244, collision = h0012B0_0000
x = 72.13341, y = -150, z = 46.35295, angle = -167.3815, collision = h0012B0_0000
x = 71.75385, y = -150, z = 47.336, angle = 149.0667, collision = h0012B0_0000
x = 71.94707, y = -150, z = 48.32829, angle = -151.4106, collision = h0012B0_0000
x = 72.2215, y = -150, z = 49.41754, angle = -175.2814, collision = h0012B0_0000
x = 72.52879, y = -150, z = 50.4535, angle = 170.3674, collision = h0012B0_0000
x = 71.99254, y = -150, z = 51.47811, angle = 114.6046, collision = h0012B0_0000
x = 70.82579, y = -150, z = 52.29263, angle = 126.9394, collision = h0012B0_0000
x = 70.2159, y = -150, z = 53.22029, angle = 117.972, collision = h0012B0_0000
x = 69.25893, y = -150, z = 54.21172, angle = 117.6031, collision = h0012B0_0000
x = 68.27955, y = -150, z = 54.7489, angle = 117.4788, collision = h0012B0_0000
x = 67.25668, y = -150, z = 54.50294, angle = 77.47869, collision = h0012B0_0000
x = 67.9346, y = -150, z = 53.55593, angle = -67.56967, collision = h0012B0_0000
x = 69.99205, y = -150, z = 51.61863, angle = 2.180948, collision = h0012B0_0000
x = 69.80005, y = -150, z = 50.55458, angle = -1.614684, collision = h0012B0_0000
x = 69.59088, y = -150, z = 49.49265, angle = -63.2408, collision = h0012B0_0000
x = 70.38612, y = -150, z = 48.72963, angle = -89.5946, collision = h0012B0_0000
x = 73.3062, y = -150, z = 49.44305, angle = -106.8502, collision = h0012B0_0000
x = 74.29153, y = -142.4, z = 47.0127, angle = 24.64179, collision = h0012B0_0000
x = 73.69022, y = -142.4, z = 45.91959, angle = 46.45721, collision = h0012B0_0000
x = 72.74934, y = -142.4, z = 44.99107, angle = 36.68639, collision = h0012B0_0000
x = 71.85757, y = -142.4, z = 43.79986, angle = 36.53785, collision = h0012B0_0000
x = 71.06889, y = -142.4, z = 42.73801, angle = 41.67525, collision = h0012B0_0000
x = 70.08794, y = -142.4, z = 41.6226, angle = 44.02788, collision = h0012B0_0000
x = 69.16834, y = -142.4, z = 40.67186, angle = 44.19766, collision = h0012B0_0000
x = 68.13017, y = -142.4, z = 39.60582, angle = 44.58354, collision = h0012B0_0000
x = 67.20127, y = -142.4, z = 38.66417, angle = 44.9851, collision = h0012B0_0000
x = 66.14836, y = -142.4, z = 37.61266, angle = 45.45844, collision = h0012B0_0000
x = 65.20518, y = -142.4, z = 36.68532, angle = 45.88544, collision = h0012B0_0000
x = 64.13587, y = -142.4, z = 35.6505, angle = 46.36814, collision = h0012B0_0000
x = 63.17808, y = -142.4, z = 34.73825, angle = 46.79894, collision = h0012B0_0000
x = 62.10508, y = -142.4, z = 33.70746, angle = 43.58023, collision = h0012B0_0000
x = 61.07069, y = -142.4, z = 32.63776, angle = 43.65962, collision = h0012B0_0000
x = 60.15654, y = -142.4, z = 31.6818, angle = 46.23134, collision = h0012B0_0000
x = 59.0632, y = -142.4, z = 30.67434, angle = 53.84917, collision = h0012B0_0000
x = 58.02713, y = -142.4, z = 29.85315, angle = 49.62161, collision = h0012B0_0000
x = 56.95473, y = -142.4, z = 28.8259, angle = 57.29892, collision = h0012B0_0000
x = 56.01817, y = -142.4, z = 28.453, angle = 127.4657, collision = h0012B0_0000
x = 55.22746, y = -142.4, z = 29.13392, angle = 134.5349, collision = h0012B0_0000
x = 54.16608, y = -142.4, z = 30.17688, angle = 133.3772, collision = h0012B0_0000
x = 53.20704, y = -142.4, z = 31.08779, angle = 136.1417, collision = h0012B0_0000
x = 52.16557, y = -142.4, z = 32.15053, angle = 134.2838, collision = h0012B0_0000
x = 51.24087, y = -142.4, z = 33.09613, angle = 137.3523, collision = h0012B0_0000
x = 50.55954, y = -142.4, z = 33.86153, angle = 147.7842, collision = h0012B0_0000
x = 49.86411, y = -142.4, z = 34.63483, angle = 158.9045, collision = h0012B0_0000
x = 56.81922, y = -142.4, z = 27.71123, angle = -39.08646, collision = h0012B0_0000
x = 57.51377, y = -142.4, z = 26.93118, angle = -42.55865, collision = h0012B0_0000
x = 58.30938, y = -142.4, z = 26.04724, angle = -42.88006, collision = h0012B0_0000
x = 59.18845, y = -142.5204, z = 25.09305, angle = -42.11805, collision = h0012B0_0000
x = 60.0747, y = -143.2753, z = 24.11117, angle = -46.35553, collision = h0012B0_0000
x = 60.76857, y = -143.8414, z = 23.404, angle = -48.01876, collision = h0012B0_0000
x = 61.7523, y = -144.5961, z = 22.5198, angle = -48.80276, collision = h0012B0_0000
x = 62.4959, y = -145.1619, z = 21.86317, angle = -48.76686, collision = h0012B0_0000
x = 63.24155, y = -145.7276, z = 21.20884, angle = -49.22391, collision = h0012B0_0000
x = 64.24635, y = -146.4811, z = 20.34867, angle = -49.87551, collision = h0012B0_0000
x = 65.00211, y = -147.0461, z = 19.70608, angle = -47.32891, collision = h0012B0_0000
x = 65.96686, y = -147.8015, z = 18.80152, angle = -43.88847, collision = h0012B0_0000
x = 66.97185, y = -148.0174, z = 17.70555, angle = -32.38102, collision = h0012B0_0000
x = 67.64924, y = -148.0165, z = 16.57341, angle = -19.42448, collision = h0020B0_0000
x = 67.98028, y = -148.0004, z = 15.61918, angle = -14.742, collision = h0020B0_0000
x = 68.11915, y = -148.0004, z = 14.51077, angle = 4.808139, collision = h0020B0_0000
x = 67.94611, y = -148.0002, z = 13.0596, angle = 10.41787, collision = h0020B0_0000
x = 67.78657, y = -148, z = 11.67662, angle = -0.4201249, collision = h0020B0_0000
x = 67.80866, y = -147.9998, z = 10.33573, angle = -3.805495, collision = h0020B0_0000
x = 67.91592, y = -147.826, z = 8.868728, angle = -3.731428, collision = h0020B0_0000
x = 67.97346, y = -148, z = 7.539225, angle = 2.043893, collision = h0020B0_0000
x = 67.92718, y = -148, z = 6.047379, angle = 4.869856, collision = h0020B0_0000
x = 67.84514, y = -148, z = 4.727698, angle = -1.203329, collision = h0020B0_0000
x = 67.88684, y = -148, z = 3.529823, angle = -10.88545, collision = h0020B0_0000
x = 67.86318, y = -148, z = 2.334398, angle = 5.122423, collision = h0020B0_0000
x = 66.93577, y = -147.266, z = 8.947281, angle = 69.89395, collision = h0020B0_0000
x = 65.76844, y = -147, z = 8.374314, angle = 83.21795, collision = h0022B0_0000
x = 64.88718, y = -147, z = 7.704906, angle = 12.46387, collision = h0022B0_0000
x = 64.77087, y = -147, z = 6.582983, angle = -14.74597, collision = h0022B0_0000
x = 65.13422, y = -147, z = 5.317565, angle = -29.43975, collision = h0022B0_0000
x = 65.54845, y = -147, z = 3.960876, angle = 31.50456, collision = h0022B0_0000
x = 64.74983, y = -147, z = 3.253528, angle = 143.487, collision = h0022B0_0000
x = 64.45, y = -147, z = 4.53178, angle = -171.7149, collision = h0022B0_0000
x = 65.54432, y = -147, z = 9.708134, angle = -175.8038, collision = h0022B0_0000
x = 64.42672, y = -147, z = 9.552704, angle = 21.32164, collision = h0022B0_0000
x = 63.38568, y = -147, z = 9.963776, angle = 110.9771, collision = h0022B0_0000
x = 61.98432, y = -147, z = 10.37419, angle = 93.33868, collision = h0022B0_0000
x = 60.73892, y = -147, z = 10.65466, angle = 101.351, collision = h0022B0_0000
x = 59.51377, y = -147, z = 10.52882, angle = -14.98856, collision = h0022B0_0000
x = 59.8974, y = -147, z = 9.385143, angle = -67.17213, collision = h0022B0_0000
x = 61.25774, y = -147, z = 8.803341, angle = -7.721652, collision = h0022B0_0000
x = 61.32205, y = -147, z = 7.661829, angle = 108.3713, collision = h0022B0_0000
x = 60.10648, y = -147, z = 8.260415, angle = 161.7598, collision = h0022B0_0000
x = 58.42048, y = -147, z = 10.66766, angle = 51.27158, collision = h0022B0_0000
x = 57.43094, y = -147, z = 9.800926, angle = 30.33771, collision = h0022B0_0000
x = 57.21962, y = -147, z = 8.509737, angle = -82.30608, collision = h0022B0_0000
x = 58.31364, y = -147, z = 8.311554, angle = -107.9271, collision = h0022B0_0000
x = 60.04874, y = -147, z = 7.224018, angle = 73.06311, collision = h0022B0_0000
x = 59.1035, y = -147, z = 6.824509, angle = 70.69021, collision = h0022B0_0000
x = 57.89072, y = -147, z = 6.352519, angle = 62.53363, collision = h0022B0_0000
x = 56.54758, y = -147, z = 5.920629, angle = 41.39156, collision = h0022B0_0000
x = 57.14767, y = -147, z = 5.028901, angle = -71.33501, collision = h0022B0_0000
x = 56.86042, y = -146.97, z = 3.902863, angle = 33.91851, collision = h0022B0_0000
x = 56.12394, y = -146.92, z = 2.664598, angle = 3.749501, collision = h0022B0_0000
x = 56.0829, y = -146.92, z = 1.332869, angle = -62.35922, collision = h0022B0_0000
x = 57.1259, y = -146.9329, z = 0.7744516, angle = -105.8353, collision = h0022B0_0000
x = 58.15771, y = -146.92, z = 1.03617, angle = -115.864, collision = h0022B0_0000
x = 59.34315, y = -146.9278, z = 1.62759, angle = -140.1149, collision = h0022B0_0000
x = 60.03224, y = -146.92, z = 2.388231, angle = -115.2455, collision = h0022B0_0000
x = 61.20327, y = -146.92, z = 3.01695, angle = -104.6179, collision = h0022B0_0000
x = 62.45273, y = -146.9699, z = 2.957769, angle = 9.092361, collision = h0022B0_0000
x = 62.17312, y = -146.944, z = 1.573834, angle = 67.89416, collision = h0022B0_0000
