x = -19.71554, y = 48.91821, z = 954.4495, angle = 20, collision = h0100B0_0000
x = -5.701215, y = 58.11213, z = 869.2489, angle = 95.69321, collision = h0013B0
x = -7.084547, y = 58.11219, z = 869.1466, angle = 49.08751, collision = h0013B0
x = -4.953569, y = 58.11206, z = 868.3822, angle = -45.77787, collision = h0013B0
x = -4.279928, y = 58.11198, z = 866.8976, angle = 88.48273, collision = h0013B0
x = -5.650679, y = 58.11204, z = 866.9207, angle = 111.9754, collision = h0013B0
x = -7.005504, y = 58.11211, z = 867.1081, angle = 16.73114, collision = h0013B0
x = -6.903763, y = 58.11207, z = 865.9086, angle = -64.54871, collision = h0013B0
x = -5.624875, y = 58.11198, z = 865.2695, angle = -67.21017, collision = h0013B0
x = -4.459638, y = 58.11192, z = 864.7705, angle = -47.46289, collision = h0013B0
x = -3.597861, y = 58.11188, z = 863.7153, angle = -2.489454, collision = h0013B0
x = -3.561285, y = 58.11184, z = 862.2973, angle = 31.2971, collision = h0013B0
x = -4.51406, y = 58.11182, z = 861.5913, angle = 134.9591, collision = h0013B0
x = -5.559161, y = 58.11189, z = 862.5632, angle = 163.866, collision = h0013B0
x = -5.887609, y = 58.11195, z = 863.9215, angle = -177.0447, collision = h0013B0
x = -7.212537, y = 58.11204, z = 864.8199, angle = -0.4033773, collision = h0013B0
x = -7.208424, y = 58.11199, z = 863.3893, angle = 28.46091, collision = h0013B0
x = -7.296683, y = 58.11195, z = 862.1676, angle = 0.8995496, collision = h0013B0
x = -7.173112, y = 58.1119, z = 860.958, angle = -113.2016, collision = h0013B0
x = -6.122682, y = 58.11188, z = 861.6872, angle = -156.4667, collision = h0013B0
x = -3.264432, y = 58.11194, z = 865.2896, angle = -146.4548, collision = h0013B0
x = 4.9444, y = 58.41198, z = 864.1447, angle = -20.66332, collision = h0013B0
x = 6.634749, y = 58.41197, z = 861.2335, angle = -113.7472, collision = h0013B0
x = 5.351001, y = 76.02041, z = 879.2604, angle = 34.6726, collision = h0010B0
x = 4.012723, y = 70.87752, z = 871.538, angle = -37.85205, collision = h0011B0
x = 4.796881, y = 70.87761, z = 870.4443, angle = -42.04425, collision = h0011B0
x = -1.464208, y = 73.0388, z = 859.5125, angle = 87.85692, collision = h0045B0
x = -2.895468, y = 73.03764, z = 859.4473, angle = 85.57667, collision = h0045B0
x = -4.285584, y = 73.03762, z = 859.1608, angle = 67.95977, collision = h0045B0
x = -5.611129, y = 73.0379, z = 858.6166, angle = 80.28296, collision = h0045B0
x = -6.952788, y = 73.03985, z = 858.767, angle = 119.2851, collision = h0045B0
x = -8.241116, y = 73.03918, z = 859.3797, angle = 94.66016, collision = h0045B0
x = -9.470022, y = 73.03914, z = 859.3694, angle = 69.0382, collision = h0045B0
x = -10.84592, y = 73.03983, z = 859.0829, angle = 108.5622, collision = h0045B0
x = -11.97616, y = 73.12656, z = 859.2814, angle = 164.8952, collision = h0014B0
x = -12.42944, y = 73.14564, z = 860.2321, angle = 115.5154, collision = h0014B0
x = -13.29233, y = 73.05096, z = 860.8117, angle = 129.1394, collision = h0114B0
x = -13.6744, y = 73.05031, z = 861.7432, angle = -164.5478, collision = h0114B0
x = -13.74791, y = 73.05136, z = 862.8152, angle = 162.6079, collision = h0114B0
x = -14.03748, y = 73.05338, z = 864.1537, angle = 146.9196, collision = h0114B0
x = -14.86742, y = 73.05332, z = 865.4671, angle = 126.9017, collision = h0114B0
x = -15.85937, y = 73.05248, z = 866.2253, angle = 129.7908, collision = h0114B0
x = -16.67509, y = 73.05201, z = 866.9106, angle = 131.4409, collision = h0114B0
x = -17.63157, y = 73.05318, z = 867.7564, angle = 104.2373, collision = h0114B0
x = -18.63118, y = 73.05212, z = 868.0959, angle = 103.1523, collision = h0114B0
x = -19.92547, y = 73.05121, z = 868.3559, angle = 95.25386, collision = h0114B0
x = -21.27908, y = 73.05032, z = 868.5357, angle = 98.14004, collision = h0114B0
x = -22.28438, y = 73.05488, z = 868.6877, angle = 88.20347, collision = h0114B0
x = -23.4424, y = 73.05925, z = 868.6063, angle = 74.22942, collision = h0114B0
x = -24.78779, y = 73.05511, z = 868.5859, angle = 85.73286, collision = h0114B0
x = -25.81682, y = 73.05269, z = 868.1753, angle = 37.20866, collision = h0114B0
x = -13.01597, y = 73.17031, z = 858.6183, angle = 12.88264, collision = h0014B0
x = -13.22462, y = 73.10167, z = 857.303, angle = 2.467515, collision = h0014B0
x = -13.24479, y = 73.1031, z = 856.1481, angle = 22.99076, collision = h0014B0
x = -13.86321, y = 72.9457, z = 855.09, angle = 31.00764, collision = h0014B0
x = -14.47826, y = 72.26104, z = 853.8113, angle = 8.024052, collision = h0014B0
x = -14.82009, y = 71.68542, z = 852.4464, angle = 63.26808, collision = h0014B0
x = -16.09327, y = 71.12473, z = 851.9084, angle = 82.08028, collision = h0014B0
x = -17.23067, y = 70.5556, z = 851.3271, angle = 48.71876, collision = h0014B0
x = -18.36965, y = 69.89413, z = 850.4735, angle = 74.42151, collision = h0014B0
x = -19.59211, y = 69.48111, z = 850.1064, angle = 79.2672, collision = h0014B0
x = -20.93162, y = 69.44868, z = 849.8461, angle = 82.88937, collision = h0014B0
x = -22.08556, y = 69.44668, z = 849.183, angle = 19.54486, collision = h0014B0
x = -22.48703, y = 69.44147, z = 847.9785, angle = 37.40979, collision = h0034B0
x = -23.03185, y = 69.20106, z = 847.0236, angle = 47.83728, collision = h0034B0
x = -22.49165, y = 69.20266, z = 845.9963, angle = -72.02831, collision = h0034B0
x = -21.14511, y = 69.20408, z = 845.7995, angle = -137.9935, collision = h0034B0
x = -20.25654, y = 69.19427, z = 846.8977, angle = -138.3649, collision = h0034B0
x = -19.20522, y = 68.93691, z = 847.6655, angle = -56.63811, collision = h0034B0
x = -18.17466, y = 68.44408, z = 846.7797, angle = -73.42964, collision = h0034B0
x = -16.98452, y = 68.116, z = 846.6669, angle = -160.2997, collision = h0034B0
x = -16.56411, y = 68.116, z = 847.8328, angle = -164.3022, collision = h0034B0
x = -16.00121, y = 68.116, z = 849.0865, angle = -136.9784, collision = h0034B0
x = -14.98042, y = 68.116, z = 850.0885, angle = -127.1399, collision = h0034B0
x = -13.85568, y = 68.116, z = 850.9748, angle = -175.9349, collision = h0034B0
x = -13.36693, y = 68.116, z = 852.0858, angle = -148.5146, collision = h0034B0
x = -12.67329, y = 68.116, z = 853.3141, angle = -159.2202, collision = h0034B0
x = -12.17272, y = 68.116, z = 854.1827, angle = -163.7249, collision = h0034B0
x = -11.62069, y = 68.116, z = 855.2744, angle = -168.2048, collision = h0034B0
x = -11.58444, y = 68.116, z = 853.172, angle = -9.470125, collision = h0034B0
x = -11.6108, y = 68.116, z = 851.7545, angle = 11.13001, collision = h0034B0
x = -12.24789, y = 68.116, z = 850.6193, angle = 118.3962, collision = h0034B0
x = -13.95946, y = 68.116, z = 849.8784, angle = -58.02362, collision = h0034B0
x = -12.91619, y = 68.116, z = 849.1497, angle = -41.47205, collision = h0034B0
x = -12.0046, y = 68.116, z = 848.0499, angle = -38.16446, collision = h0034B0
x = -11.59868, y = 68.116, z = 846.9988, angle = -13.96655, collision = h0034B0
x = -11.68507, y = 68.116, z = 845.6056, angle = 36.558, collision = h0034B0
x = -12.31216, y = 68.116, z = 844.3394, angle = 23.02305, collision = h0034B0
x = -13.1923, y = 68.116, z = 843.5541, angle = 153.2673, collision = h0034B0
x = -13.79613, y = 68.116, z = 844.6367, angle = -179.7678, collision = h0034B0
x = -14.74878, y = 68.116, z = 845.3087, angle = 69.02806, collision = h0034B0
x = -16.10363, y = 68.116, z = 845.0912, angle = 167.0628, collision = h0034B0
x = -17.86274, y = 68.116, z = 845.7795, angle = -8.755565, collision = h0034B0
x = -17.76853, y = 68.116, z = 844.5071, angle = 38.27182, collision = h0034B0
x = -18.59752, y = 68.116, z = 843.3668, angle = -28.38052, collision = h0034B0
x = -17.83683, y = 68.116, z = 842.5636, angle = -108.4943, collision = h0034B0
x = -16.58162, y = 68.116, z = 842.3443, angle = -5.048261, collision = h0034B0
x = -16.67021, y = 68.11601, z = 840.9909, angle = 78.32989, collision = h0034B0
x = -18.02495, y = 68.116, z = 840.7874, angle = 51.82917, collision = h0034B0
x = -18.80416, y = 68.116, z = 840.022, angle = -45.4388, collision = h0034B0
x = -17.78655, y = 68.116, z = 839.1542, angle = -55.68335, collision = h0034B0
x = -16.78076, y = 68.116, z = 838.2184, angle = 3.627691, collision = h0034B0
x = -16.77229, y = 68.116, z = 836.7908, angle = -8.069909, collision = h0034B0
x = -16.80625, y = 68.116, z = 835.3738, angle = 56.10047, collision = h0034B0
x = -17.82328, y = 68.116, z = 834.6765, angle = 73.98031, collision = h0034B0
x = -19.2003, y = 68.116, z = 834.28, angle = 94.79373, collision = h0034B0
x = -19.62662, y = 68.116, z = 835.1965, angle = -147.7389, collision = h0034B0
x = -19.11507, y = 68.116, z = 836.4349, angle = -151.317, collision = h0034B0
x = -18.82444, y = 68.116, z = 837.756, angle = 176.5526, collision = h0034B0
x = -19.5813, y = 68.116, z = 840.758, angle = -155.5038, collision = h0034B0
x = -18.98355, y = 68.116, z = 841.9998, angle = -125.8083, collision = h0034B0
x = -16.7269, y = 68.116, z = 843.5013, angle = 165.9204, collision = h0034B0
x = -21.25, y = 69.20454, z = 844.7202, angle = 5.049723, collision = h0034B0
x = -21.66195, y = 69.20387, z = 843.7124, angle = 108.795, collision = h0034B0
x = -23.03401, y = 69.20319, z = 844.0821, angle = 70.80122, collision = h0034B0
x = -24.30631, y = 69.20222, z = 843.5158, angle = -19.66163, collision = h0034B0
x = -23.78637, y = 69.20271, z = 842.2881, angle = -49.75096, collision = h0034B0
x = -22.67097, y = 69.2027, z = 841.3925, angle = -40.64222, collision = h0034B0
x = -21.954, y = 69.20242, z = 840.3754, angle = 32.45661, collision = h0034B0
x = -22.76642, y = 69.20223, z = 839.373, angle = 42.19347, collision = h0034B0
x = -23.74991, y = 69.20212, z = 838.3576, angle = 11.05026, collision = h0034B0
x = -23.72783, y = 69.20217, z = 836.9974, angle = -38.89435, collision = h0034B0
x = -22.80936, y = 69.2022, z = 835.9114, angle = -48.16764, collision = h0034B0
x = -21.88207, y = 69.20225, z = 834.8513, angle = 10.38931, collision = h0034B0
x = -22.16435, y = 69.20208, z = 833.6003, angle = 36.65193, collision = h0034B0
x = -22.99715, y = 69.202, z = 832.4355, angle = 24.58404, collision = h0034B0
x = -23.35574, y = 69.2023, z = 831.4482, angle = -15.57566, collision = h0034B0
x = -22.74618, y = 69.20355, z = 830.3348, angle = -44.15402, collision = h0034B0
x = -22.07283, y = 69.20427, z = 829.3602, angle = 15.48722, collision = h0034B0
x = -22.509, y = 69.20466, z = 828.0079, angle = 36.18962, collision = h0034B0
x = -23.2553, y = 69.20467, z = 826.789, angle = 13.87588, collision = h0034B0
x = -23.21222, y = 69.20467, z = 825.4763, angle = -37.29308, collision = h0034B0
x = -22.40089, y = 69.20466, z = 824.2972, angle = 3.641843, collision = h0034B0
x = -22.58186, y = 69.20467, z = 822.9822, angle = 33.18419, collision = h0034B0
x = -23.30073, y = 69.20467, z = 821.9053, angle = -12.0087, collision = h0034B0
x = -23.06298, y = 69.20471, z = 820.5963, angle = -28.13442, collision = h0034B0
x = -22.36613, y = 69.2048, z = 819.3135, angle = 11.13575, collision = h0034B0
x = -22.57017, y = 69.20486, z = 818.0804, angle = 32.53147, collision = h0034B0
x = -23.35572, y = 69.2048, z = 816.8604, angle = 26.87129, collision = h0034B0
x = -23.65837, y = 69.20482, z = 815.5217, angle = -32.73689, collision = h0034B0
x = -22.96809, y = 69.20614, z = 814.4343, angle = -38.85226, collision = h0034B0
x = -22.08684, y = 69.20792, z = 813.2614, angle = 5.867815, collision = h0034B0
x = -22.34027, y = 69.20937, z = 811.9067, angle = 31.92422, collision = h0034B0
x = -23.11874, y = 69.20883, z = 810.7049, angle = 34.18948, collision = h0034B0
x = -23.54161, y = 69.20853, z = 809.4294, angle = -22.60048, collision = h0034B0
x = -22.98178, y = 69.20891, z = 808.1108, angle = -28.04073, collision = h0034B0
x = -22.30207, y = 69.20944, z = 806.8499, angle = -17.52516, collision = h0034B0
x = -22.08739, y = 69.20963, z = 805.6373, angle = 11.85396, collision = h0034B0
x = -22.43063, y = 69.20944, z = 804.2475, angle = 21.29709, collision = h0034B0
x = -22.96807, y = 69.20896, z = 802.9199, angle = -17.32962, collision = h0034B0
x = -22.55737, y = 69.20928, z = 801.6808, angle = -95.75716, collision = h0034B0
x = -21.50329, y = 69.21012, z = 801.7429, angle = 135.1317, collision = h0034B0
x = -22.35899, y = 69.20262, z = 831.3303, angle = 154.6402, collision = h0034B0
x = -24.07602, y = 69.20225, z = 833.3049, angle = 176.5266, collision = h0034B0
x = -24.16343, y = 69.20218, z = 834.7144, angle = -165.5548, collision = h0034B0
x = -22.89504, y = 69.20214, z = 837.7745, angle = 148.6487, collision = h0034B0
x = -24.90071, y = 69.37662, z = 838.3642, angle = 61.58731, collision = h0034B0
x = -26.67229, y = 68.23746, z = 837.683, angle = 79.07793, collision = h0034B0
x = -27.82642, y = 68.116, z = 837.4763, angle = 58.98273, collision = h0034B0
x = -29.0378, y = 68.116, z = 836.7368, angle = 8.847855, collision = h0034B0
x = -28.92035, y = 68.116, z = 835.5955, angle = -55.30008, collision = h0034B0
x = -27.68652, y = 68.116, z = 834.8029, angle = -100.6457, collision = h0034B0
x = -26.3153, y = 68.116, z = 835.1436, angle = 172.7908, collision = h0034B0
x = -26.3188, y = 68.116, z = 836.3886, angle = 139.9446, collision = h0034B0
x = -26.94893, y = 68.116, z = 838.7297, angle = 141.3497, collision = h0034B0
x = -27.51327, y = 68.116, z = 839.9196, angle = -128.9322, collision = h0034B0
x = -26.61077, y = 68.116, z = 840.856, angle = -129.453, collision = h0034B0
x = -26.2052, y = 68.116, z = 841.9339, angle = 110.3693, collision = h0034B0
x = -27.32921, y = 68.116, z = 842.1822, angle = 33.54725, collision = h0034B0
x = -28.01051, y = 68.116, z = 841.1339, angle = 95.1109, collision = h0034B0
x = -29.1944, y = 68.116, z = 841.3469, angle = -177.3159, collision = h0034B0
x = -29.04305, y = 68.116, z = 842.6709, angle = -132.9855, collision = h0034B0
x = -28.0187, y = 68.116, z = 843.671, angle = -160.7588, collision = h0034B0
x = -27.59458, y = 68.116, z = 845.0281, angle = 179.5102, collision = h0034B0
x = -27.64937, y = 68.25638, z = 846.4515, angle = 172.1109, collision = h0034B0
x = -27.82609, y = 68.116, z = 847.703, angle = 136.9184, collision = h0034B0
x = -28.86505, y = 68.116, z = 848.5386, angle = 88.24576, collision = h0034B0
x = -30.27235, y = 68.116, z = 848.4034, angle = 76.06046, collision = h0034B0
x = -31.69311, y = 68.11493, z = 848.2109, angle = 82.87805, collision = h0034B0
x = -33.00322, y = 68.11399, z = 847.8043, angle = -4.600979, collision = h0034B0
x = -33.02215, y = 68.11449, z = 846.5427, angle = 4.911698, collision = h0034B0
x = -33.36132, y = 68.11526, z = 845.1774, angle = 80.63693, collision = h0034B0
x = -34.74497, y = 68.1161, z = 844.9783, angle = 97.96149, collision = h0034B0
x = -36.16728, y = 68.11617, z = 845.075, angle = 62.32479, collision = h0034B0
x = -37.47479, y = 68.11624, z = 844.5034, angle = 124.8057, collision = h0034B0
x = -32.50304, y = 68.114, z = 849.0359, angle = 170.0713, collision = h0034B0
x = -32.79341, y = 68.1133, z = 850.4291, angle = 87.80939, collision = h0034B0
x = -34.15758, y = 68.11365, z = 850.4684, angle = 79.81499, collision = h0034B0
x = -35.57485, y = 68.11462, z = 850.3492, angle = 138.0793, collision = h0034B0
x = -36.39623, y = 68.11552, z = 851.4109, angle = 162.9429, collision = h0034B0
x = -36.7124, y = 68.11615, z = 852.6457, angle = 173.2989, collision = h0034B0
x = -36.74711, y = 68.11616, z = 854.071, angle = -172.3006, collision = h0034B0
x = -36.53049, y = 68.11613, z = 855.4868, angle = -127.7867, collision = h0034B0
x = -35.52349, y = 68.11602, z = 855.699, angle = -3.38567, collision = h0034B0
x = -35.39055, y = 68.11604, z = 854.2877, angle = -9.79359, collision = h0034B0
x = -35.09852, y = 68.11539, z = 852.8973, angle = -27.09681, collision = h0034B0
x = -34.45306, y = 68.1142, z = 851.817, angle = -65.21976, collision = h0034B0
x = -33.33729, y = 68.1031, z = 851.5516, angle = -141.5246, collision = h0035B0
x = -32.62762, y = 67.73122, z = 852.4526, angle = 176.9351, collision = h0035B0
x = -32.95766, y = 67.02112, z = 853.6687, angle = 160.2332, collision = h0035B0
x = -33.63509, y = 66.3377, z = 854.7334, angle = 120.0923, collision = h0035B0
x = -34.56458, y = 65.71355, z = 855.3679, angle = 176.7482, collision = h0035B0
x = -34.79032, y = 65.1934, z = 856.2189, angle = -158.4356, collision = h0035B0
x = -34.34537, y = 64.54444, z = 857.4139, angle = 151.2054, collision = h0035B0
x = -35.10792, y = 64.33852, z = 858.5498, angle = 177.4, collision = h0035B0
x = -35.26236, y = 64.34389, z = 859.9146, angle = -157.1885, collision = h0035B0
x = -34.83018, y = 64.34799, z = 860.9341, angle = -162.5836, collision = h0031B0
x = -34.18481, y = 64.34799, z = 862.1397, angle = -158.8009, collision = h0031B0
x = -33.68993, y = 64.34799, z = 863.0489, angle = -164.1452, collision = h0031B0
x = -33.55266, y = 64.34799, z = 864.3947, angle = -170.2564, collision = h0031B0
x = -33.20021, y = 64.34799, z = 865.8058, angle = -119.5078, collision = h0031B0
x = -32.03964, y = 64.34799, z = 866.5723, angle = -103.4077, collision = h0031B0
x = -30.99214, y = 64.34799, z = 867.3094, angle = -136.8405, collision = h0031B0
x = -30.24898, y = 64.34799, z = 868.2879, angle = -137.1737, collision = h0031B0
x = -32.33273, y = 64.34789, z = 865.1895, angle = -86.1418, collision = h0031B0
x = -31.38001, y = 64.34793, z = 864.5164, angle = -36.82368, collision = h0031B0
x = -30.10094, y = 64.64735, z = 863.973, angle = -53.79184, collision = h0031B0
x = -29.50616, y = 64.64735, z = 862.9944, angle = 62.41059, collision = h0031B0
x = -30.15825, y = 64.62688, z = 862.1489, angle = 8.381748, collision = h0031B0
x = -30.4141, y = 64.04502, z = 861.0927, angle = 17.01544, collision = h0031B0
x = -30.80858, y = 63.33514, z = 859.7169, angle = 6.482697, collision = h0031B0
x = -30.96849, y = 62.63382, z = 858.2929, angle = -7.797235, collision = h0031B0
x = -30.57963, y = 61.94914, z = 856.985, angle = -34.56813, collision = h0031B0
x = -30.03926, y = 61.28608, z = 855.7249, angle = 28.21206, collision = h0031B0
x = -30.7896, y = 61.24869, z = 855.0066, angle = 98.10976, collision = h0030B0
x = -32.42015, y = 58.35519, z = 855.0722, angle = 98.10976, collision = h0030B0
x = -32.23396, y = 58.23994, z = 854.0343, angle = -45.91759, collision = h0030B0
x = -31.26975, y = 58.15358, z = 852.9772, angle = -36.5469, collision = h0030B0
x = -30.41325, y = 58.19175, z = 851.8285, angle = -49.70698, collision = h0030B0
x = -29.40923, y = 58.14404, z = 851.0638, angle = -70.06516, collision = h0030B0
x = -28.47532, y = 58.07325, z = 850.7061, angle = -76.75847, collision = h0030B0
x = -27.11339, y = 57.98744, z = 850.2714, angle = -66.61238, collision = h0030B0
x = -25.8936, y = 57.9811, z = 849.7924, angle = -87.60262, collision = h0030B0
x = -24.69023, y = 57.91633, z = 849.7078, angle = -110.3179, collision = h0030B0
x = -23.48561, y = 57.81448, z = 850.188, angle = 119.5864, collision = h0031B0
x = -24.12011, y = 58.19151, z = 851.1164, angle = 119.5864, collision = h0031B0
x = -25.37055, y = 58.9454, z = 851.8615, angle = 121.5693, collision = h0031B0
x = -26.17847, y = 59.45861, z = 852.3708, angle = 132.2609, collision = h0031B0
x = -26.8935, y = 59.97223, z = 853.0041, angle = 116.1979, collision = h0031B0
x = -28.01853, y = 60.62421, z = 853.5856, angle = 115.6372, collision = h0031B0
x = -29.30863, y = 61.24869, z = 854.2089, angle = 152.817, collision = h0031B0
x = -24.25349, y = 58.26313, z = 848.3169, angle = -40.63689, collision = h0030B0
x = -23.29472, y = 58.34651, z = 847.2717, angle = -109.6422, collision = h0030B0
x = -22.1797, y = 58.34545, z = 847.8345, angle = -175.9415, collision = h0030B0
x = -22.03091, y = 57.99055, z = 849.2559, angle = -154.8051, collision = h0030B0
x = -21.19243, y = 57.81443, z = 850.262, angle = -80.34942, collision = h0030B0
x = -19.97813, y = 57.95181, z = 849.7799, angle = -38.66655, collision = h0030B0
x = -19.03546, y = 58.23165, z = 849.0046, angle = -90.28728, collision = h0030B0
x = -17.62135, y = 58.3455, z = 848.9833, angle = -103.1356, collision = h0030B0
x = -16.3413, y = 58.34581, z = 849.5322, angle = -132.8306, collision = h0030B0
x = -15.28835, y = 58.34551, z = 850.5037, angle = -139.2389, collision = h0030B0
x = -14.5174, y = 58.34534, z = 851.402, angle = -145.8127, collision = h0030B0
x = -13.76042, y = 58.3178, z = 852.5089, angle = -152.2222, collision = h0030B0
x = -13.14273, y = 58.30616, z = 853.6458, angle = -160.9979, collision = h0030B0
x = -12.76042, y = 58.25581, z = 854.6691, angle = -167.8159, collision = h0030B0
x = -12.46662, y = 58.21479, z = 855.939, angle = -160.0845, collision = h0030B0
x = -12.11684, y = 58.23383, z = 856.9834, angle = -165.6719, collision = h0030B0
x = -11.78244, y = 58.26807, z = 858.2433, angle = -175.0785, collision = h0030B0
x = -11.64637, y = 58.30642, z = 859.5487, angle = 179.591, collision = h0030B0
x = -11.66539, y = 58.33816, z = 861.1365, angle = 168.9397, collision = h0030B0
x = -11.89606, y = 58.34529, z = 862.4193, angle = 161.3497, collision = h0030B0
x = -12.21637, y = 58.34513, z = 863.4536, angle = 152.59, collision = h0030B0
x = -12.78914, y = 58.34531, z = 864.5936, angle = 145.7059, collision = h0030B0
x = -13.37115, y = 58.34494, z = 865.4857, angle = 140.5469, collision = h0030B0
x = -14.24202, y = 58.3396, z = 866.5403, angle = 132.9303, collision = h0030B0
x = -15.25659, y = 58.32838, z = 867.4844, angle = 125.1995, collision = h0030B0
x = -16.49199, y = 58.29601, z = 868.3441, angle = 117.3608, collision = h0030B0
x = -17.76246, y = 58.27323, z = 868.9843, angle = 109.4658, collision = h0030B0
x = -19.07417, y = 58.23842, z = 869.4319, angle = 106.6273, collision = h0030B0
x = -20.06067, y = 58.24578, z = 869.7233, angle = 102.8307, collision = h0030B0
x = -21.38973, y = 58.2318, z = 870.0013, angle = 90.74466, collision = h0030B0
x = -22.81821, y = 58.22378, z = 869.9728, angle = 73.50977, collision = h0030B0
x = -24.07156, y = 58.1098, z = 869.5684, angle = 73.92319, collision = h0030B0
x = -25.40833, y = 58.11754, z = 869.2401, angle = 67.39579, collision = h0030B0
x = -26.79135, y = 58.08904, z = 868.732, angle = 79.297, collision = h0030B0
x = -27.80488, y = 58.17084, z = 868.4819, angle = 83.44343, collision = h0030B0
x = -29.07344, y = 58.31675, z = 868.3413, angle = 65.20251, collision = h0030B0
x = -30.21207, y = 58.34505, z = 867.6195, angle = -2.798315, collision = h0030B0
x = -30.07816, y = 58.05539, z = 866.2236, angle = -48.00124, collision = h0030B0
x = -28.99447, y = 57.81544, z = 865.3215, angle = -83.4922, collision = h0030B0
x = -27.58992, y = 57.81983, z = 865.15, angle = -87.98867, collision = h0030B0
x = -26.1578, y = 57.82307, z = 865.1018, angle = -82.85732, collision = h0030B0
x = -24.88996, y = 57.82587, z = 864.9561, angle = -83.70589, collision = h0030B0
x = -23.46442, y = 57.82787, z = 864.8138, angle = -88.4558, collision = h0030B0
x = -22.03263, y = 57.8281, z = 864.7579, angle = -90.91781, collision = h0030B0
x = -20.60065, y = 57.86369, z = 864.7874, angle = -90.45267, collision = h0030B0
x = -19.17159, y = 57.98483, z = 864.7426, angle = -69.14568, collision = h0030B0
x = -17.83813, y = 57.97118, z = 864.2356, angle = -55.91432, collision = h0030B0
x = -16.80429, y = 57.88572, z = 863.5076, angle = -40.01643, collision = h0030B0
x = -15.93583, y = 57.82062, z = 862.3775, angle = 12.53562, collision = h0030B0
x = -16.4051, y = 57.82397, z = 861.1807, angle = 85.82788, collision = h0030B0
x = -17.7747, y = 57.82905, z = 861.2833, angle = 139.8033, collision = h0030B0
x = -18.73051, y = 57.83015, z = 862.3394, angle = 117.0514, collision = h0030B0
x = -20.0016, y = 57.83175, z = 862.9818, angle = 110.8987, collision = h0030B0
x = -21.20154, y = 57.83241, z = 863.4169, angle = 99.64826, collision = h0030B0
x = -22.61067, y = 57.84349, z = 863.6514, angle = 79.43261, collision = h0030B0
x = -24.0156, y = 57.86521, z = 863.39, angle = 70.31618, collision = h0030B0
x = -25.35519, y = 57.8748, z = 862.8858, angle = 64.53281, collision = h0030B0
x = -26.66774, y = 57.86502, z = 862.316, angle = 68.90868, collision = h0030B0
x = -27.99702, y = 57.82688, z = 861.7831, angle = 62.36722, collision = h0030B0
x = -29.11603, y = 57.82359, z = 861.1887, angle = 54.37188, collision = h0030B0
x = -30.22197, y = 57.90234, z = 860.2892, angle = 26.50122, collision = h0030B0
x = -30.80355, y = 57.90202, z = 858.9225, angle = -12.12819, collision = h0030B0
x = -30.3322, y = 57.86798, z = 857.6207, angle = -69.49771, collision = h0030B0
x = -29.15703, y = 57.84685, z = 857.2549, angle = -124.2009, collision = h0030B0
x = -28.04861, y = 57.82856, z = 858.101, angle = -132.3154, collision = h0030B0
x = -26.98971, y = 57.83314, z = 859.0602, angle = -126.8012, collision = h0030B0
x = -25.8259, y = 57.98721, z = 859.8944, angle = -95.68804, collision = h0030B0
x = -24.50854, y = 58.15967, z = 859.7366, angle = -43.16703, collision = h0030B0
x = -23.69831, y = 58.14925, z = 858.5962, angle = 6.93118, collision = h0030B0
x = -23.8119, y = 58.09654, z = 857.3389, angle = 12.76896, collision = h0030B0
x = -24.12842, y = 57.99834, z = 855.9413, angle = 9.858463, collision = h0030B0
x = -24.33388, y = 57.89868, z = 854.525, angle = -4.601321, collision = h0030B0
x = -24.1856, y = 57.86538, z = 853.1033, angle = -26.41659, collision = h0030B0
x = -23.18211, y = 57.84392, z = 851.5201, angle = -55.70892, collision = h0030B0
x = -19.45395, y = 57.8151, z = 850.9051, angle = -133.4305, collision = h0030B0
x = -18.54764, y = 57.81651, z = 851.7921, angle = 157.1573, collision = h0030B0
x = -18.96297, y = 57.82158, z = 853.0367, angle = 156.6585, collision = h0030B0
x = -19.50197, y = 57.86521, z = 854.2848, angle = 156.2248, collision = h0030B0
x = -19.95923, y = 57.89783, z = 855.328, angle = 155.0468, collision = h0030B0
x = -20.52204, y = 57.981, z = 856.5452, angle = -173.9733, collision = h0030B0
x = -20.56663, y = 57.95282, z = 857.8551, angle = -156.5395, collision = h0030B0
x = -20.21413, y = 57.96344, z = 858.9053, angle = -98.40322, collision = h0030B0
x = -18.92586, y = 57.86697, z = 859.1888, angle = -62.50325, collision = h0030B0
x = -18.02418, y = 57.86505, z = 858.7365, angle = -46.31098, collision = h0030B0
x = -17.25505, y = 57.82803, z = 858.028, angle = -34.83473, collision = h0030B0
x = -16.53921, y = 57.82424, z = 856.9871, angle = -17.3786, collision = h0030B0
x = -16.09486, y = 57.82038, z = 855.6274, angle = -15.98193, collision = h0030B0
x = -15.65871, y = 57.81621, z = 854.2632, angle = 0.3898672, collision = h0030B0
x = -15.78165, y = 57.83199, z = 852.8625, angle = 21.6389, collision = h0030B0
x = -16.29604, y = 57.99598, z = 851.5252, angle = 20.14144, collision = h0030B0
x = -17.20705, y = 57.81482, z = 852.0799, angle = -109.1803, collision = h0030B0
x = -14.73063, y = 57.96157, z = 853.3408, angle = -139.6535, collision = h0030B0
x = -13.27779, y = 57.93797, z = 856.7064, angle = 135.5263, collision = h0030B0
x = -14.10521, y = 57.81572, z = 857.7115, angle = 122.196, collision = h0030B0
