x = 17.43242, y = 10.31354, z = -20.39503, angle = 22.11365, collision = h1000B1
x = 11.53027, y = 17.43298, z = 30.2285, angle = -136.4935, collision = h1006B1
x = 11.72073, y = 16.735, z = 31.30863, angle = 125.414, collision = h1006B1
x = 10.54349, y = 16.29359, z = 31.99171, angle = 108.3302, collision = h1006B1
x = 9.746887, y = 15.7747, z = 32.7947, angle = -136.5589, collision = h1006B1
x = 10.78555, y = 15.23798, z = 33.62527, angle = -108.2921, collision = h1006B1
x = 11.58922, y = 14.94926, z = 34.31351, angle = 142.1682, collision = h1007B1
x = 10.73059, y = 14.52741, z = 35.33044, angle = -174.614, collision = h1007B1
x = 11.17553, y = 13.87666, z = 36.64132, angle = -129.791, collision = h1007B1
x = 11.96681, y = 13.32547, z = 37.69394, angle = 145.7695, collision = h1007B1
x = 11.27186, y = 13.00039, z = 38.8822, angle = -173.5023, collision = h1007B1
x = 11.4451, y = 13.00039, z = 40.04545, angle = -160.7023, collision = h1007B1
x = 10.26791, y = 13.00039, z = 40.27299, angle = 26.67226, collision = h1007B1
x = 9.751149, y = 13.00039, z = 39.38546, angle = 68.4873, collision = h1007B1
x = 8.509251, y = 13.00039, z = 39.90851, angle = 116.8371, collision = h1007B1
x = 7.283785, y = 13.00039, z = 40.0586, angle = 62.95242, collision = h1007B1
x = 6.013778, y = 13.00039, z = 39.84833, angle = 108.8977, collision = h1007B1
x = 4.921949, y = 13.00039, z = 40.03763, angle = 89.50198, collision = h1007B1
x = 3.744783, y = 13.00039, z = 39.70615, angle = 98.6968, collision = h1007B1
x = 2.405769, y = 13.00039, z = 39.79977, angle = 125.974, collision = h1007B1
x = 1.647962, y = 13.00039, z = 40.48546, angle = 169.8597, collision = h1007B1
x = 0.8794166, y = 13.00039, z = 39.6072, angle = 23.10529, collision = h1071B1
x = 0.6197829, y = 13.00039, z = 38.47948, angle = 30.92387, collision = h1071B1
x = 0.118553, y = 13.00039, z = 37.42936, angle = 25.83452, collision = h1071B1
x = -0.7670206, y = 13.00039, z = 36.80988, angle = 18.61638, collision = h1071B1
x = -0.7395985, y = 13.00039, z = 37.99308, angle = 166.198, collision = h1071B1
x = -0.7862464, y = 13.00039, z = 39.30097, angle = -135.7049, collision = h1071B1
x = 0.5323676, y = 13.00039, z = 40.78901, angle = 155.8623, collision = h1071B1
x = -0.05297261, y = 13.00039, z = 41.91183, angle = 133.7863, collision = h1071B1
x = -0.8691498, y = 13.00039, z = 42.97053, angle = -177.2818, collision = h1071B1
x = -1.012663, y = 13.00039, z = 44.31898, angle = 88.356, collision = h1071B1
x = -2.177842, y = 13.00039, z = 44.43121, angle = 75.15209, collision = h1071B1
x = -3.319243, y = 13.00039, z = 44.58052, angle = 24.39205, collision = h1071B1
x = -2.158102, y = 13.00039, z = 43.19026, angle = 4.082486, collision = h1071B1
x = -2.467086, y = 13.00039, z = 42.12298, angle = 97.23203, collision = h1071B1
x = -3.837668, y = 13.00039, z = 42.26503, angle = 100.1664, collision = h1071B1
x = -2.884532, y = 13.00039, z = 41.13393, angle = -50.73423, collision = h1071B1
x = -1.775141, y = 13.00039, z = 40.42793, angle = -119.374, collision = h1071B1
x = -2.801223, y = 13.00039, z = 40.03807, angle = 99.70722, collision = h1071B1
x = -4.157849, y = 13.42567, z = 40.06887, angle = 68.41326, collision = h1071B1
x = -5.013103, y = 14.02545, z = 39.71766, angle = 68.14991, collision = h1071B1
x = -5.747951, y = 14.54078, z = 39.51307, angle = 117.4656, collision = h1071B1
x = -6.681489, y = 15.19546, z = 40.19641, angle = 110.8178, collision = h1071B1
x = -7.513284, y = 15.77878, z = 40.59095, angle = 88.81555, collision = h1071B1
x = -8.239307, y = 16.28792, z = 40.16907, angle = 35.49467, collision = h1071B1
x = -9.177905, y = 16.63865, z = 40.80791, angle = 105.3321, collision = h1071B1
x = -9.483559, y = 16.63865, z = 41.81599, angle = 141.4994, collision = h1071B1
x = -10.1236, y = 16.63865, z = 42.58539, angle = -133.2693, collision = h1071B1
x = -10.13358, y = 16.63865, z = 40.39878, angle = -14.91794, collision = h1071B1
x = -9.424346, y = 16.63865, z = 39.23421, angle = -47.27987, collision = h1071B1
x = -8.36155, y = 16.63865, z = 38.35483, angle = -68.01772, collision = h1071B1
x = -7.057294, y = 16.63865, z = 37.90366, angle = -75.44254, collision = h1071B1
x = -6.316144, y = 16.63865, z = 36.77213, angle = -14.50101, collision = h1071B1
x = -6.397816, y = 16.63865, z = 35.02423, angle = 18.15281, collision = h1071B1
x = -5.550178, y = 16.63865, z = 34.45945, angle = -102.0423, collision = h1071B1
x = -6.089385, y = 16.63865, z = 33.41972, angle = 73.17726, collision = h1071B1
x = -7.102483, y = 16.63865, z = 33.07537, angle = 80.65273, collision = h1071B1
x = -8.450374, y = 16.63865, z = 33.13573, angle = 94.68293, collision = h1071B1
x = -9.809126, y = 16.63865, z = 33.21649, angle = 68.72939, collision = h1071B1
x = -5.022891, y = 16.63865, z = 33.05219, angle = -76.53046, collision = h1071B1
x = -4.102429, y = 16.30426, z = 32.32558, angle = 3.129757, collision = h1071B1
x = -4.323605, y = 15.73824, z = 31.26896, angle = 20.57788, collision = h1071B1
x = -4.429585, y = 15.20595, z = 30.27532, angle = -8.089211, collision = h1071B1
x = -5.400468, y = 15.13865, z = 29.86145, angle = 84.13873, collision = h1071B1
x = -6.414031, y = 15.13865, z = 29.70434, angle = 91.14285, collision = h1071B1
x = -7.79815, y = 15.13865, z = 29.72829, angle = 84.80038, collision = h1071B1
x = -9.069434, y = 15.13865, z = 29.45406, angle = 23.11378, collision = h1071B1
x = -9.344722, y = 15.13865, z = 28.31847, angle = 8.658194, collision = h1071B1
x = -9.472428, y = 15.13865, z = 26.94265, angle = -16.50007, collision = h1071B1
x = -10.09861, y = 16.63865, z = 32.22126, angle = 21.27985, collision = h1071B1
x = -10.56964, y = 23.136, z = 30.25697, angle = -4.547854, collision = h1071B1
x = -10.50058, y = 22.86948, z = 29.24099, angle = 6.545275, collision = h1071B1
x = -10.65034, y = 22.78276, z = 27.96226, angle = 8.04446, collision = h1071B1
x = -10.80128, y = 22.78276, z = 26.58484, angle = 1.12205, collision = h1071B1
x = -10.75436, y = 22.78276, z = 25.2055, angle = -64.11754, collision = h1071B1
x = -9.554045, y = 22.78276, z = 25.12071, angle = -143.3854, collision = h1071B1
x = -8.685514, y = 22.78276, z = 25.72284, angle = -87.25308, collision = h1071B1
x = -7.537173, y = 22.78276, z = 25.4681, angle = -57.13662, collision = h1071B1
x = -9.196138, y = 22.78276, z = 26.62723, angle = 177.1382, collision = h1071B1
x = -8.906706, y = 22.78276, z = 27.86436, angle = -82.66055, collision = h1071B1
x = -7.708001, y = 22.78276, z = 27.44275, angle = -42.01827, collision = h1071B1
x = -6.944818, y = 22.78276, z = 26.68226, angle = -114.7503, collision = h1071B1
x = -6.092055, y = 22.78276, z = 27.33356, angle = -145.975, collision = h1071B1
x = -5.058625, y = 22.78276, z = 27.70671, angle = -71.77948, collision = h1071B1
x = -6.023213, y = 22.78276, z = 26.11017, angle = -60.17693, collision = h1071B1
x = -4.839916, y = 22.78276, z = 25.4937, angle = -92.45392, collision = h1071B1
x = -3.461835, y = 22.78276, z = 25.58863, angle = -152.6557, collision = h1071B1
x = -3.290621, y = 22.78276, z = 26.69517, angle = 85.3301, collision = h1071B1
x = -9.488634, y = 22.77035, z = 30.13411, angle = -96.91702, collision = h1071B1
x = -8.623906, y = 22.75937, z = 30.67519, angle = 176.3935, collision = h1071B1
x = -8.572341, y = 22.75766, z = 31.78378, angle = -176.3704, collision = h1071B1
x = -8.51607, y = 22.75766, z = 32.89273, angle = 178.2799, collision = h1071B1
x = -8.53609, y = 22.75766, z = 33.92394, angle = 178.4285, collision = h1071B1
x = -8.563502, y = 22.75766, z = 35.03, angle = -175.2368, collision = h1071B1
x = -8.477875, y = 22.75766, z = 36.15992, angle = -176.963, collision = h1071B1
x = -4.784057, y = 22.78276, z = 26.51168, angle = -91.46703, collision = h1071B1
x = -2.546131, y = 22.78276, z = 27.48753, angle = 180, collision = h1071B1
x = -2.928279, y = 26.28856, z = 28.56848, angle = -151.1442, collision = h1008B1
x = -2.545882, y = 26.28856, z = 29.5754, angle = 110.6226, collision = h1008B1
x = -3.764753, y = 26.28856, z = 30.05481, angle = 99.08526, collision = h1008B1
x = -5.07911, y = 26.28856, z = 30.42883, angle = 114.6529, collision = h1008B1
x = -5.602794, y = 26.28856, z = 31.68256, angle = 144.6259, collision = h1008B1
x = -6.473153, y = 26.28856, z = 32.76152, angle = 91.52731, collision = h1008B1
x = -7.709477, y = 26.28856, z = 32.50068, angle = 26.77446, collision = h1008B1
x = -5.013553, y = 26.28856, z = 32.70406, angle = -132.8794, collision = h1008B1
x = -3.990798, y = 26.28856, z = 33.62415, angle = -144.518, collision = h1008B1
x = -3.465769, y = 26.28856, z = 34.81878, angle = 147.0334, collision = h1008B1
x = -4.244109, y = 26.28856, z = 36.06933, angle = 167.1247, collision = h1008B1
x = -4.206405, y = 26.28856, z = 37.39349, angle = -147.7958, collision = h1008B1
x = -3.516319, y = 26.28856, z = 38.59219, angle = -167.9119, collision = h1008B1
x = -3.340981, y = 26.28856, z = 39.95071, angle = 177.8388, collision = h1008B1
x = -3.392741, y = 26.28856, z = 41.33598, angle = 168.0548, collision = h1008B1
x = -3.889498, y = 26.28856, z = 42.57112, angle = 117.4552, collision = h1008B1
x = -4.757557, y = 26.28856, z = 43.40688, angle = 154.8761, collision = h1008B1
x = -3.973005, y = 26.28856, z = 44.19209, angle = -41.46004, collision = h1008B1
x = -4.644316, y = 26.28856, z = 40.80703, angle = 59.58518, collision = h1008B1
x = -5.886008, y = 26.28856, z = 40.40305, angle = 132.597, collision = h1008B1
x = -6.942543, y = 26.28856, z = 40.92013, angle = 73.1973, collision = h1008B1
x = -8.028299, y = 26.40418, z = 40.52208, angle = 125.8059, collision = h1008B1
x = -9.698307, y = 26.28856, z = 41.20779, angle = 126.7661, collision = h1008B1
x = -10.75132, y = 26.28856, z = 42.13494, angle = 93.27766, collision = h1008B1
x = -10.63523, y = 26.28856, z = 39.06129, angle = 42.73956, collision = h1008B1
x = -10.24174, y = 26.28856, z = 37.69902, angle = 3.835138, collision = h1008B1
x = -9.96385, y = 26.28856, z = 36.48523, angle = -35.45686, collision = h1008B1
x = -9.092231, y = 26.28856, z = 37.01947, angle = -129.2685, collision = h1008B1
x = -8.292444, y = 26.28856, z = 38.02362, angle = -120.0926, collision = h1008B1
x = -7.143214, y = 26.28856, z = 38.30367, angle = -75.83859, collision = h1008B1
x = -6.033686, y = 26.28856, z = 37.98182, angle = -25.78984, collision = h1008B1
x = -5.51647, y = 26.28856, z = 37.10746, angle = -71.55028, collision = h1008B1
x = -2.594823, y = 26.28856, z = 38.11009, angle = -19.3738, collision = h1008B1
x = -2.027528, y = 26.28857, z = 36.88623, angle = -107.4747, collision = h1008B1
x = -0.9968865, y = 26.72673, z = 37.16987, angle = -82.72042, collision = h1008B1
x = -0.06921497, y = 27.23546, z = 37.03688, angle = -69.04758, collision = h1008B1
x = 1.021932, y = 27.57957, z = 36.9811, angle = -90, collision = h1008B1
x = 2.967302, y = 27.57957, z = 37.08, angle = -90, collision = h1009B1
x = 3.948003, y = 27.57957, z = 36.74438, angle = -111.2646, collision = h1009B1
x = 5.082668, y = 27.57957, z = 37.22186, angle = -111.0492, collision = h1009B1
x = 6.327874, y = 27.57957, z = 37.42702, angle = -51.93181, collision = h1009B1
x = 7.628126, y = 27.57957, z = 36.97731, angle = -115.8278, collision = h1009B1
x = 8.912035, y = 27.57957, z = 37.46937, angle = -64.11206, collision = h1009B1
x = 10.16866, y = 27.57957, z = 36.89362, angle = -92.19433, collision = h1009B1
x = 11.44864, y = 27.57957, z = 36.99818, angle = -100.8937, collision = h1009B1
x = 12.70879, y = 27.57957, z = 36.96556, angle = -58.76342, collision = h1010B1
x = 14.02319, y = 27.57957, z = 36.84936, angle = -110.5946, collision = h1010B1
x = 15.30433, y = 27.57957, z = 36.86255, angle = -52.48112, collision = h1010B1
x = 14.77678, y = 27.57957, z = 35.98826, angle = -18.03195, collision = h1010B1
x = 15.20164, y = 27.57957, z = 34.70011, angle = -13.71068, collision = h1010B1
x = 14.92374, y = 27.57957, z = 33.73261, angle = 48.74746, collision = h1010B1
x = 15.08787, y = 27.57957, z = 32.47533, angle = -34.85056, collision = h1010B1
x = 15.94859, y = 27.57957, z = 31.74841, angle = -133.6867, collision = h1010B1
x = 16.86642, y = 27.57957, z = 32.63008, angle = -133.8781, collision = h1010B1
x = 17.97033, y = 27.57957, z = 33.00326, angle = -19.80398, collision = h1010B1
x = 18.57967, y = 27.57957, z = 31.80054, angle = -105.353, collision = h1010B1
x = 19.70942, y = 27.57957, z = 32.29169, angle = -148.4814, collision = h1010B1
x = 20.68522, y = 27.57957, z = 32.87185, angle = -25.93359, collision = h1010B1
x = 21.73951, y = 27.57957, z = 32.33739, angle = 14.20597, collision = h1010B1
x = 23.12443, y = 27.57957, z = 32.39785, angle = -163.8711, collision = h1010B1
x = 23.88019, y = 27.57957, z = 33.11539, angle = -49.48857, collision = h1010B1
x = 24.67916, y = 27.57957, z = 32.45245, angle = 11.55464, collision = h1010B1
x = 25.41673, y = 27.57957, z = 31.72823, angle = -137.5263, collision = h1010B1
x = 26.34787, y = 27.57957, z = 32.70271, angle = -76.32534, collision = h1010B1
x = 27.61188, y = 27.57957, z = 32.50217, angle = -87.89314, collision = h1010B1
x = 28.82734, y = 27.57957, z = 32.70308, angle = -75.33373, collision = h1010B1
x = 29.8245, y = 27.5566, z = 32.42808, angle = -86.66769, collision = h1010B1
x = 30.88323, y = 27.4407, z = 32.2674, angle = -117.7519, collision = h1011B1
x = 31.991, y = 27.4407, z = 32.85709, angle = -56.56908, collision = h1011B1
x = 33.18682, y = 27.4407, z = 31.96862, angle = -84.01933, collision = h1011B1
x = 34.33698, y = 27.48687, z = 32.18027, angle = -159.0593, collision = h1011B1
x = 34.98619, y = 27.48687, z = 33.22953, angle = -106.502, collision = h1011B1
x = 36.19825, y = 27.48687, z = 33.39434, angle = -50.12416, collision = h1011B1
x = 37.24005, y = 27.48687, z = 32.49705, angle = -21.6555, collision = h1011B1
x = 37.48762, y = 27.48687, z = 31.18479, angle = 70.71632, collision = h1011B1
x = 36.27643, y = 27.48687, z = 30.97417, angle = 153.5903, collision = h1011B1
x = 36.07171, y = 27.48687, z = 32.34044, angle = -123.9157, collision = h1011B1
x = 37.86366, y = 27.48687, z = 33.33176, angle = -40.55536, collision = h1011B1
x = 37.05336, y = 27.48687, z = 34.02377, angle = 130.9052, collision = h1011B1
x = 33.01006, y = 27.4407, z = 32.99057, angle = 83.42848, collision = h1011B1
x = 15.12107, y = 27.57957, z = 38.10094, angle = 161.8452, collision = h1010B1
x = 14.98777, y = 27.57957, z = 39.43183, angle = -169.006, collision = h1010B1
x = 15.16138, y = 27.57957, z = 40.79945, angle = 174.3638, collision = h1012B1
x = 14.89727, y = 28.24222, z = 42.18769, angle = 172.3882, collision = h1012B1
x = 14.77237, y = 28.87293, z = 43.08187, angle = -143.0886, collision = h1012B1
x = 15.2792, y = 29.4158, z = 43.84923, angle = -170.4215, collision = h1012B1
x = 15.48059, y = 29.54271, z = 44.86592, angle = 160.1005, collision = h1012B1
x = 15.15356, y = 29.59924, z = 46.20189, angle = -167.8968, collision = h1012B1
x = 15.3188, y = 30.21173, z = 47.11069, angle = -167.066, collision = h1012B1
x = 15.52572, y = 30.8212, z = 48.00955, angle = -173.8714, collision = h1012B1
x = 15.61348, y = 31.44241, z = 48.92313, angle = 156.4899, collision = h1012B1
x = 15.01308, y = 31.52464, z = 50.15683, angle = 139.4396, collision = h1012B1
x = 16.24549, y = 31.53158, z = 50.66115, angle = -105.2661, collision = h1012B1
x = 17.59945, y = 32.15744, z = 50.81958, angle = -24.85814, collision = h1012B1
x = 17.61355, y = 32.16395, z = 49.63645, angle = -44.05375, collision = h1012B1
x = 18.77349, y = 32.54271, z = 49.17921, angle = -28.9127, collision = h1012B1
x = 19.07492, y = 32.54271, z = 48.18673, angle = 59.87069, collision = h1012B1
x = 17.91783, y = 32.54271, z = 47.4328, angle = 44.09658, collision = h1012B1
x = 17.27574, y = 32.54271, z = 46.36017, angle = -71.37687, collision = h1012B1
x = 18.21475, y = 32.54271, z = 45.93468, angle = -82.00276, collision = h1012B1
x = 19.53981, y = 32.54271, z = 46.05836, angle = -178.9493, collision = h1012B1
x = 19.70378, y = 32.54271, z = 49.59605, angle = -171.0243, collision = h1012B1
x = 19.83278, y = 32.54271, z = 50.81612, angle = 156.5356, collision = h1012B1
x = 19.49191, y = 32.54271, z = 51.83102, angle = 172.8398, collision = h1012B1
x = 19.27086, y = 32.54271, z = 53.19756, angle = -153.8045, collision = h1012B1
x = 19.81912, y = 32.54271, z = 54.37632, angle = -154.2311, collision = h1012B1
x = 20.04564, y = 32.54271, z = 55.60082, angle = 132.3236, collision = h1012B1
x = 19.19006, y = 32.54271, z = 56.65681, angle = -144.5302, collision = h1012B1
x = 19.48709, y = 32.54271, z = 57.69149, angle = 177.6223, collision = h1012B1
x = 18.7677, y = 32.54271, z = 51.12638, angle = 4.015523, collision = h1012B1
x = 20.01564, y = 32.54271, z = 48.61619, angle = -113.5236, collision = h1012B1
x = 21.33473, y = 32.54271, z = 48.95242, angle = -83.98342, collision = h1013B1
x = 22.71451, y = 32.54271, z = 48.82231, angle = -59.6671, collision = h1013B1
x = 23.92689, y = 32.54271, z = 48.51585, angle = -121.2245, collision = h1013B1
x = 25.11417, y = 32.54271, z = 49.11585, angle = -99.39886, collision = h1013B1
x = 26.40191, y = 32.02797, z = 48.91836, angle = -51.39708, collision = h1013B1
x = 27.55, y = 31.40063, z = 48.51585, angle = -118.6486, collision = h1013B1
x = 28.73048, y = 30.7556, z = 49.11585, angle = -77.28721, collision = h1013B1
x = 30.05807, y = 30.03019, z = 48.82969, angle = -120.006, collision = h1013B1
x = 31.48052, y = 29.81063, z = 49.06385, angle = -57.84092, collision = h1013B1
x = 32.75358, y = 29.81063, z = 48.59066, angle = -75.93194, collision = h1013B1
x = 34.10622, y = 29.81063, z = 48.59518, angle = 177, collision = h1013B1
x = 35.44566, y = 29.81063, z = 48.92378, angle = -65.56913, collision = h1015B1
x = 36.76052, y = 29.81063, z = 48.56889, angle = -143.7616, collision = h1015B1
x = 37.48824, y = 29.81063, z = 49.33801, angle = -25.63796, collision = h1015B1
x = 37.66181, y = 29.81063, z = 48.04756, angle = -0.02062717, collision = h1015B1
x = 37.66397, y = 29.81063, z = 46.80748, angle = 0.5353093, collision = h1015B1
x = 37.74717, y = 29.81063, z = 45.60449, angle = -4.679923, collision = h1015B1
x = 37.32608, y = 29.81064, z = 44.65684, angle = 24.65814, collision = h1015B1
x = 36.5563, y = 29.81063, z = 43.62787, angle = 123.6333, collision = h1015B1
x = 38.34163, y = 29.81064, z = 43.97905, angle = -57.79664, collision = h1015B1
x = 37.76062, y = 29.81063, z = 50.69764, angle = 133.0945, collision = h1015B1
x = 37.06416, y = 29.81063, z = 51.48727, angle = 176.4421, collision = h1015B1
x = 37.24122, y = 29.81063, z = 52.7354, angle = -153.4748, collision = h1015B1
x = 37.73186, y = 29.81063, z = 54.01896, angle = 156.6163, collision = h1015B1
x = 37.29324, y = 29.81063, z = 55.32565, angle = -165.4397, collision = h1015B1
x = 37.60588, y = 29.81063, z = 56.68161, angle = -167.2255, collision = h1016B1
x = 37.91854, y = 29.81063, z = 58.03129, angle = -168.6263, collision = h1016B1
x = 37.77779, y = 29.81063, z = 59.0306, angle = 142.2952, collision = h1016B1
x = 38.35539, y = 29.81063, z = 52.84143, angle = -150.4819, collision = h1015B1
x = 38.28216, y = 29.81063, z = 54.98494, angle = -173.4484, collision = h1015B1
x = 38.27439, y = 29.81063, z = 60.03632, angle = 170.636, collision = h1016B1
x = 37.81988, y = 29.81063, z = 61.29544, angle = 123.4681, collision = h1016B1
x = 36.96323, y = 29.81063, z = 61.94196, angle = -178.3533, collision = h1016B1
x = 36.98444, y = 29.81063, z = 63.29533, angle = 138.3699, collision = h1016B1
x = 36.33181, y = 29.79976, z = 64.13304, angle = 98.36525, collision = h1017B1
x = 35.20724, y = 29.67177, z = 64.04746, angle = 66.91135, collision = h1017B1
x = 33.84994, y = 29.67177, z = 63.74658, angle = 101.652, collision = h1017B1
x = 32.79319, y = 29.67177, z = 63.8909, angle = 129.3658, collision = h1017B1
x = 31.52659, y = 29.67177, z = 63.71219, angle = 55.6845, collision = h1017B1
x = 30.42843, y = 29.67177, z = 63.58895, angle = 111.6785, collision = h1017B1
x = 29.15979, y = 29.67177, z = 64.1236, angle = 118.636, collision = h1017B1
x = 27.89674, y = 29.17, z = 63.98124, angle = 54.12594, collision = h1017B1
x = 26.9905, y = 28.59679, z = 63.52359, angle = 102.989, collision = h1017B1
x = 26.08961, y = 28.02697, z = 63.67421, angle = 114.8905, collision = h1017B1
x = 25.24817, y = 27.49475, z = 64.05087, angle = 103.0317, collision = h1017B1
x = 24.37647, y = 26.94339, z = 64.09192, angle = 59.43906, collision = h1017B1
x = 23.10982, y = 26.89919, z = 63.58838, angle = 130.8086, collision = h1018B1
x = 22.2792, y = 26.89919, z = 64.44125, angle = 153.4928, collision = h1018B1
x = 21.09032, y = 26.89919, z = 64.09324, angle = 32.45061, collision = h1018B1
x = 20.53857, y = 26.89919, z = 63.16766, angle = 20.69023, collision = h1018B1
x = 20.81819, y = 26.89919, z = 62.11445, angle = 2.524916, collision = h1018B1
x = 37.89785, y = 29.81063, z = 64.33781, angle = 177.1224, collision = h1016B1
x = 37.66284, y = 29.81063, z = 65.55169, angle = 135.8883, collision = h1016B1
x = 37.1689, y = 29.81063, z = 66.66164, angle = -135.1804, collision = h1016B1
x = 37.99191, y = 29.81063, z = 67.74898, angle = 159.0318, collision = h1016B1
x = 37.68067, y = 29.81063, z = 68.77482, angle = -160.2178, collision = h1016B1
x = 38.07769, y = 29.81063, z = 70.04136, angle = -164.118, collision = h1016B1
x = 38.29405, y = 29.81063, z = 71.15705, angle = -160.6945, collision = h1016B1
x = 37.63984, y = 29.90331, z = 72.06668, angle = 150.7743, collision = h1016B1
x = 37.38287, y = 29.92153, z = 73.16257, angle = -162.8008, collision = h1016B1
x = 37.67961, y = 29.8497, z = 74.29427, angle = 166.1044, collision = h1016B1
x = 37.47383, y = 29.85717, z = 75.38759, angle = 176.6962, collision = h1016B1
x = 37.42838, y = 29.85273, z = 76.6046, angle = -175.5447, collision = h1016B1
x = 37.57986, y = 29.81696, z = 77.9809, angle = -146.3426, collision = h1016B1
x = 38.10179, y = 29.84144, z = 78.91953, angle = 171.2689, collision = h1016B1
x = 38.00779, y = 29.86274, z = 79.95105, angle = 151.6477, collision = h1040B1
x = 37.3602, y = 29.81175, z = 81.02482, angle = 157.1545, collision = h1040B1
x = 37.12636, y = 29.81195, z = 82.29541, angle = -164.3796, collision = h1040B1
x = 37.49631, y = 29.81195, z = 83.63134, angle = -168.1666, collision = h1040B1
x = 37.76818, y = 29.81195, z = 84.9905, angle = -169.1346, collision = h1040B1
x = 37.77525, y = 29.81195, z = 86.35357, angle = 156.6781, collision = h1040B1
x = 37.3698, y = 29.81195, z = 87.66444, angle = -163.043, collision = h1040B1
x = 37.74342, y = 29.53917, z = 88.9983, angle = -172.552, collision = h1040B1
x = 37.83348, y = 29.50986, z = 90.06527, angle = 172.5583, collision = h1040B1
x = 37.64827, y = 29.50974, z = 91.43906, angle = 174.3312, collision = h1040B1
x = 37.52395, y = 29.50929, z = 92.51157, angle = 174.3312, collision = h1040B1
x = 37.75818, y = 29.50922, z = 93.50569, angle = 164.9905, collision = h1040B1
x = 36.38802, y = 29.50922, z = 93.70178, angle = 52.59542, collision = h1040B1
x = 35.29266, y = 29.15705, z = 93.14586, angle = 109.0515, collision = h1040B1
x = 33.96353, y = 28.53902, z = 93.7077, angle = 119.3332, collision = h1040B1
x = 32.74583, y = 27.97275, z = 94.36565, angle = 89.59854, collision = h1040B1
x = 31.43623, y = 27.36359, z = 94.13229, angle = 52.0951, collision = h1040B1
x = 30.22961, y = 26.80233, z = 93.53599, angle = 96.53082, collision = h1040B1
x = 28.83492, y = 26.6, z = 93.696, angle = 97.07307, collision = h1040B1
x = 27.4547, y = 26.6, z = 93.73222, angle = 73.95738, collision = h1040B1
x = 26.41715, y = 26.6, z = 93.44382, angle = 83.11868, collision = h1040B1
x = 25.04227, y = 26.6, z = 93.28377, angle = 84.84229, collision = h1040B1
x = 23.65882, y = 26.6, z = 93.2154, angle = 97.22762, collision = h1040B1
x = 22.28825, y = 26.6, z = 93.45815, angle = 143.3337, collision = h1040B1
x = 21.58002, y = 26.6, z = 94.57217, angle = 161.2254, collision = h1040B1
x = 21.18756, y = 26.6, z = 95.90115, angle = 155.6122, collision = h1040B1
x = 20.71296, y = 26.6, z = 97.19425, angle = 176.9697, collision = h1040B1
x = 20.6324, y = 26.6, z = 98.73225, angle = 177.3256, collision = h1040B1
x = 20.57975, y = 26.6, z = 100.1172, angle = -157.8209, collision = h1040B1
x = 21.35348, y = 26.6, z = 101.0321, angle = -34.67415, collision = h1040B1
x = 21.98181, y = 26.6, z = 99.93227, angle = 3.859303, collision = h1040B1
x = 21.88319, y = 26.6, z = 98.54744, angle = 5.843609, collision = h1040B1
x = 21.74213, y = 26.6, z = 97.16686, angle = 5.742167, collision = h1040B1
x = 22.87622, y = 26.6, z = 94.52995, angle = 171.3251, collision = h1040B1
x = 22.76654, y = 26.6, z = 95.87511, angle = 178.4193, collision = h1040B1
x = 22.7154, y = 26.6, z = 97.71707, angle = -177.7175, collision = h1040B1
x = 22.77494, y = 26.6, z = 99.102, angle = -171.1275, collision = h1040B1
x = 23.08483, y = 26.6, z = 100.4398, angle = -120.959, collision = h1040B1
x = 24.20991, y = 26.6, z = 100.7322, angle = -6.772542, collision = h1040B1
x = 24.55205, y = 26.6, z = 99.79089, angle = -86.29007, collision = h1040B1
x = 25.45589, y = 26.6, z = 99.19734, angle = -49.23198, collision = h1040B1
x = 24.77362, y = 26.6, z = 97.93567, angle = 34.32953, collision = h1040B1
x = 24.06425, y = 26.6, z = 96.75328, angle = 8.944146, collision = h1040B1
x = 23.79663, y = 26.6, z = 95.23836, angle = 3.757014, collision = h1040B1
x = 25.20093, y = 26.6, z = 94.29043, angle = -149.2505, collision = h1040B1
x = 25.73827, y = 26.6, z = 95.51036, angle = 177.7088, collision = h1040B1
x = 25.68031, y = 26.6, z = 96.89572, angle = 175.7427, collision = h1040B1
x = 25.58971, y = 26.6, z = 100.577, angle = -82.39065, collision = h1040B1
x = 26.56783, y = 26.6, z = 100.0734, angle = 14.57236, collision = h1040B1
x = 27.1163, y = 26.6, z = 95.74274, angle = -99.27962, collision = h1040B1
x = 28.50303, y = 26.6, z = 96.01902, angle = -120.9562, collision = h1040B1
x = 29.7201, y = 26.6, z = 96.67965, angle = -130.2778, collision = h1040B1
x = 30.69451, y = 26.6, z = 97.63831, angle = -177.9948, collision = h1040B1
x = 30.79756, y = 26.6, z = 99.01101, angle = -178.7856, collision = h1040B1
x = 30.81573, y = 26.6, z = 100.0893, angle = 173.8768, collision = h1040B1
x = 30.69315, y = 26.6, z = 101.1669, angle = 169.9862, collision = h1040B1
x = 29.645, y = 26.6, z = 101.7034, angle = 97.01991, collision = h1040B1
x = 28.26171, y = 26.6, z = 101.7938, angle = 96.8114, collision = h1040B1
x = 27.23618, y = 26.6, z = 102.0349, angle = 177.0597, collision = h1040B1
x = 27.22717, y = 26.6, z = 103.3201, angle = -129.3299, collision = h1040B1
x = 28.27828, y = 26.6, z = 104.2212, angle = -100.5758, collision = h1040B1
x = 29.6044, y = 26.6, z = 104.448, angle = -112.4192, collision = h1040B1
