# Shanty
x = -217.4494, y = -95.5304, z = -26.17444, angle = 66.58151, collision = h0000B0
x = -242.3253, y = -136.7272, z = 87.41116, angle = 172.1945, collision = h0010B0
x = -242.1767, y = -136.7272, z = 88.55573, angle = -108.7134, collision = h0010B0
x = -241.2992, y = -136.7272, z = 87.2996, angle = -8.545359, collision = h0010B0
x = -240.9004, y = -136.7272, z = 86.32983, angle = -70.15402, collision = h0010B0
x = -239.953, y = -136.7272, z = 86.79787, angle = -165.28, collision = h0010B0
x = -239.6466, y = -136.7272, z = 87.91398, angle = -166.1372, collision = h0010B0
x = -239.3738, y = -136.7272, z = 89.04321, angle = -106.689, collision = h0010B0
x = -238.3036, y = -136.7272, z = 88.96218, angle = -9.953634, collision = h0010B0
x = -238.1647, y = -136.7272, z = 87.88908, angle = 2.996281, collision = h0010B0
x = -237.9245, y = -136.7272, z = 86.83965, angle = -92.00049, collision = h0010B0
x = -237.165, y = -136.7272, z = 87.95453, angle = -169.7347, collision = h0010B0
x = -237.0017, y = -136.7272, z = 89.04438, angle = -175.971, collision = h0010B0
x = -236.7842, y = -136.7272, z = 90.03309, angle = -136.7745, collision = h0010B0
x = -235.8316, y = -136.7273, z = 89.49893, angle = -22.51834, collision = h0010B0
x = -235.4059, y = -136.7273, z = 88.46915, angle = -27.46618, collision = h0010B0
x = -234.6446, y = -136.7273, z = 87.80368, angle = -124.9316, collision = h0010B0
x = -234.0135, y = -136.7273, z = 88.66555, angle = -167.5839, collision = h0010B0
x = -233.8335, y = -136.7273, z = 89.80183, angle = -179.193, collision = h0010B0
x = -233.5621, y = -136.7273, z = 90.86317, angle = -97.98401, collision = h0010B0
x = -232.4404, y = -136.65, z = 91.06857, angle = -101.4005, collision = h0028B0
x = -231.1465, y = -136.4754, z = 91.30779, angle = -73.88188, collision = h0028B0
x = -229.9276, y = -136.7273, z = 91.13874, angle = -77.57663, collision = h0010B0
x = -228.6966, y = -136.7273, z = 91.77222, angle = -115.554, collision = h0010B0
x = -231.5774, y = -136.4611, z = 90.37716, angle = 51.7352, collision = h0028B0
x = -232.4167, y = -136.4611, z = 89.64405, angle = 61.37432, collision = h0028B0
x = -233.1113, y = -136.4632, z = 88.22659, angle = -66.52045, collision = h0028B0
x = -231.796, y = -136.4611, z = 88.24216, angle = -127.2076, collision = h0028B0
x = -230.6922, y = -136.4611, z = 89.06325, angle = -131.7008, collision = h0028B0
x = -230.377, y = -136.4611, z = 88.0305, angle = 2.418269, collision = h0028B0
x = -229.8889, y = -136.4617, z = 87.12383, angle = -100.3822, collision = h0028B0
x = -228.7718, y = -136.4643, z = 87.4489, angle = -100.379, collision = h0028B0
x = -227.739, y = -136.4679, z = 87.49097, angle = -28.92812, collision = h0028B0
x = -227.233, y = -136.4701, z = 86.46889, angle = 6.671496, collision = h0028B0
x = -227.2726, y = -136.4701, z = 85.30924, angle = -17.48041, collision = h0028B0
x = -227.1033, y = -136.5345, z = 84.1314, angle = 28.42062, collision = h0028B0
x = -227.1874, y = -136.7935, z = 82.98336, angle = -54.48532, collision = h0028B0
x = -226.201, y = -136.5755, z = 83.38857, angle = -154.7617, collision = h0028B0
x = -225.7235, y = -136.4575, z = 84.44884, angle = -159.8516, collision = h0028B0
x = -225.2099, y = -136.4622, z = 85.42373, angle = -98.22979, collision = h0028B0
x = -224.183, y = -136.4662, z = 85.09696, angle = 5.589458, collision = h0028B0
x = -224.1069, y = -136.4734, z = 84.08314, angle = -24.13738, collision = h0028B0
x = -223.4885, y = -136.4632, z = 83.23617, angle = -114.7645, collision = h0028B0
x = -223.3945, y = -136.4746, z = 85.90421, angle = -98.662, collision = h0028B0
x = -222.9129, y = -136.4896, z = 84.96236, angle = 11.05629, collision = h0028B0
x = -222.4184, y = -136.4656, z = 83.2319, angle = -137.457, collision = h0028B0
x = -221.7813, y = -136.4882, z = 84.11286, angle = -154.8634, collision = h0028B0
x = -221.2085, y = -136.4384, z = 85.11214, angle = -151.9267, collision = h0028B0
x = -220.2111, y = -136.3034, z = 85.00484, angle = -39.42323, collision = h0028B0
x = -219.6492, y = -136.2906, z = 84.12852, angle = -32.69101, collision = h0028B0
x = -220.3018, y = -136.3077, z = 83.25526, angle = 114.9339, collision = h0028B0
x = -219.4464, y = -136.2784, z = 85.78477, angle = -76.07976, collision = h0028B0
x = -218.6631, y = -136.267, z = 85.02186, angle = 19.41916, collision = h0028B0
x = -218.9018, y = -136.28, z = 83.36011, angle = -120.5246, collision = h0028B0
x = -218.064, y = -136.2609, z = 83.9134, angle = -136.2691, collision = h0028B0
x = -217.2461, y = -136.235, z = 84.70278, angle = -108.4859, collision = h0028B0
x = -216.1395, y = -136.09, z = 85.08576, angle = -106.3228, collision = h0028B0
x = -215.1051, y = -135.9568, z = 85.40456, angle = -106.8565, collision = h0028B0
x = -214.0605, y = -135.8047, z = 85.72153, angle = -106.7053, collision = h0028B0
x = -212.9728, y = -135.8325, z = 86.04803, angle = -106.3869, collision = h0028B0
x = -211.9501, y = -135.8598, z = 86.44042, angle = -157.5195, collision = h0028B0
x = -211.7259, y = -135.8913, z = 87.58079, angle = -156.1452, collision = h0028B0
x = -211.2193, y = -135.9264, z = 88.45371, angle = -110.6319, collision = h0028B0
x = -210.1369, y = -135.9517, z = 88.62544, angle = -99.67384, collision = h0028B0
x = -209.1251, y = -136.301, z = 88.47588, angle = -38.80109, collision = h0028B0
x = -208.185, y = -136.6736, z = 87.74149, angle = -106.8785, collision = h0028B0
x = -207.429, y = -136.9857, z = 88.40837, angle = -126.2787, collision = h0028B0
x = -206.3812, y = -137.3933, z = 89.01984, angle = -109.5654, collision = h0028B0
x = -205.2924, y = -137.6273, z = 89.39406, angle = -88.68877, collision = h0028B0
x = -204.1869, y = -137.6262, z = 89.37856, angle = -88.68459, collision = h0028B0
x = -203.1522, y = -137.6261, z = 89.24512, angle = -38.32866, collision = h0028B0
x = -208.4265, y = -137.4258, z = 86.58455, angle = 75.98744, collision = h0028B0
x = -207.3622, y = -137.6317, z = 87.03237, angle = -134.1626, collision = h0028B0
x = -206.353, y = -137.6256, z = 87.28017, angle = -133.6539, collision = h0028B0
x = -205.348, y = -137.6316, z = 87.20324, angle = -160.4982, collision = h0028B0
x = -205.3506, y = -137.629, z = 88.209, angle = 137.7614, collision = h0028B0
x = -221.4054, y = -136.3961, z = 83.06428, angle = 69.08064, collision = h0028B0
x = -221.5637, y = -136.4017, z = 82.0238, angle = -51.29462, collision = h0028B0
x = -220.3721, y = -139.2794, z = 80.80357, angle = -51.29462, collision = h0028B0
x = -220.9096, y = -139.4823, z = 81.79199, angle = 154.7309, collision = h0028B0
x = -221.4501, y = -139.4674, z = 82.79222, angle = 154.1324, collision = h0028B0
x = -221.7486, y = -139.4407, z = 83.88564, angle = 175.4035, collision = h0028B0
x = -221.6555, y = -139.4, z = 84.97885, angle = -123.3744, collision = h0028B0
x = -221.4181, y = -139.5334, z = 80.83263, angle = -24.55588, collision = h0028B0
x = -220.8779, y = -139.4883, z = 79.83237, angle = -46.81323, collision = h0028B0
x = -219.9487, y = -139.3574, z = 79.21175, angle = -137.4308, collision = h0028B0
x = -219.4837, y = -139.3377, z = 80.19496, angle = -166.3255, collision = h0028B0
x = -218.4628, y = -139.1782, z = 80.18756, angle = -31.46014, collision = h0028B0
x = -217.7317, y = -139.1147, z = 80.91714, angle = -108.504, collision = h0028B0
x = -216.6995, y = -138.9483, z = 80.63465, angle = -35.1002, collision = h0028B0
x = -215.6657, y = -138.809, z = 80.88728, angle = -127.5523, collision = h0028B0
x = -214.6488, y = -138.6588, z = 80.96514, angle = -77.95532, collision = h0028B0
x = -215.0138, y = -138.7784, z = 82.06731, angle = 123.2806, collision = h0028B0
x = -215.9382, y = -138.9543, z = 82.72158, angle = 154.5394, collision = h0028B0
x = -216.3222, y = -138.8351, z = 83.74778, angle = 167.1209, collision = h0028B0
x = -215.8043, y = -138.6006, z = 84.70459, angle = -55.67881, collision = h0028B0
x = -213.6843, y = -138.5555, z = 81.51594, angle = -98.31152, collision = h0028B0
x = -212.5451, y = -138.6584, z = 81.76514, angle = -133.6553, collision = h0028B0
x = -211.7726, y = -142.2974, z = 83.97745, angle = -156.9074, collision = h0012B0
x = -212.6267, y = -142.4426, z = 84.55898, angle = 117.1648, collision = h0012B0
x = -213.6915, y = -142.6017, z = 84.60456, angle = 72.22527, collision = h0012B0
x = -214.7427, y = -142.9293, z = 84.07726, angle = 51.13693, collision = h0012B0
x = -215.7316, y = -143.1459, z = 83.75145, angle = 115.4252, collision = h0012B0
x = -215.9279, y = -143.1444, z = 82.68562, angle = 12.91956, collision = h0012B0
x = -215.3732, y = -143.148, z = 81.81241, angle = -87.4649, collision = h0012B0
x = -214.0255, y = -143.1522, z = 81.47746, angle = -55.56694, collision = h0012B0
x = -213.1592, y = -143.1504, z = 80.85301, angle = 0.06517366, collision = h0012B0
x = -213.5764, y = -143.148, z = 79.85988, angle = 42.38564, collision = h0012B0
x = -214.1947, y = -143.1447, z = 78.72773, angle = -18.69503, collision = h0012B0
x = -213.9543, y = -143.1585, z = 77.6944, angle = 25.71331, collision = h0012B0
x = -214.7756, y = -143.1611, z = 77.01997, angle = 64.31362, collision = h0012B0
x = -215.8463, y = -143.1582, z = 76.51186, angle = 60.46563, collision = h0012B0
x = -216.944, y = -143.1565, z = 76.4077, angle = 103.7363, collision = h0012B0
x = -216.9287, y = -143.1565, z = 75.37474, angle = -20.91352, collision = h0012B0
x = -215.9387, y = -143.1568, z = 74.98951, angle = -106.9762, collision = h0012B0
x = -215.154, y = -143.1588, z = 75.66797, angle = 175.4777, collision = h0012B0
x = -214.1644, y = -143.1628, z = 75.81651, angle = 171.2598, collision = h0012B0
x = -213.1604, y = -143.1483, z = 78.6547, angle = -61.91032, collision = h0012B0
x = -212.2261, y = -143.1529, z = 78.28738, angle = -118.8825, collision = h0012B0
x = -214.7037, y = -143.1457, z = 79.97188, angle = 157.5131, collision = h0012B0
x = -215.921, y = -143.1412, z = 84.75621, angle = 169.2271, collision = h0012B0
x = -213.6966, y = -142.5306, z = 83.5723, angle = -60.31322, collision = h0012B0
x = -212.7169, y = -142.3816, z = 82.9938, angle = -59.24176, collision = h0012B0
x = -212.1451, y = -142.3325, z = 82.06547, angle = -42.82474, collision = h0012B0
x = -211.5261, y = -142.3325, z = 81.03946, angle = -73.01584, collision = h0012B0
x = -210.5188, y = -142.3325, z = 80.88555, angle = -103.2763, collision = h0012B0
x = -209.6598, y = -142.3325, z = 81.51516, angle = 177.3428, collision = h0012B0
x = -209.9686, y = -142.3325, z = 82.57407, angle = 153.2023, collision = h0012B0
x = -210.8008, y = -142.466, z = 84.35268, angle = -117.6114, collision = h0012B0
x = -209.7209, y = -142.4429, z = 84.50713, angle = -20.04734, collision = h0012B0
x = -209.2645, y = -142.3335, z = 83.45145, angle = -26.04556, collision = h0012B0
x = -208.8252, y = -142.3665, z = 82.39933, angle = -39.60595, collision = h0012B0
x = -208.0221, y = -142.4107, z = 81.61937, angle = -89.70528, collision = h0012B0
x = -207.3244, y = -142.3825, z = 82.35091, angle = -157.1577, collision = h0012B0
x = -207.0137, y = -142.3348, z = 83.46283, angle = 174.8567, collision = h0012B0
x = -207.1974, y = -142.4496, z = 84.57703, angle = 167.3183, collision = h0012B0
x = -207.3611, y = -142.4739, z = 85.72907, angle = -178.6129, collision = h0012B0
x = -206.2483, y = -142.3867, z = 84.17419, angle = -32.8733, collision = h0012B0
x = -204.4051, y = -137.6279, z = 87.82001, angle = -117.6468, collision = h0028B0
x = -203.3466, y = -137.6261, z = 88.19884, angle = -101.3333, collision = h0028B0
x = -207.9231, y = -138.1675, z = 85.73626, angle = 23.82183, collision = h0012B0
x = -211.1852, y = -146.3572, z = 79.24193, angle = 167.6338, collision = h0012B0
x = -211.8029, y = -146.4646, z = 78.26769, angle = 70.36216, collision = h0012B0
x = -212.9083, y = -146.5205, z = 78.2364, angle = 96.15749, collision = h0012B0
x = -214.0428, y = -146.5236, z = 78.13625, angle = 100.5862, collision = h0012B0
x = -214.8599, y = -146.5452, z = 78.76523, angle = 141.1955, collision = h0012B0
x = -215.558, y = -146.5492, z = 79.736, angle = 154.6536, collision = h0012B0
x = -216.177, y = -146.5509, z = 80.52453, angle = -168.8545, collision = h0012B0
x = -215.8428, y = -146.5509, z = 81.65228, angle = -124.4541, collision = h0012B0
x = -215.2714, y = -146.5325, z = 77.76752, angle = 3.734447, collision = h0012B0
x = -215.934, y = -146.539, z = 76.97366, angle = 90.70734, collision = h0012B0
x = -216.875, y = -146.6853, z = 76.34257, angle = 31.69738, collision = h0012B0
x = -217.5883, y = -146.6861, z = 75.4912, angle = 71.38071, collision = h0012B0
x = -218.7453, y = -146.8112, z = 75.28503, angle = 86.37334, collision = h0012B0
x = -219.8611, y = -146.7634, z = 75.38266, angle = 107.8671, collision = h0012B0
x = -221.0015, y = -146.717, z = 75.62583, angle = 44.73528, collision = h0012B0
x = -221.044, y = -146.717, z = 74.49108, angle = 25.28233, collision = h0012B0
x = -215.889, y = -146.538, z = 75.97073, angle = -119.0217, collision = h0012B0
x = -214.8152, y = -146.5269, z = 76.21583, angle = -50.35366, collision = h0012B0
x = -213.9673, y = -146.5426, z = 75.49522, angle = -51.82081, collision = h0012B0
x = -213.1106, y = -146.6877, z = 74.93491, angle = -77.82771, collision = h0012B0
x = -211.9523, y = -146.6568, z = 74.71199, angle = -88.80347, collision = h0012B0
x = -210.9705, y = -146.8646, z = 74.36278, angle = -60.5905, collision = h0012B0
x = -209.9667, y = -146.9657, z = 73.75594, angle = -61.85455, collision = h0012B0
x = -208.9449, y = -147.0007, z = 73.36423, angle = -89.80535, collision = h0012B0
x = -207.7789, y = -147.1195, z = 73.44742, angle = -92.86205, collision = h0012B0
x = -206.65, y = -147.2261, z = 73.47209, angle = -92.29654, collision = h0012B0
x = -205.5291, y = -147.2962, z = 73.37994, angle = -86.88593, collision = h0012B0
x = -204.3985, y = -147.4255, z = 73.35847, angle = -91.72717, collision = h0012B0
x = -203.1666, y = -147.5673, z = 73.40619, angle = -93.43961, collision = h0012B0
x = -202.0031, y = -147.7362, z = 73.62299, angle = -76.58344, collision = h0012B0
x = -201.0052, y = -147.7904, z = 73.3846, angle = -85.29439, collision = h0012B0
x = -200.0081, y = -147.872, z = 73.75351, angle = -132.7416, collision = h0012B0
x = -199.2416, y = -147.8885, z = 73.09758, angle = -45.35359, collision = h0012B0
x = -198.2018, y = -147.9431, z = 72.80465, angle = -66.04475, collision = h0012B0
x = -210.3832, y = -147.0218, z = 75.21911, angle = 172.8122, collision = h0012B0
x = -210.4117, y = -147.0227, z = 76.41069, angle = -178.9103, collision = h0012B0
x = -211.4519, y = -146.7165, z = 76.12389, angle = 76.98302, collision = h0012B0
x = -212.392, y = -146.5191, z = 76.65265, angle = -160.5416, collision = h0012B0
x = -222.4598, y = -133.0094, z = 74.56972, angle = 48.6579, collision = h0011B0
x = -223.6475, y = -150.3106, z = 74.33645, angle = 42.67801, collision = h0012B0
x = -224.7731, y = -150.3212, z = 74.49834, angle = 93.4364, collision = h0012B0
x = -222.6229, y = -150.2861, z = 74.32559, angle = -39.77522, collision = h0012B0
x = -221.9466, y = -150.2801, z = 73.42941, angle = -27.02845, collision = h0012B0
x = -220.898, y = -150.2784, z = 73.45451, angle = -125.7985, collision = h0012B0
x = -219.8768, y = -150.0251, z = 73.82953, angle = -6.327924, collision = h0012B0
x = -219.7853, y = -150.045, z = 72.69519, angle = -21.99531, collision = h0012B0
x = -219.3386, y = -150.3255, z = 71.7747, angle = -67.48765, collision = h0012B0
x = -218.1313, y = -150.3254, z = 71.59642, angle = -111.8178, collision = h0012B0
x = -218.8655, y = -149.5363, z = 73.26134, angle = -101.869, collision = h0012B0
x = -217.7639, y = -148.9549, z = 73.46956, angle = -98.25207, collision = h0012B0
x = -216.839, y = -148.2502, z = 73.31176, angle = -88.95885, collision = h0012B0
x = -215.436, y = -147.7633, z = 73.44962, angle = -102.4419, collision = h0012B0
x = -214.1886, y = -147.1201, z = 73.72586, angle = -106.3498, collision = h0012B0
x = -213.3632, y = -146.5235, z = 76.34471, angle = 113.6534, collision = h0012B0
x = -222.1144, y = -131.7331, z = 74.52023, angle = 23.90637, collision = h0011B0
x = -222.3013, y = -131.6302, z = 73.42274, angle = 15.71296, collision = h0011B0
x = -222.4212, y = -131.6555, z = 72.41468, angle = -58.06112, collision = h0011B0
x = -221.3795, y = -131.5499, z = 72.24694, angle = -100.45, collision = h0011B0
x = -220.3048, y = -131.2577, z = 72.25323, angle = -63.57253, collision = h0011B0
x = -219.2727, y = -131.1106, z = 71.89035, angle = -73.03497, collision = h0011B0
x = -218.4536, y = -131.1473, z = 72.54337, angle = -161.2646, collision = h0011B0
x = -217.8185, y = -131.2037, z = 73.41384, angle = -112.1945, collision = h0011B0
x = -216.7466, y = -131.2617, z = 73.41708, angle = -41.91029, collision = h0011B0
x = -215.8316, y = -131.781, z = 73.75406, angle = -168.7509, collision = h0011B0
x = -215.6311, y = -132.0095, z = 74.87681, angle = -168.2362, collision = h0011B0
x = -215.1106, y = -132.2996, z = 75.77291, angle = -127.2026, collision = h0011B0
x = -214.1826, y = -132.4891, z = 76.33191, angle = -116.4333, collision = h0011B0
x = -214.3664, y = -132.5497, z = 77.48708, angle = 170.7641, collision = h0011B0
x = -214.4429, y = -132.5384, z = 78.60466, angle = 126.4923, collision = h0011B0
x = -215.3674, y = -132.2708, z = 77.23203, angle = 59.78533, collision = h0011B0
x = -216.3813, y = -131.7336, z = 76.83389, angle = 81.84911, collision = h0011B0
x = -217.3129, y = -131.198, z = 76.82317, angle = 103.5988, collision = h0011B0
x = -217.9754, y = -131.1082, z = 77.75042, angle = 175.1006, collision = h0011B0
x = -218.7484, y = -131.0329, z = 77.0845, angle = 61.52716, collision = h0011B0
x = -219.8324, y = -130.9259, z = 77.0293, angle = 115.9574, collision = h0011B0
x = -220.8194, y = -130.9054, z = 77.2625, angle = 25.82082, collision = h0011B0
x = -219.1279, y = -131.0884, z = 76.14151, angle = -38.20062, collision = h0011B0
x = -218.8533, y = -131.1624, z = 75.11141, angle = -1.469474, collision = h0011B0
x = -213.0971, y = -132.6291, z = 76.41299, angle = -79.7008, collision = h0011B0
x = -211.9907, y = -132.9924, z = 76.25314, angle = -95.35799, collision = h0011B0
x = -210.94, y = -133.2686, z = 76.16219, angle = -70.45786, collision = h0011B0
x = -209.9922, y = -133.4091, z = 75.82606, angle = -66.2338, collision = h0011B0
x = -208.9676, y = -133.5084, z = 75.36328, angle = -65.05187, collision = h0011B0
x = -207.9292, y = -133.6781, z = 74.92454, angle = -69.70039, collision = h0011B0
x = -206.9734, y = -133.6549, z = 74.59196, angle = -74.00234, collision = h0011B0
x = -205.8107, y = -133.6189, z = 74.29991, angle = -76.27201, collision = h0011B0
x = -206.2403, y = -133.7289, z = 73.39327, angle = 148.1992, collision = h0011B0
x = -205.073, y = -133.6491, z = 75.15595, angle = -96.94331, collision = h0011B0
x = -204.7133, y = -133.6049, z = 74.09822, angle = -5.877432, collision = h0011B0
x = -204.3468, y = -133.7155, z = 73.09573, angle = -92.74695, collision = h0011B0
x = -203.2412, y = -133.7096, z = 73.13051, angle = -51.66576, collision = h0011B0
x = -203.2762, y = -133.8154, z = 72.00949, angle = -6.685075, collision = h0011B0
x = -202.8681, y = -133.956, z = 71.01767, angle = -12.80645, collision = h0015B0
x = -203.5853, y = -133.5459, z = 70.20972, angle = 71.28635, collision = h0015B0
x = -203.6441, y = -133.0689, z = 69.13412, angle = 44.42462, collision = h0015B0
x = -204.6539, y = -132.8824, z = 69.2552, angle = 89.42247, collision = h1600B0
x = -205.7022, y = -132.7047, z = 69.13064, angle = 18.04715, collision = h1600B0
x = -206.4204, y = -132.5083, z = 68.28732, angle = 91.48582, collision = h1600B0
x = -207.4493, y = -132.5721, z = 67.7571, angle = 48.45167, collision = h1600B0
x = -208.1687, y = -132.5573, z = 66.91021, angle = 20.59165, collision = h1600B0
x = -208.2624, y = -132.5938, z = 65.81561, angle = 9.336226, collision = h1600B0
x = -208.734, y = -132.6052, z = 64.84108, angle = 58.64579, collision = h1600B0
x = -209.664, y = -132.6052, z = 64.22079, angle = 19.00298, collision = h1600B0
x = -209.8056, y = -132.4309, z = 63.21329, angle = -61.22698, collision = h1600B0
x = -209.0669, y = -132.4512, z = 62.51699, angle = 1.120629, collision = h1600B0
x = -208.8251, y = -132.4561, z = 61.47794, angle = -27.4552, collision = h1600B0
x = -208.3179, y = -132.4523, z = 60.51734, angle = -59.44128, collision = h1600B0
x = -207.938, y = -132.4608, z = 59.55846, angle = -22.9843, collision = h1600B0
x = -207.258, y = -132.5263, z = 58.73383, angle = 41.60918, collision = h1600B0
x = -208.0784, y = -132.5187, z = 58.07093, angle = -10.66329, collision = h1600B0
x = -207.4801, y = -132.5085, z = 57.25823, angle = -55.18058, collision = h1600B0
x = -207.0058, y = -132.5096, z = 56.21401, angle = -45.02085, collision = h1600B0
x = -206.0681, y = -132.5971, z = 55.72604, angle = -52.21195, collision = h1600B0
x = -205.1676, y = -132.6909, z = 55.053, angle = -54.82589, collision = h1600B0
x = -204.2669, y = -132.7503, z = 54.38086, angle = -48.62779, collision = h1600B0
x = -203.2397, y = -132.6518, z = 53.9645, angle = -30.3237, collision = h1600B0
x = -203.2892, y = -132.5084, z = 52.92885, angle = -44.16396, collision = h1600B0
x = -202.1638, y = -132.5079, z = 52.74104, angle = -75.93015, collision = h1600B0
x = -201.0488, y = -132.4989, z = 52.66797, angle = -67.41558, collision = h1600B0
x = -200.0478, y = -132.4894, z = 53.13439, angle = 112.0838, collision = h1600B0
x = -200.5805, y = -132.4796, z = 53.99799, angle = 156.0628, collision = h1600B0
x = -200.7464, y = -141.4292, z = 55.12065, angle = 165.9226, collision = h1600B0
x = -201.454, y = -141.0647, z = 54.30093, angle = 17.95964, collision = h1600B0
x = -201.834, y = -141.0255, z = 53.37273, angle = -5.341549, collision = h1600B0
x = -201.8185, y = -141.015, z = 52.25209, angle = 6.475238, collision = h0016B0
x = -201.9545, y = -140.7325, z = 51.13552, angle = -23.90427, collision = h0016B0
x = -200.532, y = -141.8722, z = 56.11121, angle = 156.6521, collision = h1600B0
x = -201.1064, y = -142.1936, z = 57.0944, angle = 176.0611, collision = h1600B0
x = -200.9455, y = -142.6947, z = 58.17073, angle = -172.2006, collision = h1600B0
x = -200.7916, y = -143.3083, z = 59.26091, angle = -170.9728, collision = h1600B0
x = -200.6567, y = -143.708, z = 60.36486, angle = 176.9014, collision = h0016B0
x = -200.7022, y = -144.0361, z = 61.47651, angle = 174.6241, collision = h0016B0
x = -201.0383, y = -144.3393, z = 62.55328, angle = 163.4862, collision = h0016B0
x = -201.1634, y = -144.6069, z = 63.66423, angle = -179.6574, collision = h0016B0
x = -201.1534, y = -144.9311, z = 64.7952, angle = -178.2926, collision = h0016B0
x = -201.1141, y = -145.2658, z = 65.91879, angle = -177.6946, collision = h0016B0
x = -201.092, y = -145.5933, z = 67.04274, angle = -175.227, collision = h0016B0
x = -200.9674, y = -145.8832, z = 68.15869, angle = 177.5687, collision = h0016B0
x = -201.0997, y = -146.0353, z = 69.27259, angle = 169.7396, collision = h0016B0
x = -201.0461, y = -146.3043, z = 70.42477, angle = -174.236, collision = h0018B0
x = -201.0855, y = -147.5856, z = 72.15762, angle = 171.6399, collision = h0012B0
x = -212.4389, y = -146.3826, z = 79.16381, angle = 173.6845, collision = h0012B0
x = -212.2422, y = -146.3649, z = 80.23358, angle = -122.4642, collision = h0012B0
x = -211.4143, y = -142.3325, z = 79.92825, angle = 160.5475, collision = h0012B0
x = -213.431, y = -142.4374, z = 82.28074, angle = 109.2349, collision = h0012B0
x = -214.4972, y = -142.7424, z = 82.63685, angle = 108.7619, collision = h0012B0
x = -216.7904, y = -143.1225, z = 83.6142, angle = 103.9063, collision = h0012B0
x = -217.5714, y = -143.0745, z = 84.27686, angle = 179.6502, collision = h0012B0
x = -217.6188, y = -143.1252, z = 85.28185, angle = 178.9179, collision = h0012B0
x = -218.5752, y = -149.6384, z = 85.27377, angle = -173.8798, collision = h0012B0
x = -218.5706, y = -149.6118, z = 84.25034, angle = 11.98436, collision = h0012B0
x = -218.3643, y = -149.6118, z = 83.19241, angle = 9.302144, collision = h0012B0
x = -218.5639, y = -149.6422, z = 82.09129, angle = 34.34745, collision = h0012B0
x = -219.3494, y = -149.7252, z = 81.41876, angle = 58.2696, collision = h0012B0
x = -219.4724, y = -149.6118, z = 83.32874, angle = 165.9406, collision = h0012B0
x = -217.7931, y = -149.7122, z = 85.94292, angle = -55.9314, collision = h0012B0
x = -216.7871, y = -149.8338, z = 85.42543, angle = -107.9883, collision = h0012B0
x = -215.8931, y = -150.0746, z = 86.0449, angle = -139.6306, collision = h0012B0
x = -214.9436, y = -150.3358, z = 86.54747, angle = -61.23782, collision = h0012B0
x = -214.0563, y = -150.5226, z = 85.88031, angle = -60.41402, collision = h0012B0
x = -213.0765, y = -150.653, z = 85.44806, angle = -84.74064, collision = h0012B0
x = -212.2184, y = -150.887, z = 86.04323, angle = 169.0396, collision = h0012B0
x = -211.4112, y = -151.0627, z = 86.65653, angle = -84.71302, collision = h0012B0
x = -211.856, y = -151.0216, z = 87.66631, angle = -168.3641, collision = h0012B0
x = -211.2494, y = -151.2024, z = 88.52666, angle = -149.4258, collision = h0012B0
x = -211.1585, y = -151.2049, z = 89.57407, angle = -113.865, collision = h0012B0
x = -211.9317, y = -151.209, z = 90.24046, angle = 138.912, collision = h0012B0
x = -211.7459, y = -151.2069, z = 91.29395, angle = -108.2054, collision = h0012B0
x = -211.1116, y = -151.2008, z = 92.14175, angle = 93.94118, collision = h0012B0
x = -212.0259, y = -151.2041, z = 92.60636, angle = 157.8513, collision = h0012B0
x = -211.4513, y = -151.2042, z = 93.46371, angle = -167.1101, collision = h0012B0
x = -212.1383, y = -151.2347, z = 94.39117, angle = 164.0209, collision = h0012B0
x = -211.9355, y = -151.2836, z = 95.39764, angle = 162.0522, collision = h0012B0
x = -212.7942, y = -151.2032, z = 95.9986, angle = 52.31298, collision = h0012B0
x = -213.6351, y = -150.94, z = 96.65807, angle = 133.7803, collision = h0012B0
x = -214.6153, y = -150.6731, z = 97.05074, angle = 115.8842, collision = h0012B0
x = -215.1943, y = -150.3687, z = 97.99511, angle = 152.7141, collision = h0012B0
x = -216.2795, y = -150.0605, z = 98.03638, angle = 62.50321, collision = h0012B0
x = -217.3117, y = -149.9063, z = 97.69791, angle = 166.312, collision = h0012B0
x = -217.1854, y = -149.7928, z = 98.71187, angle = -162.0004, collision = h0012B0
x = -217.4145, y = -149.7537, z = 99.77058, angle = 111.2571, collision = h0012B0
x = -217.9747, y = -149.8726, z = 100.7211, angle = -163.3881, collision = h0012B0
x = -217.6312, y = -149.9265, z = 101.7914, angle = -167.7395, collision = h0012B0
x = -218.249, y = -149.9767, z = 102.7317, angle = 173.2197, collision = h0012B0
x = -217.9693, y = -150.0224, z = 103.7023, angle = 158.1139, collision = h0012B0
x = -218.8202, y = -150.0542, z = 104.2347, angle = 92.83741, collision = h0012B0
x = -219.5723, y = -150.0256, z = 103.5431, angle = -5.523642, collision = h0012B0
x = -219.6551, y = -149.9921, z = 102.5403, angle = 17.69956, collision = h0012B0
x = -220.0627, y = -149.8091, z = 101.5866, angle = -1.429326, collision = h0013B0
x = -219.9886, y = -149.4348, z = 100.4609, angle = -7.818313, collision = h0013B0
x = -219.826, y = -149.0398, z = 99.28438, angle = -8.118377, collision = h0013B0
x = -219.6887, y = -148.6864, z = 98.23069, angle = 8.909081, collision = h0013B0
x = -219.9358, y = -148.3768, z = 97.25914, angle = -36.49007, collision = h0013B0
x = -220.1483, y = -150.5603, z = 103.8535, angle = 163.6509, collision = h0013B0
